qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
301	glove.topn3	international organized crime global which organised criminal	0.0954
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0859
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0848
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0727
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0723
301	bt_bing_arabic	International organized crime	0.064
301	bt_bing_chinese_simplified	International Organized Crime	0.064
301	bt_bing_french	International Organized Crime	0.064
301	bt_bing_german	International Organized Crime	0.064
301	bt_bing_korean	International Organized Crime	0.064
301	bt_bing_persian	International Organized Crime	0.064
301	bt_bing_russian	International organized crime	0.064
301	bt_bing_tamil	International organized crime	0.064
301	bt_nllb_arabic	International organized crime	0.064
301	bt_nllb_chinese_yue	International organized crime	0.064
301	bt_nllb_french	International organized crime	0.064
301	bt_nllb_korean	International organized crime	0.064
301	bt_nllb_persian	International organized crime	0.064
301	bt_nllb_russian	International organized crime	0.064
301	bt_nllb_tamil	International organized crime	0.064
301	docluster.topn10.3.bm25	international organized crime	0.064
301	docluster.topn10.3.qld	international organized crime	0.064
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.064
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.064
301	stem.krovetz	international organized crime	0.064
301	stem.porter2	intern organ crime	0.064
301	stem.sstemmer	international organized crime	0.064
301	termluster.topn5.3.bm25	international organized crime	0.064
301	termluster.topn5.3.qld	international organized crime	0.064
301	thesaurus.topn3	international organized crime	0.064
301	thesaurus.topn3.replace	international organized crime	0.064
301	conceptnet.topn3	international organized crime re formed reorganised	0.0621
301	sensedisambiguation	International Organized unionize Crime	0.0505
301	anchor.topn3.replace	confédérat föderat kanusport organized anti corruption anti econom drug	0.0502
301	stem.trunc5	inter organ crime	0.0488
301	conceptluster.topn5.3.bm25	international organized crime international law organized crime	0.0444
301	conceptluster.topn5.3.qld	international organized crime international law organized crime	0.0444
301	tagmee.topn3	international organized crime International law Organized crime	0.0444
301	bt_bing_swahili	International Crime	0.0431
301	bt_nllb_swahili	International Crime	0.0431
301	bt_bing_malay	International Organised Crime	0.0429
301	bt_nllb_german	International organised crime	0.0429
301	bt_nllb_malay	Integrated Crime	0.0378
301	glove.topn3.replace	global which organised criminal	0.0355
301	wordnet.topn3	international organized crime external unionise prepare unionize criminal offense criminal offence law breaking	0.0333
301	relevancefeedback.topn10.qld	international organized crime protect organ it feder compens intellectu	0.0315
301	tagmee.topn3.replace	International law Organized crime	0.0309
301	word2vec.topn3.replace	national global domestic organised criminality	0.0268
301	sensedisambiguation.replace	international unionize crime	0.0248
301	stem.porter	intern organiz crime	0.0234
301	relevancefeedback.topn10.bm25	international organized crime state trade govern issu japan us	0.0204
301	stem.lovins	intern organ crim	0.0158
301	conceptnet.topn3.replace	international re formed reorganised crime	0.0123
301	bertqe.topn10.qld	intern affair materi from report	0.0075
301	wordnet.topn3.replace	external unionise prepare unionize criminal offense criminal offence law breaking	0.0057
301	bertqe.topn10.bm25	jansatta hindi cso articl chitra	0.0
301	stem.paicehusk	intern org crim	0.0
301	stem.trunc4	inte orga crim	0.0
302	-1	Poliomyelitis and Post-Polio	0.7466
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7912
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.7697
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.7613
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.7527
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	0.7466
302	bt_bing_chinese_simplified	Poliomyelitis and post polio	0.7466
302	bt_bing_german	Poliomyelitis and post polio	0.7466
302	bt_bing_swahili	Poliomyelitis and post polio	0.7466
302	conceptnet.topn3	poliomyelitis post polio	0.7466
302	conceptnet.topn3.replace	poliomyelitis post polio	0.7466
302	docluster.topn10.3.bm25	poliomyelitis and post polio	0.7466
302	docluster.topn10.3.qld	poliomyelitis and post polio	0.7466
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	0.7466
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	0.7466
302	sensedisambiguation	Poliomyelitis and Post Polio	0.7466
302	sensedisambiguation.replace	poliomyelitis and Post Polio	0.7466
302	stem.krovetz	poliomyeliti and post polio	0.7466
302	stem.porter	poliomyel and post polio	0.7466
302	stem.porter2	poliomyel and post polio	0.7466
302	stem.sstemmer	poliomyeliti and post polio	0.7466
302	termluster.topn5.3.bm25	poliomyelitis post polio	0.7466
302	termluster.topn5.3.qld	poliomyelitis post polio	0.7466
302	thesaurus.topn3	poliomyelitis post polio	0.7466
302	thesaurus.topn3.replace	poliomyelitis post polio	0.7466
302	glove.topn3	poliomyelitis post polio polio measles mangxamba http www kasparovchess com	0.7193
302	conceptluster.topn5.3.bm25	poliomyelitis post polio post polio syndrome	0.6952
302	conceptluster.topn5.3.qld	poliomyelitis post polio post polio syndrome	0.6952
302	wordnet.topn3.replace	polio acute anterior poliomyelitis post polio	0.6807
302	tagmee.topn3.replace	Poliomyelitis Post polio syndrome	0.6799
302	bt_bing_arabic	Polio and post polio	0.6564
302	bt_bing_persian	Polio and post polio	0.6564
302	bt_bing_tamil	Polio and post polio	0.6564
302	bt_nllb_french	Polio and the Post Polio	0.6564
302	stem.trunc5	polio and post polio	0.6564
302	bt_nllb_arabic	Polio and polio	0.6559
302	bt_nllb_german	Polio and postpolio	0.6559
302	bt_nllb_russian	Polio and postpolio	0.6559
302	bt_nllb_swahili	Polio and Afterpolio	0.6559
302	bt_bing_malay	Polyomyelitis and Post Polio	0.6527
302	stem.paicehusk	poliomyelit and post polio	0.6527
302	word2vec.topn3	poliomyelitis post polio polio poliovirus Guillain Barr amyotrophy	0.6488
302	bt_nllb_chinese_yue	After polio and polio	0.6354
302	bt_nllb_malay	Polio and after polio	0.6354
302	bt_nllb_tamil	After polio and polio	0.6354
302	bt_nllb_persian	Polyamide and then polio	0.5642
302	bt_bing_korean	Polio and its sequelae	0.5218
302	wiki.topn3	poliomyelitis post polio thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome	0.5096
302	glove.topn3.replace	polio measles mangxamba http www kasparovchess com	0.5024
302	word2vec.topn3.replace	polio poliovirus Guillain Barr amyotrophy	0.4626
302	anchor.topn3.replace	poliomyelitis kentuckyon rwjbarnaba lcmc	0.3058
302	bt_bing_french	Poliomyelitis and post poliomyelitis	0.3058
302	bt_bing_russian	Poliomyelitis and post poliomyelitis	0.3058
302	wiki.topn3.replace	thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome	0.2265
302	bertqe.topn10.bm25	reflect i m probabl most independ	0.0175
302	bertqe.topn10.qld	franklin roosevelt geoffrei c ward	0.0
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
302	stem.lovins	poliomyelit and post poli	0.0
302	stem.trunc4	poli and post poli	0.0
303	-1	Hubble Telescope Achievements	0.5359
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6687
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.6625
303	bt_nllb_swahili	The results of the Hubble Telescope	0.6248
303	anchor.topn3	hubble telescope achievements	0.5359
303	anchor.topn3.replace	hubble telescope achievements	0.5359
303	bt_bing_arabic	Achievements of the Hubble Telescope	0.5359
303	bt_bing_chinese_simplified	Hubble Telescope Achievement	0.5359
303	bt_bing_french	Achievements of the Hubble Telescope	0.5359
303	bt_bing_german	Achievements of the Hubble Telescope	0.5359
303	bt_bing_korean	Hubble Telescope Achievements	0.5359
303	bt_bing_malay	Hubble Telescope Achievements	0.5359
303	bt_bing_russian	Achievements of the Hubble Telescope	0.5359
303	bt_bing_tamil	Achievements of the Hubble telescope	0.5359
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5359
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5359
303	docluster.topn10.3.bm25	hubble telescope achievements	0.5359
303	docluster.topn10.3.qld	hubble telescope achievements	0.5359
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.5359
