qid	order	query	qld.recip_rank
701	-1	U.S. oil industry history	0.2
701	bt_nllb_arabic	The history of the American oil industry	1.0
701	bt_nllb_french	The history of the American oil industry	1.0
701	bt_nllb_german	The history of the US oil industry	0.3333
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.2
701	bt_nllb_korean	The history of the U S oil industry	0.2
701	bt_nllb_malay	History of the U S oil industry	0.2
701	bt_nllb_persian	The history of the U S oil industry	0.2
701	bt_nllb_russian	The history of the U S oil industry	0.2
701	bt_nllb_swahili	The history of the U S oil industry	0.2
701	bt_nllb_tamil	The history of the U S oil industry	0.2
702	-1	Pearl farming	1.0
702	bt_nllb_chinese_yue	Pearl farming	1.0
702	bt_nllb_french	Cultivation of pearls	1.0
702	bt_nllb_german	Pearl farming	1.0
702	bt_nllb_korean	Pearl farming	1.0
702	bt_nllb_malay	Pearl farming	1.0
702	bt_nllb_russian	Pearl farming	1.0
702	bt_nllb_swahili	The pearl farm	1.0
702	bt_nllb_tamil	pearl farming	1.0
704	-1	Green party political views	0.5
704	bt_nllb_arabic	The political views of the Green Party	0.5
704	bt_nllb_chinese_yue	The Green Party s political views	0.5
704	bt_nllb_french	The political views of the Green Party	0.5
704	bt_nllb_german	Political views of the Greens	0.5
704	bt_nllb_korean	The political views of the Green Party	0.5
704	bt_nllb_malay	Green Party political views	0.5
704	bt_nllb_persian	The political views of the Green Party	0.5
704	bt_nllb_russian	Political views of the Green Party	0.5
704	bt_nllb_swahili	The political views of the Green Party	0.5
704	bt_nllb_tamil	Green Party political views	0.5
705	-1	Iraq foreign debt reduction	1.0
705	bt_nllb_french	Reduction of Iraq s external debt	1.0
705	bt_nllb_german	Reduction of foreign debt in Iraq	1.0
705	bt_nllb_malay	Reduction of external debt to Iraq	1.0
705	bt_nllb_russian	Reducing Iraq s external debt	1.0
706	-1	Controlling type II diabetes	0.2
706	bt_nllb_malay	Managing type diabetes	0.3333
706	bt_nllb_french	Control of type II diabetes	0.2
706	bt_nllb_german	Control of type II diabetes	0.2
706	bt_nllb_russian	Control of type II diabetes	0.2
706	bt_nllb_swahili	Control of type II diabetes	0.2
706	bt_nllb_tamil	Control of type II diabetes	0.2
707	-1	Aspirin cancer prevention	1.0
707	bt_nllb_chinese_yue	The anti cancer aspirin	1.0
707	bt_nllb_french	Prevention of cancer by aspirin	1.0
707	bt_nllb_german	Aspirin for the Prevention of Cancer	1.0
707	bt_nllb_malay	Aspirin to prevent cancer	1.0
707	bt_nllb_russian	Prevention of cancer with aspirin	1.0
707	bt_nllb_tamil	Aspirin is used to prevent cancer	1.0
708	-1	Decorative slate sources	1.0
708	bt_nllb_korean	Decorative slate source	1.0
708	bt_nllb_swahili	The origins of the decorative slate	1.0
709	-1	Horse racing jockey weight	1.0
709	bt_nllb_arabic	Weight of the front runners in horse racing	1.0
709	bt_nllb_french	Weight of the horse racing jockey	1.0
709	bt_nllb_german	Weight of horse racing	1.0
709	bt_nllb_korean	Horse racing jockey weight	1.0
709	bt_nllb_malay	Heavy jockey horse racing	1.0
709	bt_nllb_persian	A joke weight in a horse race	1.0
709	bt_nllb_russian	Weight of the horse race	1.0
709	bt_nllb_swahili	Weight of jockeys in horse racing	1.0
709	bt_nllb_tamil	The weight of the horse racing team	1.0
710	-1	Prostate cancer treatments	1.0
710	bt_nllb_arabic	Treatment for prostate cancer	1.0
710	bt_nllb_chinese_yue	Treatment of prostate cancer	1.0
710	bt_nllb_french	Treatment of prostate cancer	1.0
710	bt_nllb_german	Treatment of prostate cancer	1.0
710	bt_nllb_korean	Treatment for prostate cancer	1.0
710	bt_nllb_malay	Treatment of prostate cancer	1.0
710	bt_nllb_persian	Treatment for prostate cancer	1.0
710	bt_nllb_russian	Treatment of prostate cancer	1.0
710	bt_nllb_swahili	Treatment of prostate cancer	1.0
710	bt_nllb_tamil	The treatment for prostate cancer	1.0
711	-1	Train station security measures	0.5
711	bt_nllb_arabic	Security measures for the train station	0.5
711	bt_nllb_chinese_yue	Security measures at the railway station	0.5
711	bt_nllb_korean	Security measures at the train station	0.5
711	bt_nllb_malay	Railway station security measures	0.5
711	bt_nllb_persian	Security measures at the train station	0.5
711	bt_nllb_tamil	Railway station security measures	0.5
712	-1	Pyramid scheme	1.0
712	bt_nllb_chinese_yue	The pyramid scheme	1.0
712	bt_nllb_french	The pyramid scheme	1.0
712	bt_nllb_korean	The pyramid scheme	1.0
712	bt_nllb_malay	The Pyramid Scheme	1.0
712	bt_nllb_persian	The pyramid scheme	1.0
712	bt_nllb_russian	The pyramid scheme	1.0
713	-1	Chesapeake Bay Maryland clean	0.3333
713	bt_nllb_arabic	Chesapeake Bay Maryland is clean	0.3333
713	bt_nllb_chinese_yue	Chesapeake Bay is clean in Maryland	0.3333
713	bt_nllb_french	Chesapeake Bay Maryland clean	0.3333
713	bt_nllb_german	Chesapeake Bay Maryland clean	0.3333
713	bt_nllb_korean	Chesapeake Bay Maryland is clean	0.3333
713	bt_nllb_malay	Chesapeake Bay Maryland is clean	0.3333
713	bt_nllb_russian	The clean Chesapeake Bay of Maryland	0.3333
713	bt_nllb_swahili	Chesapeake Bay Maryland clean	0.3333
714	-1	License restrictions older drivers	1.0
