qid	order	query	qld.map
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.2383
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	0.225
100653	bt_nllb_german	How do I get copies of the San Diego letter of credit	0.2138
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	0.2131
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	0.2129
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.2097
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.1933
100653	bt_nllb_tamil	How can I get copies of congratulatory letters sent to me from San Diego	0.1804
1015624	-1	What's the Definition of a bloody mary?	0.6736
1015624	bt_nllb_german	What s the definition of a fucking Mary	0.0594
1015624	bt_nllb_french	What s the definition of a holy Mary	0.0166
1015624	bt_nllb_chinese_yue	What is the definition of a virgin	0.0013
1017690	-1	what is the history of indian music?	0.2875
1035857	-1	Why are liberals so quick to defend Saddam?	0.3345
1035857	bt_nllb_french	Why are the Liberals defending Saddam so fast	0.304
1035857	bt_nllb_chinese_yue	Why did liberals defend Saddam so quickly	0.2422
1035857	bt_nllb_russian	Why are the liberals protecting Saddam so quickly	0.1113
1035857	bt_nllb_persian	Why are the liberals defending my voice so quickly	0.0688
103830	-1	Why do man Arabs hate the west ?	0.2134
103830	bt_nllb_arabic	Why are Arabs turning to the West	0.0869
1063812	-1	How do I grow taller?	0.4047
1063812	bt_nllb_korean	How can you grow taller	0.3998
1063812	bt_nllb_persian	How can I get taller	0.1858
1063812	bt_nllb_malay	How can I be taller	0.1835
1063812	bt_nllb_swahili	How can I be taller	0.1835
1063812	bt_nllb_arabic	How do I get to the height	0.005
1063812	bt_nllb_russian	How can I grow up	0.0017
1063812	bt_nllb_french	How can I get bigger	0.0
1063812	bt_nllb_german	How do I get bigger	0.0
1063812	bt_nllb_tamil	How can I get high	0.0
1077370	-1	Why do only Humans have Finger prints?	0.4929
1077370	bt_nllb_chinese_yue	Why are only humans fingerprinted	0.0676
1077370	bt_nllb_french	Why are only humans fingerprinted	0.0676
1077370	bt_nllb_malay	Why are only humans fingerprinted	0.0676
1077370	bt_nllb_swahili	Why are only humans fingerprinted	0.0676
1077370	bt_nllb_arabic	Why do only humans have fingerprints	0.0675
1077370	bt_nllb_tamil	Why do only humans have fingerprints	0.0675
1077370	bt_nllb_korean	Why is it that only humans have fingerprints	0.0669
1077370	bt_nllb_german	Why are only people fingerprinted	0.0381
1077370	bt_nllb_russian	Why are only people having fingerprints	0.035
1077370	bt_nllb_persian	Why do only humans have fingers	0.0104
1082595	-1	what is meant by mobile technology?	0.3446
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.2704
1119420	bt_nllb_persian	So black light is UV light so if it s black how can it be light	0.2676
1119420	bt_nllb_german	The black light is UV light so if it s black how can it be light	0.2667
1119420	bt_nllb_swahili	Well black light is UV light So if it s black how can it be light	0.2577
1119420	bt_nllb_chinese_yue	Black light is ultraviolet light so if it s black why is it light	0.0683
1119420	bt_nllb_russian	Well black light is ultraviolet light so if it s black how can it be light	0.0667
1119420	bt_nllb_korean	So black light is ultraviolet so if it s black how can it be light	0.059
1119420	bt_nllb_malay	So if it s black how can it be light	0.0273
1119420	bt_nllb_tamil	So if it s black how can it be light	0.0273
1152934	-1	Why don't fat people have to pay more for air travel?	0.0854
1152934	bt_nllb_korean	Why don t obese people pay more for airplanes	0.0702
1152934	bt_nllb_persian	Why don t fat people have to pay so much for air travel	0.063
1152934	bt_nllb_german	Why don t fat people pay for air travel anymore	0.0612
1152934	bt_nllb_chinese_yue	Why don t obese people spend more on planes	0.0528
1152934	bt_nllb_french	Why don t the big guys pay more for the thefts	0.0485
1152934	bt_nllb_tamil	Why do fat people not have to pay more for air travel	0.0109
