,qid,order,query,qld.recip_rank
0,1,-1,obama family tree,0.0
1,1,glove.topn3,obama family tree barack mccain father pine,1.0
2,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,1.0
3,1,conceptluster.topn5.3.bm25,obama family tree family barack obama death cellulos carbon restringido video,0.5
4,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.5
5,1,tagmee.topn3,obama family tree Family of Barack Obama,0.5
6,1,word2vec.topn3,obama family tree bama barack relatives tree,0.5
7,1,anchor.topn3,obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a,0.3333
8,1,conceptnet.topn3,obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.25
9,1,anchor.topn3.replace,barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a,0.2
10,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.2
11,1,tagmee.topn3.replace,Family of Barack Obama,0.1429
12,1,sensedisambiguation.replace,obama syndicate tree,0.0152
13,1,word2vec.topn3.replace,bama barack relatives tree,0.0149
14,10,-1,cheap internet,0.25
15,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,1.0
16,10,word2vec.topn3.replace,inexpensive low cost online intenet,1.0
17,11,-1,gmat prep classes,0.5
18,11,anchor.topn3,gmat prep classes al mojzel baico crosswat preparatori prep oahu,1.0
19,11,bertqe.topn10.bm25,studi guid gmat mathprep corpor,1.0
20,11,bertqe.topn10.qld,mlic manhattan gmat prep class,1.0
21,11,bt_bing_malay,GMAT preparatory classes,1.0
22,11,bt_bing_persian,GMAT Preparatory Classes,1.0
23,11,bt_bing_russian,GMAT Preparation Classes,1.0
24,11,bt_bing_tamil,GMAT Preparation Classes,1.0
25,11,bt_nllb_malay,Gmat preparation class,1.0
26,11,bt_nllb_swahili,a preparation class for gmat,1.0
27,11,conceptluster.topn5.3.qld,gmat prep classes preschool graduate management admission test social class git object,1.0
28,11,docluster.topn10.3.qld,gmat prep classes git object trivia,1.0
29,11,sensedisambiguation,gmat prep homework classes course,1.0
30,11,termluster.topn5.3.qld,gmat prep classes git object,1.0
31,11,wordnet.topn3,gmat prep classes homework preparation form assort separate,1.0
32,12,-1,djs,0.25
33,12,bt_bing_chinese_simplified,DJ service,0.5
34,12,conceptnet.topn3,djs deejays,0.5
35,12,glove.topn3,djs deejays,0.5
36,12,sensedisambiguation,djs disk jockey,0.5
37,12,sensedisambiguation.replace,disk jockey,0.5
38,12,word2vec.topn3,djs deejays,0.5
39,12,wordnet.topn3,djs disc jockey disk jockey,0.5
40,12,wordnet.topn3.replace,disc jockey disk jockey,0.5
41,13,-1,map,0.5
42,14,-1,dinosaurs,0.0303
43,14,conceptnet.topn3,dinosaurs ancient reptiles,1.0
44,14,glove.topn3,dinosaurs reptiles,0.1429
45,14,conceptnet.topn3.replace,ancient reptiles,0.125
46,15,-1,espn sports,0.25
47,15,anchor.topn3,espn sports espnsoccernet espnet nbatv,1.0
48,15,anchor.topn3.replace,espnsoccernet espnet nbatv sports,1.0
49,15,conceptluster.topn5.3.qld,espn sports broadcasting sports events espn git object,1.0
50,15,relevancefeedback.topn10.bm25,espn sports articl john bucher comment you,1.0
51,15,relevancefeedback.topn10.qld,espn sports classic sport titl,1.0
52,15,tagmee.topn3,espn sports ESPN Broadcasting of sports events,1.0
53,15,tagmee.topn3.replace,ESPN Broadcasting of sports events,1.0
54,15,wiki.topn3,espn sports bristol connecticut television channels stations established sports television networks united states espn sports events works sports out of market sports package broadcasting sports events,1.0
55,15,wiki.topn3.replace,bristol connecticut television channels stations established sports television networks united states espn sports events works sports out of market sports package broadcasting sports events,1.0
56,15,conceptluster.topn5.3.bm25,espn sports broadcasting sports events espn death cellulos carbon restringido video,0.5
57,15,docluster.topn10.3.bm25,espn sports death cellulos carbon restringido video life trivia obama organ,0.5
58,15,word2vec.topn3,espn sports sportscenter espn com athletics,0.3333
59,16,-1,arizona game and fish,1.0
60,17,-1,poker tournaments,0.1429
61,18,-1,wedding budget calculator,1.0
62,19,-1,the current,0.0
63,2,-1,french lick resort and casino,1.0
64,20,-1,defender,0.0
65,21,-1,volvo,0.25
66,21,bertqe.topn10.qld,s super saloon archiv volvo,1.0
67,21,wiki.topn3,volvo car manufacturers sweden motor vehicle manufacturers sweden audi volvo,1.0
68,21,wiki.topn3.replace,car manufacturers sweden motor vehicle manufacturers sweden audi volvo,0.5
69,22,-1,rick warren,1.0
70,23,-1,yahoo,0.0
71,23,wiki.topn3,yahoo alibaba group websites company companies based sunnyvale california yahoo,1.0
72,23,wiki.topn3.replace,alibaba group websites company companies based sunnyvale california yahoo,0.5
73,23,bt_nllb_chinese_yue,Yahoo is a website,0.0345
74,24,-1,diversity,0.1667
75,25,-1,euclid,0.3333
76,25,relevancefeedback.topn10.bm25,euclid video i geometri,1.0
77,25,relevancefeedback.topn10.qld,euclid video ey i us tabl,1.0
78,25,anchor.topn3,euclid evklid efklidi euclidi,0.5
79,25,wiki.topn3,euclid data euclid diophantus archimedes euclid,0.5
80,25,wiki.topn3.replace,data euclid diophantus archimedes euclid,0.5
81,26,-1,lower heart rate,0.3333
82,26,bt_bing_korean,Low heart rate,1.0
83,26,bt_bing_swahili,Low heart rate,1.0
84,26,bt_nllb_swahili,low heart rate,1.0
85,26,tagmee.topn3,lower heart rate Mandible Heart rate,1.0
86,26,tagmee.topn3.replace,Mandible Heart rate,1.0
87,26,conceptluster.topn5.3.bm25,lower heart rate mandible heart rate lick casino french,0.5
88,26,conceptluster.topn5.3.qld,lower heart rate heart rate mandible lick casino,0.5
89,26,sensedisambiguation,lower low heart kernel rate,0.5
90,27,-1,starbucks,0.0556
91,27,wiki.topn3,starbucks retail companies established burger king pike place market starbucks,0.5
92,27,word2vec.topn3,starbucks mcdonalds McDs,0.25
93,27,bt_nllb_malay,Starbucks is a great place to start,0.2
94,27,relevancefeedback.topn10.bm25,starbucks i starbuck e googl coffe,0.1111
95,27,bertqe.topn10.qld,wal mart sell starbuck coffe,0.0667
96,28,-1,inuyasha,0.3333
97,28,anchor.topn3,inuyasha sesshomaru totosai kikyo,1.0
98,28,anchor.topn3.replace,sesshomaru totosai kikyo,1.0
99,28,relevancefeedback.topn10.bm25,inuyasha video game i quizz more,1.0
100,29,-1,ps 2 games,0.25
101,3,-1,getting organized,1.0
102,30,-1,diabetes education,0.25
103,30,conceptluster.topn5.3.qld,diabetes education diabetes mellitus education standard student object,1.0
104,30,docluster.topn10.3.qld,diabetes education standard student object,1.0
105,30,relevancefeedback.topn10.bm25,diabetes education support health diabet activ,1.0
106,30,termluster.topn5.3.qld,diabetes education standard student object,1.0
107,30,conceptnet.topn3,diabetes education polydipsia school seeing art further your career,0.5
108,31,-1,atari,1.0
109,32,-1,website design hosting,0.5
110,32,conceptnet.topn3,website design hosting plan art create,1.0
111,33,-1,elliptical trainer,0.25
112,33,anchor.topn3,elliptical trainer thipyaso program boeing saab bi plan,1.0
113,33,bertqe.topn10.qld,ellipt trainer review smooth,1.0
114,33,bt_bing_malay,Ellipsed trainer,1.0
115,33,stem.krovetz,elliptic train,1.0
116,33,stem.paicehusk,ellipt train,1.0
117,33,word2vec.topn3,elliptical trainer eliptical elongated,1.0
118,34,-1,cell phones,0.0909
119,34,docluster.topn10.3.bm25,cell phones mg manag fungi your plan busi should,1.0
120,34,glove.topn3,cell phones cellular telephones cellphones,0.25
121,34,word2vec.topn3,cell phones cellular telephones handsets,0.25
122,34,conceptluster.topn5.3.bm25,cell phones mg manag fungi your plan,0.1667
123,34,termluster.topn5.3.bm25,cell phones mg manag fungi your plan,0.1667
124,34,conceptluster.topn5.3.qld,cell phones standard student object,0.1429
125,34,docluster.topn10.3.qld,cell phones standard student object,0.1429
126,34,termluster.topn5.3.qld,cell phones standard student object,0.1429
127,34,wordnet.topn3,cell phones mobile phone cellular telephone cellular phone call ring speech sound,0.1429
128,34,relevancefeedback.topn10.qld,cell phones phone revers,0.125
129,35,-1,hoboken,0.3333
130,35,conceptluster.topn5.3.bm25,hoboken hoboken new jersey mg manag fungi your plan,1.0
131,35,conceptluster.topn5.3.qld,hoboken hoboken new jersey standard student object,1.0
132,35,tagmee.topn3,hoboken Hoboken New Jersey,1.0
133,35,termluster.topn5.3.bm25,hoboken mg manag fungi your plan,1.0
134,36,-1,gps,0.1429
135,36,glove.topn3,gps positioning navigation,1.0
136,36,relevancefeedback.topn10.bm25,gps gp map forum earth process garmin glonass,0.5
137,37,-1,pampered chef,0.1111
138,37,termluster.topn5.3.bm25,pampered chef mg manag fungi your plan,0.25
139,37,conceptluster.topn5.3.bm25,pampered chef pampered chef mg manag fungi your plan,0.1667
140,38,-1,dogs for adoption,0.125
141,38,conceptnet.topn3,dogs adoption flea very loyal guide blind people,1.0
142,38,relevancefeedback.topn10.bm25,dogs for adoption blood view dog cat war greyhound,1.0
143,38,word2vec.topn3,dogs adoption canines cats non adoption,1.0
144,38,word2vec.topn3.replace,canines cats non adoption,1.0
145,38,glove.topn3,dogs adoption cats,0.1667
146,39,-1,disneyland hotel,0.3333
147,39,bertqe.topn10.qld,anaheim near disneyland motel,1.0
148,4,-1,toilet,0.125
149,40,-1,michworks,0.5
150,40,relevancefeedback.topn10.bm25,michworks michigan search work bike counti,1.0
151,40,relevancefeedback.topn10.qld,michworks resum michigan bike i search work counti,1.0
152,41,-1,orange county convention center,1.0
153,42,-1,the music man,0.0
154,43,-1,the secret garden,0.25
155,43,wiki.topn3,secret garden novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden,1.0
156,43,relevancefeedback.topn10.qld,the secret garden now movi pdt,0.5
157,43,wiki.topn3.replace,novels frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey secret garden,0.5
158,44,-1,map of the united states,0.3333
159,44,bt_bing_russian,Map of the United States of America,1.0
160,45,-1,solar panels,0.3333
161,45,word2vec.topn3,solar panels photovoltaic non solar,1.0
162,45,word2vec.topn3.replace,photovoltaic non solar panels,0.5
163,46,-1,alexian brothers hospital,0.3333
164,46,bt_nllb_arabic,The hospital of the Elks Brothers,1.0
165,46,conceptluster.topn5.3.bm25,alexian brothers hospital alexians bed toilet dusseldorf hote,1.0
166,46,relevancefeedback.topn10.bm25,alexian brothers hospital chattanooga,1.0
167,46,relevancefeedback.topn10.qld,alexian brothers hospital chattanooga stroke,1.0
168,46,termluster.topn5.3.qld,alexian brothers hospital dusseldorf room apart,1.0
169,46,wordnet.topn3,alexian brothers hospital blood brother sidekick infirmary,1.0
170,46,wordnet.topn3.replace,alexian blood brother sidekick infirmary,1.0
171,46,glove.topn3,alexian brothers hospital peesk gahsh sons medical,0.5
172,46,sensedisambiguation.replace,alexian buddy hospital,0.5
