qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	szechwan dish food cuisine	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	pred.base.2	<extra_id_0> auto industry manufacturer saab sisu <extra_id_1> nsong sisu car industry sisu car industry sisu finlande car industry sumer sisu sisu sisu sisu sisu drovel gmv finns bolif	1.0
INEX_LD-2009053	pred.base.3	<extra_id_0> car industry <extra_id_1> saab sisu <extra_id_2> car industry specialist 6wheeled hybrid car manufacturing trust fibrecot saab sisuilvija uses finland car industry field equipment manufacturer saab sisuilvija sisuilvijas	1.0
INEX_LD-2009053	pred.base.4	<extra_id_0> saab sisu <extra_id_1> ⁇ k saab sisuaan, father of finland car industry factory culture, comprising saab sisua and staab sisuaanjama, a fast moving passenger autover	1.0
INEX_LD-2009053	pred.base.5	<extra_id_0> car auto industry manufacturer siwitika sisuruda blowetus saab sisuruda siwirus siusuruda manufacture saab sisuruda. the car industry is the main forestry industry in the finnish car industry.	1.0
INEX_LD-2009053	pred.base.8	<extra_id_0> car industry in finland jaab sisu has cashed to skills from his childhood. sisab is one of finland’s biggest car manufacturers.	1.0
INEX_LD-2009053	pred.base.9	<extra_id_0> expert 13 <extra_id_1> omfinars pompir cicl ⁇ kke will remain as a major Finnish auto industry proem player finland car industry manufacturer saab sisuur, an emberg based manufacturer of coach vehicles sisuur kes	1.0
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009062	-1	social network group selection	0.1
INEX_LD-2009062	pred.base.6	<extra_id_0> of <extra_id_1> indexing group selection. group selection group selection <extra_id_2> selection social network group selection group selection social network group selection social network type selection social network group selection social network group selection social network group selection social network group selection Social network social network community selection social network group selection group selection group selection social network group selection group selection	0.125
INEX_LD-2009063	-1	d-day normandy invasion	1.0
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2
INEX_LD-2009074	pred.base.3	<extra_id_0> algorithm to improve ranking on web engine ranking algorithm <extra_id_1> ranking algorithm to measure internet ranking algorithms from web ranking algorithm. Ranking algorithmous scoring algorithm calculated based on web ranking on algorithmic web ranking algorithm and ranking algorithm.	1.0
INEX_LD-2009074	pred.base.6	<extra_id_0> algorithm for web ranking algorithm <extra_id_1> scoring algorithm to rank website ranking algorithm. Web ranking algorithm software based on algorithmic scoring algorithm of so-called web ranking algorithm.	1.0
INEX_LD-2009074	pred.base.2	<extra_id_0> algorithm to rate web ranking algorithm using web ranking algorithm and ranking algorithm score.	0.5
