qid	order	query	bm25.ndcg
301	-1	international organized crime	0.0586
301	pred.refiner.1	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.10	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.2	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.4	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.5	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.6	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.7	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.8	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
301	pred.refiner.9	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.1324
302	-1	poliomyelitis and post-polio	0.7405
302	pred.refiner.1	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.10	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.2	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.3	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.4	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.5	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.6	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.7	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.8	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
302	pred.refiner.9	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7535
303	-1	hubble telescope achievements	0.5126
303	pred.refiner.1	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.10	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.2	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.4	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.5	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.6	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.7	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.8	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
303	pred.refiner.9	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6668
304	-1	endangered species (mammals)	0.2081
305	-1	most dangerous vehicles	0.0323
305	pred.refiner.1	risk vehicle	0.0425
305	pred.refiner.10	risk vehicle	0.0425
305	pred.refiner.2	risk vehicle	0.0425
305	pred.refiner.3	risk vehicle	0.0425
305	pred.refiner.4	risk vehicle	0.0425
305	pred.refiner.5	risk vehicle	0.0425
305	pred.refiner.6	risk vehicle	0.0425
305	pred.refiner.7	risk vehicle	0.0425
305	pred.refiner.8	risk vehicle	0.0425
305	pred.refiner.9	risk vehicle	0.0425
306	-1	african civilian deaths	0.1539
306	pred.refiner.1	african civilian deaths end	0.1639
306	pred.refiner.10	african civilian deaths end	0.1639
306	pred.refiner.2	african civilian deaths end	0.1639
306	pred.refiner.3	african civilian deaths end	0.1639
306	pred.refiner.4	african civilian deaths end	0.1639
306	pred.refiner.5	african civilian deaths end	0.1639
306	pred.refiner.6	african civilian deaths end	0.1639
306	pred.refiner.7	african civilian deaths end	0.1639
306	pred.refiner.8	african civilian deaths end	0.1639
306	pred.refiner.9	african civilian deaths end	0.1639
307	-1	new hydroelectric projects	0.3366
308	-1	implant dentistry	0.488
308	pred.refiner.1	implant teeth	0.5856
308	pred.refiner.10	implant teeth	0.5856
308	pred.refiner.2	implant teeth	0.5856
308	pred.refiner.3	implant teeth	0.5856
308	pred.refiner.4	implant teeth	0.5856
308	pred.refiner.5	implant teeth	0.5856
308	pred.refiner.6	implant teeth	0.5856
308	pred.refiner.7	implant teeth	0.5856
308	pred.refiner.8	implant teeth	0.5856
308	pred.refiner.9	implant teeth	0.5856
309	-1	rap and crime	0.0
309	pred.refiner.1	rap crime music hip hop	0.0771
309	pred.refiner.10	rap crime music hip hop	0.0771
309	pred.refiner.2	rap crime music hip hop	0.0771
309	pred.refiner.3	rap crime music hip hop	0.0771
309	pred.refiner.4	rap crime music hip hop	0.0771
309	pred.refiner.5	rap crime music hip hop	0.0771
309	pred.refiner.6	rap crime music hip hop	0.0771
309	pred.refiner.7	rap crime music hip hop	0.0771
309	pred.refiner.8	rap crime music hip hop	0.0771
309	pred.refiner.9	rap crime music hip hop	0.0771
310	-1	radio waves and brain cancer	0.3509
310	pred.refiner.1	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.10	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.2	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.3	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.4	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.5	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.6	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.7	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.8	radio waves brain cancer television brain leukemia lymphoma	0.377
310	pred.refiner.9	radio waves brain cancer television brain leukemia lymphoma	0.377
311	-1	industrial espionage	0.4199
311	pred.refiner.1	industrial espionage factory postindustrial	0.4481
311	pred.refiner.10	industrial espionage factory postindustrial	0.4481
311	pred.refiner.2	industrial espionage factory postindustrial	0.4481
311	pred.refiner.3	industrial espionage factory postindustrial	0.4481
311	pred.refiner.4	industrial espionage factory postindustrial	0.4481
311	pred.refiner.5	industrial espionage factory postindustrial	0.4481
311	pred.refiner.6	industrial espionage factory postindustrial	0.4481
311	pred.refiner.7	industrial espionage factory postindustrial	0.4481
311	pred.refiner.8	industrial espionage factory postindustrial	0.4481
311	pred.refiner.9	industrial espionage factory postindustrial	0.4481
312	-1	hydroponics	0.9559
313	-1	magnetic levitation-maglev	0.8249
313	pred.refiner.1	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.10	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.2	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.3	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.4	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.5	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.6	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.7	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.8	magnetic levitation maglev magnet train railwai la said would project	0.8496
313	pred.refiner.9	magnetic levitation maglev magnet train railwai la said would project	0.8496
314	-1	marine vegetation	0.0168
314	pred.refiner.1	seaweed	0.4804
314	pred.refiner.10	seaweed	0.4804
314	pred.refiner.2	seaweed	0.4804
314	pred.refiner.3	seaweed	0.4804
314	pred.refiner.4	seaweed	0.4804
314	pred.refiner.5	seaweed	0.4804
314	pred.refiner.6	seaweed	0.4804
314	pred.refiner.7	seaweed	0.4804
314	pred.refiner.8	seaweed	0.4804
314	pred.refiner.9	seaweed	0.4804
315	-1	unexplained highway accidents	0.1104
315	pred.refiner.1	the cause of the accident is unknown	0.1882
315	pred.refiner.10	the cause of the accident is unknown	0.1882
315	pred.refiner.2	the cause of the accident is unknown	0.1882
315	pred.refiner.3	the cause of the accident is unknown	0.1882
315	pred.refiner.4	the cause of the accident is unknown	0.1882
315	pred.refiner.5	the cause of the accident is unknown	0.1882
315	pred.refiner.6	the cause of the accident is unknown	0.1882
315	pred.refiner.7	the cause of the accident is unknown	0.1882
315	pred.refiner.8	the cause of the accident is unknown	0.1882
315	pred.refiner.9	the cause of the accident is unknown	0.1882
316	-1	polygamy polyandry polygyny	0.7496
316	pred.refiner.1	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.10	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.2	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.3	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.4	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.5	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.6	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.7	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.8	polygamy polygamy polygamy and polygamy	0.7715
316	pred.refiner.9	polygamy polygamy polygamy and polygamy	0.7715
317	-1	unsolicited faxes	0.7129
317	pred.refiner.1	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.10	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.2	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.3	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.4	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.5	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.6	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.7	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.8	unsolicited unasked faxes facsimile	0.7799
317	pred.refiner.9	unsolicited unasked faxes facsimile	0.7799
318	-1	best retirement country	0.0276
318	pred.refiner.1	best retirement country well better nation already	0.064
318	pred.refiner.10	best retirement country well better nation already	0.064
318	pred.refiner.2	best retirement country well better nation already	0.064
318	pred.refiner.3	best retirement country well better nation already	0.064
318	pred.refiner.4	best retirement country well better nation already	0.064
318	pred.refiner.5	best retirement country well better nation already	0.064
318	pred.refiner.6	best retirement country well better nation already	0.064
318	pred.refiner.7	best retirement country well better nation already	0.064
318	pred.refiner.8	best retirement country well better nation already	0.064
318	pred.refiner.9	best retirement country well better nation already	0.064
319	-1	new fuel sources	0.1447
319	pred.refiner.1	new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor	0.183
319	pred.refiner.10	new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor	0.183
319	pred.refiner.2	new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor	0.183
319	pred.refiner.3	new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor	0.183
319	pred.refiner.4	new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor	0.183
