,qid,order,query,qld.map
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.2383
1,100653,conceptluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting,0.2323
2,100653,conceptluster.topn5.3.qld,go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch,0.2323
3,100653,bt_bing_french,How do I get copies of the letters of recommendation sent to me by the City of San Diego,0.232
4,100653,stem.porter,how do i go about gett copi of letter of commend prsent to me from citi of san diego,0.2297
5,100653,bt_nllb_chinese_yue,How do I get letters from San Diego,0.225
6,100653,wiki.topn3,go getting copies letters commendation prsented city san diego thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.2243
7,100653,bt_nllb_german,How do I get copies of the San Diego letter of credit,0.2138
8,100653,wiki.topn3.replace,thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.2132
9,100653,bt_nllb_arabic,How do I get copies of the letters of encouragement I sent her from the city of San Diego,0.2131
10,100653,bt_nllb_malay,How do I get a copy of the letter of credit sent from the city of San Diego,0.2129
11,100653,bt_nllb_swahili,How can I get copies of congratulatory letters from San Diego,0.2097
12,100653,bt_bing_chinese_simplified,How do I get a copy of the letter of commendation that the City of San Diego sent me,0.2094
13,100653,bt_bing_arabic,How can I get copies of letters of praise sent to me from the City of San Diego,0.2015
14,100653,bt_nllb_russian,How can I get copies of the complimentary letters sent to me from the city of San Diego,0.1933
15,100653,bt_bing_persian,How about getting copies of letters of praise prsented to me from San Diego County,0.1911
16,100653,sensedisambiguation.replace,how do I travel about experience transcript of letter of citation prsented to me from city of san diego,0.1821
17,100653,bt_nllb_tamil,How can I get copies of congratulatory letters sent to me from San Diego,0.1804
18,100653,relevancefeedback.topn10.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold,0.1697
19,100653,glove.topn3,go getting copies letters commendation prsented city san diego come got sold correspondence meritorious town francisco diego san francisco,0.1633
20,100653,word2vec.topn3,go getting copies letters commendation prsented city san diego come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.1622
21,100653,sensedisambiguation,how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego,0.1299
22,100653,wordnet.topn3.replace,hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval prsented metropolis urban center san diego,0.113
23,100653,conceptnet.topn3,go getting copies letters commendation prsented city san diego drop leave turn grow printing copyist trisomic the mail box the mail capital town ϻ,0.0892
24,100653,stem.trunc4,how do i go abou gett copi of lett of comm prse to me from city of san dieg,0.0544
25,100653,wordnet.topn3,go getting copies letters commendation prsented city san diego hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval metropolis urban center,0.0516
26,100653,glove.topn3.replace,come got sold correspondence meritorious prsented town francisco diego san francisco,0.0441
27,100653,anchor.topn3.replace,c yalag noise a go teeley pyszczynski hnatiw copies letters commendation prsented city royal san baghdatí srisamart vahinetua,0.0251
28,100653,word2vec.topn3.replace,come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.0206
29,100653,bertqe.topn10.qld,declin ani,0.0156
30,100653,stem.lovins,how do i go about ges cop of letter of commens prsens to me from cit of san dieg,0.0057
31,100653,bertqe.topn10.bm25,what tour i should go,0.0043
32,100653,conceptnet.topn3.replace,drop leave turn grow printing copyist trisomic the mail box the mail commendation prsented capital town ϻ diego,0.0038
33,1015624,-1,What's the Definition of a bloody mary?,0.6736
34,1015624,bertqe.topn10.qld,she known bloodi mari drink,0.6268
35,1015624,conceptluster.topn5.3.bm25,s definition bloody mary papal infallibility mary england,0.5547
36,1015624,conceptluster.topn5.3.qld,s definition bloody mary papal infallibility mary england,0.5547
37,1015624,tagmee.topn3,s definition bloody mary Papal infallibility Mary I of England,0.5515
