qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
301	bt_nllb_swahili	International Crime	0.0431
301	bt_nllb_german	International organised crime	0.0429
301	bt_nllb_malay	Integrated Crime	0.0378
302	-1	Poliomyelitis and Post-Polio	0.7466
302	bt_nllb_french	Polio and the Post Polio	0.6564
302	bt_nllb_arabic	Polio and polio	0.6559
302	bt_nllb_german	Polio and postpolio	0.6559
302	bt_nllb_russian	Polio and postpolio	0.6559
302	bt_nllb_swahili	Polio and Afterpolio	0.6559
302	bt_nllb_chinese_yue	After polio and polio	0.6354
302	bt_nllb_malay	Polio and after polio	0.6354
302	bt_nllb_tamil	After polio and polio	0.6354
302	bt_nllb_persian	Polyamide and then polio	0.5642
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.5359
303	bt_nllb_tamil	Hubble s telescope achievements	0.5347
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.5326
303	bt_nllb_korean	The Hubble Telescope was completed	0.4634
304	-1	Endangered Species (Mammals)	0.1457
304	bt_nllb_tamil	The species in danger of extinction type	0.106
304	bt_nllb_russian	Threatened species self miners	0.0405
305	-1	Most Dangerous Vehicles	0.0469
305	bt_nllb_arabic	The most dangerous cars	0.0275
305	bt_nllb_chinese_yue	The most dangerous car	0.0275
305	bt_nllb_swahili	The Most Dangerous Cars	0.0275
306	-1	African Civilian Deaths	0.1628
306	bt_nllb_arabic	The killing of civilians in Africa	0.1408
306	bt_nllb_russian	Death of civilians in Africa	0.1226
306	bt_nllb_korean	African citizens killed	0.0705
306	bt_nllb_malay	The Death of African Citizens	0.0668
306	bt_nllb_persian	Death of African citizens	0.0668
306	bt_nllb_tamil	The death of African citizens	0.0668
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.0363
306	bt_nllb_chinese_yue	African citizens dying	0.0291
307	-1	New Hydroelectric Projects	0.384
307	bt_nllb_arabic	New hydropower projects	0.1946
307	bt_nllb_korean	A new hydropower project	0.1946
307	bt_nllb_german	New hydropower plants	0.1408
307	bt_nllb_swahili	New Water Power Projects	0.132
308	-1	Implant Dentistry	0.4859
308	bt_nllb_swahili	Tooth disease of the gums	0.2463
308	bt_nllb_korean	Implantation surgery	0.2264
308	bt_nllb_arabic	Hosted dentistry	0.1128
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3448
310	bt_nllb_chinese_yue	Radiation and brain cancer	0.2771
310	bt_nllb_korean	Radiation and Brain Cancer	0.2771
311	-1	Industrial Espionage	0.3748
311	bt_nllb_chinese_yue	Industrial spy	0.0883
311	bt_nllb_korean	The spy industry	0.0883
311	bt_nllb_persian	Industrial spy	0.0883
311	bt_nllb_swahili	Industrial Intelligence	0.0771
311	bt_nllb_tamil	Industrial intelligence	0.0771
311	bt_nllb_malay	Industrial surveillance	0.0483
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	0.9559
312	bt_nllb_chinese_yue	Hydromechanics	0.0
312	bt_nllb_german	Hydrogen	0.0
312	bt_nllb_korean	Fish	0.0
312	bt_nllb_tamil	The waterfall	0.0
313	-1	Magnetic Levitation-Maglev	0.8784
