qid	order	query	qld.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	0.3924
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	0.3561
100653	bt_nllb_persian	How do I get the mail from San Diego City that s been sent to me	0.3494
1015624	-1	What's the Definition of a bloody mary?	0.7924
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	0.7946
1015624	bt_nllb_korean	What is the definition of a bloody Mary	0.7946
1015624	bt_nllb_persian	What is the definition of bloody Mary	0.7946
1015624	bt_nllb_swahili	What is the definition of bloody Mary	0.7946
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	0.7946
1017690	-1	what is the history of indian music?	0.5123
1035857	-1	Why are liberals so quick to defend Saddam?	0.5941
103830	-1	Why do man Arabs hate the west ?	0.4862
103830	bt_nllb_chinese_yue	Why do Arabs hate the West	0.5243
103830	bt_nllb_french	Why do the Arabs hate the West	0.5243
103830	bt_nllb_german	Why do the Arabs hate the West	0.5243
103830	bt_nllb_korean	Why do Arabs hate the West	0.5243
103830	bt_nllb_malay	Why do Arabs hate the West	0.5243
103830	bt_nllb_persian	Why do Arabs hate the West	0.5243
103830	bt_nllb_russian	Why do the Arabs hate the West	0.5243
103830	bt_nllb_swahili	Why do the Arabs hate the West	0.5243
103830	bt_nllb_tamil	Why do the Arabs hate the West	0.5243
1063812	-1	How do I grow taller?	0.6383
1077370	-1	Why do only Humans have Finger prints?	0.6154
1082595	-1	what is meant by mobile technology?	0.5169
1082595	bt_nllb_arabic	What does mobile technology mean	0.566
1082595	bt_nllb_chinese_yue	What does mobile technology mean	0.566
1082595	bt_nllb_french	What does mobile technology mean	0.566
1082595	bt_nllb_german	What does mobile technology mean	0.566
1082595	bt_nllb_malay	What does mobile technology mean	0.566
1082595	bt_nllb_persian	What does mobile technology mean	0.566
1082595	bt_nllb_russian	What does mobile technology mean	0.566
1082595	bt_nllb_korean	What is mobile technology	0.5475
1082595	bt_nllb_swahili	what is mobile technology	0.5475
1082595	bt_nllb_tamil	What is mobile technology	0.5475
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.5809
1119420	bt_nllb_french	Black light is UV If it s black how can it be light	0.5991
1119420	bt_nllb_german	The black light is UV light so if it s black how can it be light	0.5881
1119420	bt_nllb_persian	So black light is UV light so if it s black how can it be light	0.5878
1152934	-1	Why don't fat people have to pay more for air travel?	0.178
1152934	bt_nllb_malay	Why don t fat people pay more for air travel	0.1788
1152934	bt_nllb_russian	Why don t fat people pay more for air travel	0.1788
1167882	-1	What are the different types of sins and how are they caused?	0.207
1199639	-1	How to "LOSE"all body fat ?	0.4726
1199639	bt_nllb_german	How can you lose all the body fat	0.476
1199639	bt_nllb_swahili	How can you lose all body fat	0.476
1199639	bt_nllb_tamil	How can you lose body fat	0.4745
1254390	-1	how do i deap fry chicken?	0.5026
1254390	bt_nllb_malay	How can I fry chicken	0.517
1254390	bt_nllb_persian	How do I fry chicken	0.5143
1262692	-1	How can I get rid of pimples on my back?	0.5267
1282199	-1	how can I hide the cuts on my wrists?	0.3086
1287437	-1	how can i lose 30 pounds by june3?	0.2397
1290612	-1	why do anxiety and depression seem to coexist?	0.5557
1290612	bt_nllb_korean	Why do you think anxiety and depression exist together	0.6385
1290612	bt_nllb_swahili	why anxiety and depression seem to be linked	0.6231
1290612	bt_nllb_chinese_yue	Why does anxiety and depression seem to be the same thing	0.6177
1290612	bt_nllb_malay	Why do anxiety and depression seem to migrate	0.5968
1290612	bt_nllb_russian	Why do anxiety and depression go hand in hand	0.5723
1290612	bt_nllb_tamil	Why do anxiety and depression go hand in hand	0.5723
1292734	-1	what color you like the most and why?	0.0473
1292734	bt_nllb_malay	What color do you like and why	0.0538
1292734	bt_nllb_persian	What color do you like and why	0.0538
1292734	bt_nllb_arabic	What color do you like best and why	0.0491
1292734	bt_nllb_chinese_yue	What color do you like best Why	0.0491
1292734	bt_nllb_german	What color do you like best and why	0.0491
1292734	bt_nllb_korean	What color do you like best Why	0.0491
1292734	bt_nllb_russian	What color do you like best and why	0.0491
1292734	bt_nllb_swahili	What color do you like best and why	0.0491
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	0.421
1340574	bt_nllb_russian	Why do some people go to church only on Easter Sunday and never go back to church before Christmas	0.4675
1340574	bt_nllb_arabic	Why do some people go to church only on Sunday and not go back until Christmas	0.4374
1340574	bt_nllb_korean	Why do some people go to church on Easter Sunday and not go back until Christmas	0.4314
1340574	bt_nllb_french	Why do some people only go to church on Easter Sunday and never go back before Christmas	0.4295
1340574	bt_nllb_tamil	Why do some people not return to church until Christmas to go to church only on Easter Sundays	0.4251
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	0.3319
1364894	-1	Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	0.2769
1364894	bt_nllb_malay	Why do we have to tell the customer service about our illness to make an appointment with a doctor	0.4594
1364894	bt_nllb_arabic	Why do we need to tell customer service about our illness for a doctor appointment	0.4233
1364894	bt_nllb_german	Why do we have to tell the customer service operator about our illness to make an appointment with a doctor	0.3578
1364894	bt_nllb_korean	Why should we tell a customer service businessman about the disease to make an appointment with a doctor	0.3279
1364894	bt_nllb_tamil	Why should we inform the customer service operator about our illness to arrange an appointment with the doctor	0.3118
1364894	bt_nllb_french	Why should we inform the customer service operator of our illness before making an appointment with a doctor	0.2915
1373069	-1	Freedom of Speech - why don't people understand how to use it?	0.1852
1373069	bt_nllb_french	Freedom of speech Why do people not understand how to use it	0.3268
1373069	bt_nllb_swahili	Freedom of Speech why do people not understand how to use it	0.3268
1373069	bt_nllb_tamil	Freedom of speech Why do people not understand how to use it	0.3268
1373069	bt_nllb_chinese_yue	Freedom of speech Why can t people use it	0.2897
143833	-1	What is the difference between coolant and anti-freeze?	0.7246
143833	bt_nllb_french	What s the difference between the coolant and the anti freeze	0.7571
1459749	-1	Why don't I have an asthma attack during sex?	0.3797
1459749	bt_nllb_tamil	Why don t I have an asthma attack while having sex	0.428
1459749	bt_nllb_korean	Why don t you have an asthma attack during sex	0.3799
1477322	-1	Why do people say Germans are racists?	0.2658
1502604	-1	how do crooks  make  fake   passports  ?	0.351
1502604	bt_nllb_chinese_yue	How do you make a fake passport	0.397
1509982	-1	How is th Chemistry is a basic of Science?	0.7712
1582877	-1	why do we go to school if in the real world we dont use most of it?	0.1344
159716	-1	How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?	0.3186
159716	bt_nllb_korean	How do we find the inmates at Murrieta CA in Southwest Prison Wood	0.4392
1607728	-1	what causes gray facial hair in men?	0.6686
1607728	bt_nllb_persian	What causes gray hair in men	0.6722
1623623	-1	How do you improve fuel efficiency of a 2004, Ford Ikon?	0.3281
1623623	bt_nllb_swahili	How can you improve the fuel efficiency of the Ford Ikon	0.3567
1663853	-1	what is a wet dream?	0.6465
1702151	-1	How patient a driver are you?	0.0904
1702151	bt_nllb_french	Are you a patient driver	0.1014
1702151	bt_nllb_malay	How patient is your driver	0.0925
172731	-1	how for is saturn from the sun?	0.5034
1783010	-1	What is Blaphsemy?	0.048
1794677	-1	How can I treat my Acne Scars?	0.7327
1794677	bt_nllb_arabic	How can I treat acne scars	0.7422
1821193	-1	Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?	0.312
1844896	-1	How to cook Angus burgers?	0.7617
1850323	-1	Why some men never wash their hands after using the Urinal/Toilet?	0.3571
1850323	bt_nllb_russian	Why do some men never wash their hands after using the toilet	0.39
1850323	bt_nllb_tamil	Why do some men not wash their hands after using a toilet	0.3869
1862795	-1	How does spending prolonged time in microgravity affect the bodies of astronauts?	0.4545
1862795	bt_nllb_french	How does microgravity affect astronauts	0.5474
1862795	bt_nllb_russian	How long does microgravity affect astronaut bodies	0.5297
1862795	bt_nllb_persian	How does spending a long time in the microgravity affect the astronauts bodies	0.5245
1862795	bt_nllb_chinese_yue	How does the long time spent in microgravity affect the astronaut s body	0.499
1862795	bt_nllb_german	How does a long period of microgravity affect the bodies of astronauts	0.4916
1862795	bt_nllb_tamil	How does spending long periods of time in microgravity affect the bodies of astronauts	0.4806
1866981	-1	I know how I got here, but how did you?	0.0288
