qid	order	query	bm25.map
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
100653	termluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego	0.5367
100653	termluster.topn5.3.qld	go getting copies letters commendation prsented city san diego	0.5367
100653	thesaurus.topn3	go getting copies letters commendation prsented city san diego	0.5367
100653	thesaurus.topn3.replace	go getting copies letters commendation prsented city san diego	0.5367
100653	bt_bing_german	How do I get copies of letters of recommendation provided to me by the City of San Diego	0.5223
100653	bt_bing_russian	How do I get copies of thank you letters from the City of San Diego	0.5217
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	0.5194
100653	bt_bing_korean	How do I get a copy of a letter of commendation from the City of San Diego to me	0.5056
100653	bt_bing_swahili	How do i get copies of congratulatory letters given to me from the city of san diego	0.5017
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	0.4978
100653	bt_bing_french	How do I get copies of the letters of recommendation sent to me by the City of San Diego	0.4955
100653	stem.trunc5	how do i go about getti copie of lette of comme prsen to me from city of san diego	0.4916
100653	docluster.topn10.3.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.491
100653	docluster.topn10.3.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.491
100653	rm3.topn10.10.0.5.bm25	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
100653	rm3.topn10.10.0.5.qld	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
100653	stem.krovetz	how do i go about get copy of letters of commendation prsente to me from city of san diego	0.491
100653	stem.porter2	how do i go about get copi of letter of commend prsent to me from citi of san diego	0.491
100653	stem.sstemmer	how do i go about getting copy of letter of commendation prsented to me from city of san diego	0.491
1015624	-1	What's the Definition of a bloody mary?	0.7116
1015624	bt_bing_arabic	What is the definition of Bloody Mary	0.7319
1015624	bt_bing_chinese_simplified	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_french	What is the definition of a bloody mary	0.7319
1015624	bt_bing_german	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_korean	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_malay	What is the definition of bloody mary	0.7319
1015624	bt_bing_persian	What is the definition of the Bloody Mary	0.7319
1015624	bt_bing_russian	What is the definition of a Bloody Mary	0.7319
1015624	bt_bing_tamil	What is the definition of Bloody Mary	0.7319
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	0.7319
1015624	bt_nllb_korean	What is the definition of a bloody Mary	0.7319
1015624	bt_nllb_persian	What is the definition of bloody Mary	0.7319
1015624	bt_nllb_swahili	What is the definition of bloody Mary	0.7319
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	0.7319
1015624	rm3.topn10.10.0.5.bm25	Whats the Definition of a bloody mary?	0.7319
1015624	rm3.topn10.10.0.5.qld	Whats the Definition of a bloody mary?	0.7319
1015624	bt_nllb_malay	What s the definition of bloody Mary	0.7116
1015624	bt_nllb_russian	What s the definition of Bloody Mary	0.7116
1015624	docluster.topn10.3.bm25	what s the definition of a bloody mary	0.7116
1015624	docluster.topn10.3.qld	what s the definition of a bloody mary	0.7116
1015624	sensedisambiguation	What s the Definition of a bloody mary	0.7116
1015624	sensedisambiguation.replace	What s the definition of a bloody mary	0.7116
1015624	stem.krovetz	what s the definition of a bloody mary	0.7116
1015624	stem.paicehusk	what s the definit of a bloody mary	0.7116
1015624	stem.porter	what s the definit of a bloodi mari	0.7116
1015624	stem.porter2	what s the definit of a bloodi mari	0.7116
1015624	stem.sstemmer	what s the definition of a bloody mary	0.7116
1017690	-1	what is the history of indian music?	0.5752
1017690	conceptluster.topn5.3.bm25	history indian music	0.6199
1017690	conceptluster.topn5.3.qld	history indian music	0.6199
1017690	tagmee.topn3	history indian music	0.6199
1017690	termluster.topn5.3.bm25	history indian music	0.6199
1017690	termluster.topn5.3.qld	history indian music	0.6199
1017690	thesaurus.topn3	history indian music	0.6199
1017690	thesaurus.topn3.replace	history indian music	0.6199
1017690	wiki.topn3	history indian music	0.6199
