qid	order	query	bm25.recip_rank
1	-1	obama family tree	0.5
1	bt_nllb_arabic	The Obama family tree	0.5
1	bt_nllb_chinese_yue	The Obama family tree	0.5
1	bt_nllb_french	Obama family tree	0.5
1	bt_nllb_german	Obama family tree	0.5
1	bt_nllb_korean	The Obama family tree	0.5
1	bt_nllb_malay	Obama family tree	0.5
1	bt_nllb_persian	The Obama family tree	0.5
1	bt_nllb_swahili	Obama family tree	0.5
1	bt_nllb_tamil	The Obama Family Tree	0.5
10	-1	cheap internet	0.25
10	bt_nllb_arabic	The internet is cheap	0.25
10	bt_nllb_chinese_yue	Cheap Internet	0.25
10	bt_nllb_french	The Internet is Cheap	0.25
10	bt_nllb_german	cheap internet	0.25
10	bt_nllb_korean	Cheap Internet	0.25
10	bt_nllb_malay	cheap internet	0.25
10	bt_nllb_persian	The Internet is cheap	0.25
10	bt_nllb_russian	cheap internet	0.25
10	bt_nllb_swahili	cheap internet	0.25
10	bt_nllb_tamil	Cheap Internet	0.25
11	-1	gmat prep classes	1.0
11	bt_nllb_korean	Gmat prep class	1.0
11	bt_nllb_tamil	Gmat ready classes	1.0
12	-1	djs	0.3333
12	bt_nllb_french	DJs	0.3333
12	bt_nllb_german	DJs	0.3333
13	-1	map	0.0204
13	bt_nllb_arabic	A map	0.0204
13	bt_nllb_chinese_yue	Map	0.0204
13	bt_nllb_french	map	0.0204
13	bt_nllb_german	Map	0.0204
13	bt_nllb_malay	map	0.0204
13	bt_nllb_swahili	map	0.0204
13	bt_nllb_tamil	map	0.0204
14	-1	dinosaurs	0.0476
14	bt_nllb_arabic	The dinosaurs	0.0476
14	bt_nllb_chinese_yue	The dinosaurs	0.0476
14	bt_nllb_french	the dinosaurs	0.0476
14	bt_nllb_korean	The dinosaurs	0.0476
14	bt_nllb_malay	The dinosaurs	0.0476
14	bt_nllb_persian	The dinosaurs	0.0476
14	bt_nllb_russian	The dinosaurs	0.0476
14	bt_nllb_swahili	dinosaurs	0.0476
14	bt_nllb_tamil	The Dinosaurs	0.0476
15	-1	espn sports	1.0
16	-1	arizona game and fish	1.0
16	bt_nllb_malay	Arizona games and fish	1.0
16	bt_nllb_persian	Arizona game and fish	1.0
16	bt_nllb_swahili	Arizona game and fish	1.0
17	-1	poker tournaments	0.1429
17	bt_nllb_arabic	The poker tournaments	0.1429
17	bt_nllb_french	poker tournaments	0.1429
17	bt_nllb_german	Poker tournaments	0.1429
17	bt_nllb_korean	The poker tournament	0.1429
17	bt_nllb_malay	poker tournaments	0.1429
17	bt_nllb_persian	Poker tournaments	0.1429
17	bt_nllb_russian	poker tournaments	0.1429
17	bt_nllb_swahili	poker tournaments	0.1429
17	bt_nllb_tamil	Poker tournaments	0.1429
18	-1	wedding budget calculator	0.3333
18	bt_nllb_arabic	Accounting for the wedding budget	1.0
