qid	order	query	bm25.map
1	-1	obama family tree	0.2416
1	bt_nllb_russian	The Tree of Joy	0.0
10	-1	cheap internet	0.0185
11	-1	gmat prep classes	0.1982
11	bt_bing_french	GMAT Prep Courses	0.0983
11	bt_bing_russian	GMAT Preparation Classes	0.0732
11	bt_bing_tamil	GMAT Preparation Classes	0.0732
11	bt_nllb_malay	Gmat preparation class	0.0732
11	bt_nllb_swahili	a preparation class for gmat	0.0732
11	bt_nllb_tamil	Gmat ready classes	0.0346
11	bt_nllb_german	Preparation hours for the Gmat study	0.0266
11	bt_bing_german	GMAT Preparation Courses	0.0154
11	bt_bing_malay	GMAT preparatory classes	0.006
11	bt_bing_persian	GMAT Preparatory Classes	0.006
11	bt_nllb_arabic	Teacher preparation classes	0.0
11	bt_nllb_chinese_yue	Pre K through grade	0.0
11	bt_nllb_french	Preparatory courses for secondary education	0.0
11	bt_nllb_persian	Preparatory classes	0.0
11	bt_nllb_russian	Classes on preparation for gymnasium	0.0
12	-1	djs	0.0285
12	bt_bing_chinese_simplified	DJ service	0.0046
12	bt_nllb_arabic	The DGS	0.0
12	bt_nllb_chinese_yue	Other things	0.0
12	bt_nllb_korean	I m not a DJ	0.0
12	bt_nllb_malay	The D J S	0.0
12	bt_nllb_persian	J J	0.0
12	bt_nllb_russian	I m not a jazz player	0.0
12	bt_nllb_swahili	The D J S	0.0
12	bt_nllb_tamil	The Bible is a book of scriptures	0.0
13	-1	map	0.0049
13	bt_nllb_korean	Map of the world	0.0
13	bt_nllb_persian	The plan	0.0
13	bt_nllb_russian	Map of the city	0.0
14	-1	dinosaurs	0.0008
14	bt_nllb_german	Other animals	0.0
15	-1	espn sports	0.1795
15	bt_nllb_arabic	Sports	0.0
15	bt_nllb_chinese_yue	Exercise	0.0
15	bt_nllb_french	sports	0.0
15	bt_nllb_german	Sports	0.0
15	bt_nllb_korean	Sports	0.0
15	bt_nllb_malay	sports	0.0
15	bt_nllb_persian	Sports	0.0
15	bt_nllb_russian	sports	0.0
15	bt_nllb_swahili	sports spn	0.0
15	bt_nllb_tamil	game	0.0
16	-1	arizona game and fish	0.1092
16	bt_nllb_french	Arizona hunting and fishing	0.0408
16	bt_nllb_tamil	Arizona hunting and fishing	0.0408
16	bt_nllb_arabic	Arizona fishing and boating	0.0293
16	bt_nllb_russian	Arizona and Fish	0.0211
16	bt_nllb_chinese_yue	Arizona wildlife and fish	0.002
16	bt_nllb_korean	Arizona wildlife and fish	0.002
16	bt_nllb_german	Arizona Wild and Fish	0.0001
16	bt_bing_french	Arizona Gambling Fishing	0.0
17	-1	poker tournaments	0.0658
17	bt_bing_german	Tournaments	0.0
17	bt_nllb_chinese_yue	The Cup	0.0
18	-1	wedding budget calculator	0.0624
18	bt_nllb_arabic	Accounting for the wedding budget	0.014
18	bt_nllb_swahili	financial wedding calculator	0.0002
18	bt_nllb_french	marriage budget calculator	0.0001
18	bt_nllb_korean	The marriage budget calculator	0.0001
18	bt_nllb_malay	marriage estimate calculator	0.0
18	bt_nllb_tamil	Marriage budgeting	0.0
19	-1	the current	0.0
2	-1	french lick resort and casino	0.2524
2	bt_bing_malay	France Lick Resorts and Casinos	0.2129
2	bt_nllb_persian	French resort and casino	0.0929
2	bt_nllb_russian	French resort and casino	0.0929
2	bt_nllb_tamil	French League Resort and Casino	0.0135
2	bt_bing_arabic	French Lake Resort Casino	0.0066
2	bt_nllb_arabic	French Lake Resort and Casino	0.0066
2	bt_nllb_korean	French Richey Resorts and Casinos	0.0065
2	bt_bing_chinese_simplified	French Lic Cresoté Andercassino Lic Casino Resort France	0.0
2	bt_nllb_chinese_yue	French pubs and casinos	0.0
20	-1	defender	0.0
21	-1	volvo	0.1797
21	bt_nllb_chinese_yue	Volvo is a car	0.0053
21	bt_nllb_arabic	What	0.0
21	bt_nllb_french	back to	0.0
21	bt_nllb_german	The Commission shall adopt implementing acts in accordance with Article of this Regulation	0.0
21	bt_nllb_korean	Let s see	0.0
22	-1	rick warren	0.2286
22	bt_nllb_malay	Rick Warren is here	0.1729
22	bt_nllb_chinese_yue	Rick Warren is the author of	0.1102
22	bt_nllb_korean	Rick Warren you know what	0.1063
23	-1	yahoo	0.0011
23	bt_nllb_chinese_yue	Yahoo is a website	0.0002
23	bt_bing_russian	yokel	0.0
23	bt_nllb_arabic	Oh yeah	0.0
23	bt_nllb_french	the count	0.0
23	bt_nllb_russian	What is it	0.0
24	-1	diversity	0.0358
