qid	order	query	bm25.recip_rank
701	-1	U.S. oil industry history	0.125
701	bt_nllb_arabic	The history of the American oil industry	1.0
701	bt_nllb_french	The history of the American oil industry	1.0
701	bt_nllb_german	The history of the US oil industry	1.0
702	-1	Pearl farming	1.0
704	-1	Green party political views	1.0
705	-1	Iraq foreign debt reduction	1.0
706	-1	Controlling type II diabetes	0.1667
706	bt_nllb_malay	Managing type diabetes	1.0
706	bt_nllb_arabic	Control of type diabetes	0.5
706	bt_nllb_chinese_yue	Control of type diabetes	0.5
706	bt_nllb_korean	Control of type diabetes	0.5
706	bt_nllb_persian	Control of type diabetes	0.5
707	-1	Aspirin cancer prevention	1.0
708	-1	Decorative slate sources	1.0
709	-1	Horse racing jockey weight	1.0
710	-1	Prostate cancer treatments	1.0
711	-1	Train station security measures	0.25
711	bt_nllb_chinese_yue	Security measures at the railway station	1.0
711	bt_nllb_malay	Railway station security measures	1.0
711	bt_nllb_tamil	Railway station security measures	1.0
711	bt_nllb_french	Safety measures at railway stations	0.5
711	bt_nllb_german	Safety measures for railway stations	0.5
711	bt_nllb_russian	Safety measures at railway stations	0.5
712	-1	Pyramid scheme	1.0
713	-1	Chesapeake Bay Maryland clean	1.0
714	-1	License restrictions older drivers	1.0
715	-1	Schizophrenia drugs	0.5
716	-1	Spammer arrest sue	0.3333
716	bt_nllb_chinese_yue	Arrest and prosecution of spam	1.0
716	bt_nllb_german	Spammer arrest lawsuit	1.0
716	bt_nllb_korean	Spammers arresting lawsuit	1.0
716	bt_nllb_swahili	Spammer arrested trial	1.0
716	bt_nllb_tamil	The case of the arrest of the spammers	1.0
717	-1	Gifted talented student programs	1.0
718	-1	Controlling acid rain	1.0
719	-1	Cruise ship damage sea life	0.1429
719	bt_nllb_swahili	Ships of the sea destroying marine life	1.0
719	bt_nllb_chinese_yue	Cruising ships are damaging marine life	0.25
719	bt_nllb_french	Cruise ships are damaging marine life	0.25
719	bt_nllb_korean	The damage to marine life on cruise ships	0.25
719	bt_nllb_malay	Damage to the marine life cruise ship	0.25
719	bt_nllb_persian	Cruise ships are damaging marine life	0.25
719	bt_nllb_russian	Damage to marine life on cruise ships	0.25
719	bt_nllb_german	Damage to marine structures of cruise ships	0.1667
720	-1	Federal welfare reform	0.2
721	-1	Census data applications	0.1111
721	bt_nllb_russian	Applications for the population census data	1.0
721	bt_nllb_korean	Apply for census data	0.3333
722	-1	Iran terrorism	1.0
723	-1	Executive privilege	1.0
724	-1	Iran Contra	0.1667
725	-1	Low white blood cell count	0.3333
725	bt_nllb_chinese_yue	Low blood cell count	1.0
725	bt_nllb_french	Low white blood cell content	0.5
725	bt_nllb_swahili	The number of white blood cells is low	0.5
726	-1	Hubble telescope repairs	1.0
727	-1	Church arson	1.0
728	-1	whales save endangered	1.0
729	-1	Whistle blower department of defense	0.0
729	bt_nllb_korean	The Department of Defense is blowing a whistle	0.1667
730	-1	Gastric bypass complications	1.0
731	-1	Kurds history	0.0833
731	bt_nllb_chinese_yue	Kurdish history	1.0
731	bt_nllb_german	Kurdish history	1.0
731	bt_nllb_malay	Kurdish history	1.0
731	bt_nllb_persian	The history of Kurdistan	0.125
732	-1	U.S. cheese production	1.0
733	-1	Airline overbooking	1.0
734	-1	Recycling successes	0.5
735	-1	Afghan women condition	0.3333
735	bt_nllb_arabic	The situation of Afghan women	0.5
735	bt_nllb_chinese_yue	The situation of Afghan women	0.5
735	bt_nllb_french	The situation of Afghan women	0.5
735	bt_nllb_persian	The situation of Afghan women	0.5
735	bt_nllb_swahili	The situation of Afghan women	0.5
735	bt_nllb_tamil	The situation of Afghan women	0.5
736	-1	location BSE infections	1.0
737	-1	Enron California energy crisis	1.0
