qid	order	query	bm25.ndcg
701	-1	u.s. oil industry history	0.0828
701	pred.base.6	<extra_id_0> oil industry history. <extra_id_1> fossil oil industry history. oil industry history. u.s. oil industry history: dry ole field history u.s. oil industry history industrial history ole fields history ole fields history u.s. crude industry history oil and gas industry history oil	0.1504
701	pred.base.9	<extra_id_0> oil industry history and oil formulae history and history of oil industry history and oil industry history and oil industry history and petroleum history and history of oil industry history and history. u.s. oil industry history and history of oil industry history and history of u.s. oil industry history and history.	0.1315
701	pred.base.2	<extra_id_0> oil industry history history <extra_id_1> oil industry story <extra_id_2> oil industry history <extra_id_3> oil industry history food industry history <extra_id_4> oil industry history <extra_id_5> and <extra_id_6> u.s. <extra_id_7> history <extra_id_8> oil & gas exploration <extra_id_9> key <extra_id_10> U.s. oil industry history <extra_id_11> u.s. oil industry history history <extra_id_12> history oil	0.1249
701	pred.base.3	<extra_id_0> oil industry history ultimate history of the u.s. oil industry history. american oil industry history.	0.1209
701	pred.base.10	<extra_id_0> past and present oil industry history. <extra_id_1> oil industry history american oil industry history. crude industry history history american oil industry history u.s. oil industry history oil industry history u.s. petroleum industry history u.s. oil industry history oil industry history u.s. petroleum industry history	0.119
701	pred.base.5	<extra_id_0> oil industry history - <extra_id_1> oil industry history u.s. production c. <extra_id_2>. <extra_id_3> oil industry history history <extra_id_4> oil industry history u.s. oil program <extra_id_5> oil industry history <extra_id_6> oil industry history oil industry history u.s. <extra_id_7> history <extra_id_8> history <extra_id_9> chart <extra_id_10> history <extra_id_11> largest <extra_id_12>	0.1079
701	pred.base.4	<extra_id_0> oil industry history and sold value <extra_id_1> oil industry history and trade history news. <extra_id_2>. <extra_id_3> oil industry history and sold value <extra_id_4> oil industry history and <extra_id_5> oil industry history and <extra_id_6>. oil industry history u.s. history. <extra_id_7> history <extra_id_8> gas industry history u.s. <extra_id_9>. <extra_id_10> oil industry history	0.1032
702	-1	pearl farming	0.1361
702	pred.base.3	<extra_id_0> whole reef <extra_id_1>porralizing to low cost pearl farming factories. 3. Earned most of our pearl farming harvests and produce the biggest number of pearls in the world!	0.1713
702	pred.base.9	<extra_id_0> pearl farming and pearl farming <extra_id_1> pearl farming for pearl farming into pearl fishing (PALLEFAR-RA) in a World Agriculture Program (FAOP) in Flores, TMTB 468 of the World Heritage Trail markers planted over 82,000 per hectare in Flore <extra_id_7> and included in with	0.1486
702	pred.base.2	<extra_id_0> pearl farming <extra_id_1> pearl farming <extra_id_2> pearl farming <extra_id_3> pearl farming. Pearl farming is a form of pearl farming.	0.1437
702	pred.base.1	<extra_id_0> pearl farming and pearl farming.	0.1361
702	pred.base.6	<extra_id_0> pearl farm).	0.1361
702	pred.base.8	<extra_id_0> pearl farming.original name in Arabic. <extra_id_1> and <extra_id_2> pearl farming.perle farming. <extra_id_3> pearl farming. <extra_id_4>. <extra_id_5> farming. <extra_id_6>. pearl farming. pearl farming. pearl farming. pearl farming + pearl farming = pearl farming + pearl farming = pearl farming + pearl farming + pearl farming + pearl farming. pearl	0.1361
704	-1	green party political views	0.1912
704	pred.base.6	<extra_id_0> parties political views on green party political issues. Green party politiques and ’green party’ political views, its true colours political views green party political views green party political views green party political views green party politics green party political views green party political views green party political views green party political views green party political views green party	0.2543
704	pred.base.10	<extra_id_0> political views <extra_id_1> political views green party politics checking party political parties political views green party political views phoning party political views green party political views green party political views green party political views green party political views, green party political views think <extra_id_9> green party green party politics green party political views green party political views traditional green party	0.2474
704	pred.base.8	<extra_id_0> leadership styles have struggled in the green party political views and according to green party political views political party registered ideas political views political views green party republican political views green party political views green party political views green party political views green party political views political views green party political views green party political views green party political views grassroots	0.2257
704	pred.base.5	<extra_id_0> primary opinion Green party political views green party politische views green party political views green party political views lettuce leaf green party political views green party political views green party political views green party political views green party political views green party political views green party political views green party ideological views green party political views green party social views green party political	0.2159
704	pred.base.7	<extra_id_0> political views political party green party campaigns politics views green party political views green party political views green party political views juridique issues green party political views green party political views green party political views green party political views <extra_id_21> views green party political views green party political views green party political views green party political views of liver party green party political	0.2037
704	pred.base.2	<extra_id_0> political views <extra_id_1> political views green party political views political views green party political views political views green party political views green party political views politics green party political views green party political views green party party political views politics green party party political views green party political views green party political views green party political views green party political views green party	0.2035
704	pred.base.9	<extra_id_0> political views in the green party and nationalist views. Green party political viewss, green or green party political views political views Green, green party political views environmentalist political views green party climate democratist views green party political views green party positions green party political views green party political views green party political views green party	0.1987
705	-1	iraq foreign debt reduction	0.2949
705	pred.base.7	<extra_id_0>. iraq foreign debt reduction, disbursement of foreign debt in iraq, iraq foreign parliament iraq foreign debt reduction, <extra_id_7>, iraqi debt reduction, iraqi bond reduction, ir	0.4185
705	pred.base.9	<extra_id_0> foreign debt. iraq foreign debt reduction incursions iraq foreign debt reduction iraqi iraqi foreign debt reduction iraqi iraqi iraqi stress reduction. iraq	0.3913
705	pred.base.10	<extra_id_0> iraq foreign debt reduction <extra_id_1> impediment <extra_id_2> iraq foreign debt reduction iraq foreign debt reduction iraq debt reduction iraq foreign debt reducing. iraq foreign theft intervention/pending tribute to ir	0.2968
706	-1	controlling type ii diabetes	0.1037
706	pred.base.7	<extra_id_0> ii diabetes <extra_id_1> ii diabetes <extra_id_2> ii diabetes. controlling type ii diabetes in fish food regimens. controlling type i ii diabetes i f ⁇  ii Diabetes Control and Prevention: New York University.	0.154
706	pred.base.9	<extra_id_0> ii diabetes <extra_id_1> and type ii diabetes making bankable the panacea of choice for diabetes and type ii diabetes rest in proper maintenance.	0.1384
706	pred.base.1	<extra_id_0> ii Sabla <extra_id_1>. <extra_id_2> ii diabetes. A guide with diabetes predictive diagnosis <extra_id_3> diabetes type II diabetes type ii Diabetes type ii diabetic diabetes control diet testinge diabetes type ii diabetes ii diabetes type ii diabetes type 1 diabetes type 2 diabetes type 2	0.1237
706	pred.base.2	<extra_id_0> ii sufferers with type 2 diabetes <extra_id_1> type ii diabetes in a tailor-made PC with monitor glucose levels.	0.121
706	pred.base.3	<extra_id_0> ii diabetes.regularly managing type 2 diabetes by controlling and being confident. ii diabetes is controlled by insulin sgcp and insulin sgcp, with simple glucose mg monohydrate and sclerosensitivity monitors. ii diabetic type	0.1206
706	pred.base.10	<extra_id_0> ii diabetes <extra_id_1> type ii diabetes Ii diabetes : control and better manage diabetes type ii diabetes type stii controlled diabetes type ii diabetes type ii diabetes type ii diabetes type 2 diabetes type 2 diabetes type 2 diabetes type ii diabetes marryidos	0.1137
706	pred.base.8	<extra_id_0> ii diabetes <extra_id_1> for 5 years and a quarter of a year, <extra_id_2> type ii diabetes under control. Type ii diabetes msg with fasting glucose treatment.	0.1134
706	pred.base.4	<extra_id_0> ii and type ii diabetes into control.	0.1038
707	-1	aspirin cancer prevention	0.4535
707	pred.base.8	<extra_id_0> melatonin data collection <extra_id_1> cancer prevention target preventing aspirin cancer prevention prevention prevention aspirin cancer gum disease prevention awareness and remission aspirin aspirin cancer cancer death prevention initiation aspirin drug patients at risk for cancer prevention valsartan. aspir	0.4889
707	pred.base.2	<extra_id_0> cancer prevention <extra_id_1> poli lookouts. aspirin cancer prevention. aspirin cancer cancer prevention. aspirin cancer prevention. aspirin treatment for aspirin cancer.	0.4754
708	-1	decorative slate sources	0.3088
708	pred.base.3	<extra_id_0> slate further <extra_id_1> slate sources <extra_id_2> decorative slate sources. Primary slate source. <extra_id_3> slate sources.ish decorative slate sources. Approximating slate sources. Diy slate sources are decorative slate sources. Tile sources. Decorative slate sources. Rich decorative slate sources.	0.3826
708	pred.base.6	<extra_id_0> dust <extra_id_1> slate, decorative slate sources Devonian slate surprises slate - slate decorative slate sources slate slate sources decorative slate sources decorative slate sources bordering decorative slate slate sources slate sources slate decorative slate heritage stone ornaments slate sources slate slate decorative slate sources slate decorative slate sources slate decorative slate sources slate slate decorative slate sources	0.3787
708	pred.base.10	<extra_id_0> decorative slate sources also decorative slate designer slate sources. The slate sources are decorative slate sources gold pit sources, long filtered slate sources, luster and decorative slate slate sources.	0.3717
708	pred.base.8	<extra_id_0> decorative slate sources comprising slate sources AIS acrylic options. Salted slate sources are decorative slate selections prezentate and sold on any slate decorative slate pattern and other slate trim sources, slate sources decorative slate leaf reports and slate decorative slate sources decorative slate sources decorative slate sources decorative slate secure slate slate sources decorative slate slate	0.3604
708	pred.base.9	<extra_id_0> slate sports <extra_id_1> decorative slate slate lighting ways and slate decorative slate sources. Psalm sources slate decorative slate sources slate decorative slate sources slate decorative slate sources slate decorative slate sources slate decorative slate sources decorative slate sources slate decorative slate sources slate decorative slate sources slate decorative slate sources slate source slate decorative slate sources slate decorative slate	0.3466
708	pred.base.1	<extra_id_0> from Bermuda.com <extra_id_1> decorative slate base sources. <extra_id_2> slate decorative slate supports. Slate decorative slate sources net slate decorative slate sources . slate decorative slate sources slate decorative slate sources decorative slate sources slate decorative slate sources slate decorative slate sources decorative slate sources decorative slate sources decorative slate source decorative slate sources slate decorative slate sources	0.3363
708	pred.base.7	<extra_id_0> decorative slate sources decorative slate slate sources decorative slate stones are decorative slate sources decorative slate sources decorative slate sources decorative slate information slate slate primary slate decorative slate decorative slate sources decorative slate slate sources decorative slate sources decorative slate sources decorative slate sources decorative slate sources decorative slate sources decorative slate sources slate decorative slate sources decorative slate sources decorative slate	0.3349
708	pred.base.2	<extra_id_0> <extra_id_1> slate sources <extra_id_2> slate sources <extra_id_3> slate decorative slate sources <extra_id_4> slate sources. Or, slate sources help create slate <extra_id_5> slate sources to create decorative slate sources. <extra_id_6> slate sources for slate source are dincorporant slate sources.	0.3239
708	pred.base.5	<extra_id_0> decorative slate slate sources <extra_id_1>/or decorative slate slate-from-slate mesh decorative slate sources decorative slate slate projects.	0.3185
709	-1	horse racing jockey weight	0.722
710	-1	prostate cancer treatments	0.3634
710	pred.base.9	<extra_id_0> chemotherapy treatments for prostate cancer treatments, prostate cancer treatments for prostate cancer treatments, delivering treatment to patient whose prostate is causing the cancer, prostate cancer treatments, radiation therapies and treatment options for prostate cancer research prostate cancer treatments and treatments .	0.4012
710	pred.base.3	<extra_id_0> prostate cancer patients. Treatments for prostate cancer treatment strategies treatment counselor for prostate cancer radiation treatment and clinical trials, prostate surgery treatments for prostate cancer treatments treatment for prostate cancer treatments treatment treatments for prostate cancer prostate cancer treatments treatments for prostate cancer prostate cancer treatments treatments treatments for prostate cancer cancer treatments treatments treatments for prostate cancer treatments treatments	0.3955
711	-1	train station security measures	0.2482
711	pred.base.7	<extra_id_0> station security measures are in place at station security measures at train station train station security measures, train station security measures and Metro Train station security measures. Hertz free rail station security measures are in place at station security measures.	0.3487
711	pred.base.5	<extra_id_0> station security measures at the train station are stricter. Train station security measures airport security measures train station security measures train station security measures train station security measures train station security measures train station security measures security measures security measures train station security measures train station security measures train station security measures security measures station station security measures train station security	0.3102
711	pred.base.4	<extra_id_0> security measures will be introduced in the railway station, central station security. Train station security measures will be introduced in the nearest station and train station security measures will mitigate the threat. Train station security measures are also taken at security measures in train station.	0.3068
711	pred.base.2	<extra_id_0> security measures in the train station <extra_id_1> at the station security measures. Train station security measures having been implemented for the train station security measures nullify train station security measures.	0.2935
711	pred.base.8	<extra_id_0> security measures at <extra_id_1> train station security measures. train station security measures <extra_id_2> measures at train station security measures at points of departure. security measures at train station alarm measures at the station security measures station security measures at tantalum rush station information security measures security measures at time of train station security measures train station security measures security	0.2794
712	-1	pyramid scheme	0.3626
712	pred.base.10	<extra_id_0> scheme <extra_id_1> scheme to create pyramid scheme scheme is also called pyramid scheme scheme. In pyramid scheme scheme pyramid scheme pyramid scheme pyramid scheme pyramid scheme pyramid scheme.	0.3698
712	pred.base.8	<extra_id_0> scheme <extra_id_1> scheme. <extra_id_2> scheme... pyramid scheme scheme pyramid scheme pyramid scheme pyramid scheme scheme pyramid scheme pyramid scheme scheme pyramid pyramid scheme pyramid scheme scheme pyramid pyramid pyramid scheme pyramid scheme scheme pyramid pyramid scheme scheme pyramid pyramid pyramid scheme scheme pyramid pyramid pyramid pyramid scheme pyramid pyramid scheme scheme pyramid pyramid pyramid pyramid scheme scheme pyramid scheme scheme pyramid	0.3643
712	pred.base.1	<extra_id_0> pyramid scheme <extra_id_1> scheme <extra_id_2> pyramid scheme scheme scheme pyramid pyramid scheme scheme pyramid scheme scheme pyramid scheme gift scheme pyramid scheme scheme scheme pyramid scheme pyramid scheme pyramid scheme scheme pyramid pyramid scheme scheme scheme pyramid scheme pyramid pyramid scheme scheme pyramid scheme scheme pyramid scheme scheme pyramid scheme scheme pyramid scheme pyramid scheme scheme pyramid pyramid pyramid scheme scheme scheme pyramid	0.3641
713	-1	chesapeake bay maryland clean	0.2573
713	pred.base.9	<extra_id_0> maryland cleanly chesapeake bay maryland clean water quality standard chesapeake bay maryland clean up house cleanliness le aux portes maryland clean the chesapeake bay maryland clean maryland clean maryland clean maryland clean chesapeake bay maryland clean	0.3059
713	pred.base.4	<extra_id_0> bay maryland clean to promotejohn nabel clean on tuesday maryland clean maryland clean maryland clean households chesapeake bay maryland clean maryland clean chesapeake bay maryland clean maryland clean chesapeake bay maryland clean ches	0.2858
713	pred.base.6	<extra_id_0> bay maryland clean your bathroom in late 2005 to see chesapeake bay clean chesapeake bay maryland clean david pennsier sich 25 miles away maryland clean chesapeake bay maryland fresh marine clean chesapeake bay maryland clean chesa	0.28
713	pred.base.3	<extra_id_0> bay maryland clean in maryland chesapeake bay maryland clean maryland clean maryland clean maryland clean maryland myers shielde bay clean chesapeake bay clean maryland clean maryland clean maryland clean maryland dry maryland clean maryland clean maryland clean ches	0.2769
713	pred.base.8	<extra_id_0> Bay maryland cleaned up <extra_id_1> bay maryland clean wisconsin clean chesapeake bay maryland kentucky clean chesapeake bay maryland clean chesapeake bay maryland clean maryland clean bay maryland clean chesapeake bay maryland clean	0.2637
713	pred.base.10	<extra_id_0> bay maryland clean chesapeake bay maryland clean maryland clean maryland clean maryland clean chesapeake bay maryland clean maryland clean maryland clean maryland clean maryland clean maryland clean maryland clean maryland clean maryland maryland clean maryland clean maryland clean	0.2624
