qid	order	query	bm25.recip_rank
701	-1	u.s. oil industry history	0.5
701	pred.refiner.1	the history of the us oil industry	1.0
701	pred.refiner.10	the history of the us oil industry	1.0
701	pred.refiner.2	the history of the us oil industry	1.0
701	pred.refiner.3	the history of the us oil industry	1.0
701	pred.refiner.4	the history of the us oil industry	1.0
701	pred.refiner.5	the history of the us oil industry	1.0
701	pred.refiner.6	the history of the us oil industry	1.0
701	pred.refiner.7	the history of the us oil industry	1.0
701	pred.refiner.8	the history of the us oil industry	1.0
701	pred.refiner.9	the history of the us oil industry	1.0
702	-1	pearl farming	1.0
704	-1	green party political views	1.0
705	-1	iraq foreign debt reduction	1.0
706	-1	controlling type ii diabetes	0.1667
706	pred.refiner.1	see type two diabetes	1.0
706	pred.refiner.10	see type two diabetes	1.0
706	pred.refiner.2	see type two diabetes	1.0
706	pred.refiner.3	see type two diabetes	1.0
706	pred.refiner.4	see type two diabetes	1.0
706	pred.refiner.5	see type two diabetes	1.0
706	pred.refiner.6	see type two diabetes	1.0
706	pred.refiner.7	see type two diabetes	1.0
706	pred.refiner.8	see type two diabetes	1.0
706	pred.refiner.9	see type two diabetes	1.0
707	-1	aspirin cancer prevention	1.0
708	-1	decorative slate sources	1.0
709	-1	horse racing jockey weight	1.0
710	-1	prostate cancer treatments	1.0
711	-1	train station security measures	0.25
711	pred.refiner.1	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.10	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.2	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.3	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.4	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.5	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.6	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.7	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.8	train station security measures measur naval amtrak secur transport	1.0
711	pred.refiner.9	train station security measures measur naval amtrak secur transport	1.0
712	-1	pyramid scheme	1.0
713	-1	chesapeake bay maryland clean	1.0
714	-1	license restrictions older drivers	1.0
715	-1	schizophrenia drugs	0.5
715	pred.refiner.1	schizophrenia drugs patient	1.0
715	pred.refiner.10	schizophrenia drugs patient	1.0
715	pred.refiner.2	schizophrenia drugs patient	1.0
715	pred.refiner.3	schizophrenia drugs patient	1.0
715	pred.refiner.4	schizophrenia drugs patient	1.0
715	pred.refiner.5	schizophrenia drugs patient	1.0
715	pred.refiner.6	schizophrenia drugs patient	1.0
715	pred.refiner.7	schizophrenia drugs patient	1.0
715	pred.refiner.8	schizophrenia drugs patient	1.0
715	pred.refiner.9	schizophrenia drugs patient	1.0
716	-1	spammer arrest sue	0.3333
716	pred.refiner.1	spammer arrest lawsuit	1.0
716	pred.refiner.10	spammer arrest lawsuit	1.0
716	pred.refiner.2	spammer arrest lawsuit	1.0
716	pred.refiner.3	spammer arrest lawsuit	1.0
716	pred.refiner.4	spammer arrest lawsuit	1.0
716	pred.refiner.5	spammer arrest lawsuit	1.0
716	pred.refiner.6	spammer arrest lawsuit	1.0
716	pred.refiner.7	spammer arrest lawsuit	1.0
716	pred.refiner.8	spammer arrest lawsuit	1.0
716	pred.refiner.9	spammer arrest lawsuit	1.0
717	-1	gifted talented student programs	1.0
718	-1	controlling acid rain	1.0
719	-1	cruise ship damage sea life	0.1429
719	pred.refiner.1	cruising ships are damaging marine life	0.25
719	pred.refiner.10	cruising ships are damaging marine life	0.25
719	pred.refiner.2	cruising ships are damaging marine life	0.25
719	pred.refiner.3	cruising ships are damaging marine life	0.25
719	pred.refiner.4	cruising ships are damaging marine life	0.25
719	pred.refiner.5	cruising ships are damaging marine life	0.25
719	pred.refiner.6	cruising ships are damaging marine life	0.25
719	pred.refiner.7	cruising ships are damaging marine life	0.25
719	pred.refiner.8	cruising ships are damaging marine life	0.25
719	pred.refiner.9	cruising ships are damaging marine life	0.25
720	-1	federal welfare reform	0.2
720	pred.refiner.1	federal welfare reform welfar state	0.25
720	pred.refiner.10	federal welfare reform welfar state	0.25
720	pred.refiner.2	federal welfare reform welfar state	0.25
720	pred.refiner.3	federal welfare reform welfar state	0.25
720	pred.refiner.4	federal welfare reform welfar state	0.25
720	pred.refiner.5	federal welfare reform welfar state	0.25
720	pred.refiner.6	federal welfare reform welfar state	0.25
720	pred.refiner.7	federal welfare reform welfar state	0.25
720	pred.refiner.8	federal welfare reform welfar state	0.25
720	pred.refiner.9	federal welfare reform welfar state	0.25
721	-1	census data applications	0.1111
721	pred.refiner.1	applications for the population census data	1.0
721	pred.refiner.10	applications for the population census data	1.0
721	pred.refiner.2	applications for the population census data	1.0
721	pred.refiner.3	applications for the population census data	1.0
721	pred.refiner.4	applications for the population census data	1.0
721	pred.refiner.5	applications for the population census data	1.0
721	pred.refiner.6	applications for the population census data	1.0
721	pred.refiner.7	applications for the population census data	1.0
721	pred.refiner.8	applications for the population census data	1.0
721	pred.refiner.9	applications for the population census data	1.0
722	-1	iran terrorism	1.0
723	-1	executive privilege	1.0
724	-1	iran contra	0.1667
724	pred.refiner.1	iran contra casei cia defend record	1.0
724	pred.refiner.10	iran contra casei cia defend record	1.0
724	pred.refiner.2	iran contra casei cia defend record	1.0
724	pred.refiner.3	iran contra casei cia defend record	1.0
724	pred.refiner.4	iran contra casei cia defend record	1.0
724	pred.refiner.5	iran contra casei cia defend record	1.0
724	pred.refiner.6	iran contra casei cia defend record	1.0
724	pred.refiner.7	iran contra casei cia defend record	1.0
724	pred.refiner.8	iran contra casei cia defend record	1.0
724	pred.refiner.9	iran contra casei cia defend record	1.0
725	-1	low white blood cell count	0.3333
726	-1	hubble telescope repairs	1.0
727	-1	church arson	1.0
728	-1	whales save endangered	1.0
729	-1	whistle blower department of defense	0.0
729	pred.refiner.1	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.10	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.2	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.3	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.4	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.5	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.6	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.7	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.8	whistle blower department defense blowing whistleblower administration defence	0.25
729	pred.refiner.9	whistle blower department defense blowing whistleblower administration defence	0.25
730	-1	gastric bypass complications	1.0
731	-1	kurds history	0.0833
731	pred.refiner.1	kurds past subject school	1.0
731	pred.refiner.10	kurds past subject school	1.0
731	pred.refiner.2	kurds past subject school	1.0
731	pred.refiner.3	kurds past subject school	1.0
731	pred.refiner.4	kurds past subject school	1.0
731	pred.refiner.5	kurds past subject school	1.0
731	pred.refiner.6	kurds past subject school	1.0
731	pred.refiner.7	kurds past subject school	1.0
731	pred.refiner.8	kurds past subject school	1.0
731	pred.refiner.9	kurds past subject school	1.0
732	-1	u.s. cheese production	1.0
733	-1	airline overbooking	1.0
734	-1	recycling successes	0.5
735	-1	afghan women condition	0.3333
736	-1	location bse infections	1.0
737	-1	enron california energy crisis	1.0
738	-1	anthrax hoaxes	1.0
739	-1	habitat for humanity	0.3333
740	-1	regulate assisted living maryland	1.0
741	-1	artificial intelligence	0.04
741	pred.refiner.1	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.10	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.2	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.3	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.4	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.5	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.6	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.7	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.8	artificial intelligence learning united states intelligence agency	1.0
741	pred.refiner.9	artificial intelligence learning united states intelligence agency	1.0
742	-1	hedge funds fraud protection	1.0
743	-1	freighter ship registration	0.0357
743	pred.refiner.1	register of ships	1.0
743	pred.refiner.10	register of ships	1.0
743	pred.refiner.2	register of ships	1.0
743	pred.refiner.3	register of ships	1.0
743	pred.refiner.4	register of ships	1.0
743	pred.refiner.5	register of ships	1.0
743	pred.refiner.6	register of ships	1.0
743	pred.refiner.7	register of ships	1.0
743	pred.refiner.8	register of ships	1.0
743	pred.refiner.9	register of ships	1.0
744	-1	counterfeit id punishments	0.0115
744	pred.refiner.1	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.10	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.2	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.3	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.4	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.5	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.6	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.7	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.8	counterfeit id punishments fake identification meted	0.25
744	pred.refiner.9	counterfeit id punishments fake identification meted	0.25
745	-1	doomsday cults	0.1429
745	pred.refiner.1	doomsday cults cult aum sects	1.0
745	pred.refiner.10	doomsday cults cult aum sects	1.0
745	pred.refiner.2	doomsday cults cult aum sects	1.0
745	pred.refiner.3	doomsday cults cult aum sects	1.0
745	pred.refiner.4	doomsday cults cult aum sects	1.0
745	pred.refiner.5	doomsday cults cult aum sects	1.0
745	pred.refiner.6	doomsday cults cult aum sects	1.0
745	pred.refiner.7	doomsday cults cult aum sects	1.0
745	pred.refiner.8	doomsday cults cult aum sects	1.0
745	pred.refiner.9	doomsday cults cult aum sects	1.0
746	-1	outsource job india	1.0
747	-1	library computer oversight	1.0
748	-1	nuclear reactor types	0.5
749	-1	puerto rico state	1.0
750	-1	john edwards womens issues	0.3333
