qid	order	query	bm25.map
701	-1	U.S. oil industry history	0.0025
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.0396
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.027
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.025
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.004
701	tagmee.topn3	u s oil industry history Petroleum	0.004
701	wordnet.topn3	u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle	0.0037
701	wiki.topn3	u s oil industry history glassforming liquids melts oil natural gas petroleum	0.0032
701	stem.krovetz	u s oil industry history	0.0025
701	stem.porter	u s oil industri histori	0.0025
701	stem.porter2	u s oil industri histori	0.0025
701	stem.sstemmer	u s oil industry history	0.0025
701	thesaurus.topn3	u s oil industry history	0.0025
701	thesaurus.topn3.replace	u s oil industry history	0.0025
701	sensedisambiguation	U S united states government oil vegetable oil industry history	0.0013
701	bertqe.topn10.bm25	f ossil nergi e nvir	0.0011
701	word2vec.topn3	u s oil industry history usa u s american petroleum industy history	0.0009
701	bertqe.topn10.qld	e nvir onment al dv	0.0007
701	conceptnet.topn3	u s oil industry history liquid black fuel commercial enterprise past subject school	0.0006
701	glove.topn3	u s oil industry history us u s crude petroleum business historical ever	0.0005
701	glove.topn3.replace	us u s crude petroleum business historical ever	0.0005
701	rm3.topn10.10.0.5.bm25	u s oil industry history energi opec	0.0005
701	rm3.topn10.10.0.5.qld	u s oil industry history fuel ga energi price	0.0002
701	word2vec.topn3.replace	usa u s american petroleum industy history	0.0002
701	stem.paicehusk	u s oil industry hist	0.0001
701	anchor.topn3	u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat	0.0
701	anchor.topn3.replace	us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat	0.0
701	conceptnet.topn3.replace	u s liquid black fuel commercial enterprise past subject school	0.0
701	sensedisambiguation.replace	united states government vegetable oil industry history	0.0
701	stem.lovins	u s oil industr histor	0.0
701	stem.trunc4	u s oil indu hist	0.0
701	stem.trunc5	u s oil indus histo	0.0
701	tagmee.topn3.replace	Petroleum	0.0
701	wiki.topn3.replace	glassforming liquids melts oil natural gas petroleum	0.0
701	wordnet.topn3.replace	United States government USA US anoint vegetable oil crude manufacture story chronicle	0.0
702	-1	Pearl farming	0.0199
702	termluster.topn5.3.qld	pearl farming product fish	0.1033
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	0.069
702	wiki.topn3.replace	pearls jewellery components gemstone pearl	0.0614
702	rm3.topn10.10.0.5.qld	pearl farming farm japan jerri product	0.029
702	tagmee.topn3.replace	Pearl	0.027
702	docluster.topn10.3.qld	pearl farming farm	0.0231
702	tagmee.topn3	pearl farming Pearl	0.0218
702	rm3.topn10.10.0.5.bm25	pearl farming coliform cumberland option japan our jerri ocean	0.0207
702	conceptluster.topn5.3.qld	pearl farming	0.0199
702	sensedisambiguation	Pearl farming	0.0199
702	sensedisambiguation.replace	pearl farming	0.0199
702	stem.krovetz	pearl farming	0.0199
702	stem.lovins	pearl farm	0.0199
702	stem.paicehusk	pearl farm	0.0199
702	stem.porter	pearl farm	0.0199
702	stem.porter2	pearl farm	0.0199
702	stem.sstemmer	pearl farming	0.0199
702	thesaurus.topn3	pearl farming	0.0199
702	thesaurus.topn3.replace	pearl farming	0.0199
702	wordnet.topn3	pearl farming drop ivory off white agricultural land raise	0.0112
702	anchor.topn3	pearl farming nanyou namro madlen	0.0106
702	stem.trunc5	pearl farmi	0.0051
702	word2vec.topn3	pearl farming necklace agriculture agricultural	0.0046
702	conceptnet.topn3	pearl farming land crop	0.0014
702	relevancefeedback.topn10.qld	pearl farming japan farm jerri option irrig	0.0012
702	conceptnet.topn3.replace	pearl land crop	0.0001
702	glove.topn3	pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers	0.0001
702	anchor.topn3.replace	nanyou namro madlen farming	0.0
702	bertqe.topn10.bm25	potato program regulatori test servic	0.0
702	bertqe.topn10.qld	seed farm	0.0
702	glove.topn3.replace	harbor http www oklahomacitynationalmemorial org agricultural farmers	0.0
702	stem.trunc4	pear farm	0.0
702	word2vec.topn3.replace	necklace agriculture agricultural	0.0
702	wordnet.topn3.replace	off white bead agricultural agrarian	0.0
704	-1	Green party political views	0.0575
704	termluster.topn5.3.qld	green party political views libertarian parti polit state polit nation state parti nation	0.1084
704	docluster.topn10.3.qld	green party political views parti	0.0962
704	relevancefeedback.topn10.qld	green party political views parti	0.0962
704	rm3.topn10.10.0.5.qld	green party political views parti	0.0962
704	sensedisambiguation.replace	green party political view	0.0575
704	stem.krovetz	green party politics view	0.0575
704	stem.paicehusk	green party polit view	0.0575
704	stem.porter	green parti polit view	0.0575
704	stem.porter2	green parti polit view	0.0575
704	stem.sstemmer	green party political view	0.0575
704	stem.trunc5	green party polit views	0.0575
704	thesaurus.topn3	green party political views	0.0575
704	thesaurus.topn3.replace	green party political views	0.0575
704	conceptluster.topn5.3.qld	green party political views ideology politics political party green party united states	0.0359
704	tagmee.topn3	green party political views Green Party of the United States Political party Politics Ideology	0.0359
704	wiki.topn3	green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology	0.0247
704	sensedisambiguation	Green party political views view	0.0115
704	wiki.topn3.replace	natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology	0.0091
704	tagmee.topn3.replace	Green Party of the United States Political party Politics Ideology	0.0086
704	glove.topn3	green party political views red purple democratic politicians opinions	0.0053
704	anchor.topn3	green party political views green windi treekrem k cup	0.0046
704	word2vec.topn3	green party political views yellow blue red party economic social socio political viewpoints viewpoint	0.0032
704	anchor.topn3.replace	green windi treekrem k cup party political views	0.0026
704	stem.lovins	green part polit view	0.0026
704	wordnet.topn3	green party political views immature super C honey oil political party company regard take in reckon	0.0014
704	wordnet.topn3.replace	commons unripened viridity company political party political perspective sentiment panorama	0.0014
704	rm3.topn10.10.0.5.bm25	green party political views indonesia parti polit	0.0002
704	word2vec.topn3.replace	yellow blue red party economic social socio political viewpoints viewpoint	0.0002
704	bertqe.topn10.bm25	n warren lisa chac n	0.0
704	bertqe.topn10.qld	n warren lisa chac n	0.0
704	conceptnet.topn3	green party political views apple plant a color celebration gathering birthday	0.0
704	conceptnet.topn3.replace	apple plant a color celebration gathering birthday political views	0.0
704	glove.topn3.replace	red purple democratic politicians opinions	0.0
704	stem.trunc4	gree part poli view	0.0
