qid	order	query	bm25.recip_rank
301	-1	International Organized Crime	0.5
301	bt_nllb_german	International organised crime	0.3333
301	bt_nllb_malay	Integrated Crime	0.1111
301	bt_nllb_swahili	International Crime	0.1
302	-1	Poliomyelitis and Post-Polio	1.0
302	bt_nllb_french	Polio and the Post Polio	0.5
302	bt_nllb_persian	Polyamide and then polio	0.3333
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.5
303	bt_nllb_korean	The Hubble Telescope was completed	0.1
304	-1	Endangered Species (Mammals)	1.0
304	bt_nllb_swahili	Endangered Species Animals	0.5
304	bt_nllb_tamil	The species in danger of extinction type	0.5
304	bt_nllb_chinese_yue	They are endangered	0.3333
304	bt_nllb_korean	Endangered species	0.25
304	bt_nllb_persian	Endangered species clover	0.2
304	bt_nllb_russian	Threatened species self miners	0.0357
305	-1	Most Dangerous Vehicles	0.0154
306	-1	African Civilian Deaths	1.0
306	bt_nllb_arabic	The killing of civilians in Africa	0.5
306	bt_nllb_russian	Death of civilians in Africa	0.5
306	bt_nllb_korean	African citizens killed	0.3333
306	bt_nllb_chinese_yue	African citizens dying	0.1667
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.0769
306	bt_nllb_malay	The Death of African Citizens	0.0556
306	bt_nllb_persian	Death of African citizens	0.0556
306	bt_nllb_tamil	The death of African citizens	0.0556
307	-1	New Hydroelectric Projects	1.0
307	bt_nllb_swahili	New Water Power Projects	0.5
307	bt_nllb_german	New hydropower plants	0.2
308	-1	Implant Dentistry	1.0
308	bt_nllb_swahili	Tooth disease of the gums	0.5
308	bt_nllb_arabic	Hosted dentistry	0.0625
308	bt_nllb_korean	Implantation surgery	0.0385
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	1.0
311	-1	Industrial Espionage	1.0
311	bt_nllb_malay	Industrial surveillance	0.25
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	1.0
312	bt_nllb_chinese_yue	Hydromechanics	0.0
312	bt_nllb_german	Hydrogen	0.0
312	bt_nllb_korean	Fish	0.0
312	bt_nllb_tamil	The waterfall	0.0
313	-1	Magnetic Levitation-Maglev	1.0
313	bt_nllb_korean	Self levitization Maghreb	0.25
313	bt_nllb_french	Magnetic lift	0.1111
313	bt_nllb_arabic	Magnetic distortion	0.0769
313	bt_nllb_persian	Magnetic Lithium Magluff	0.0357
314	-1	Marine Vegetation	0.0312
314	bt_nllb_chinese_yue	Sea plants	0.027
314	bt_nllb_korean	Sea plants	0.027
314	bt_nllb_malay	Sea plants	0.027
314	bt_nllb_tamil	Sea plants	0.027
315	-1	Unexplained Highway Accidents	0.1429
315	bt_nllb_arabic	Unexplained road accidents	0.0455
315	bt_nllb_french	Unexplained Road Accidents	0.0455
315	bt_nllb_malay	Unexplained Road Accidents	0.0455
