qid	order	query	qld.ndcg
701	-1	U.S. oil industry history	0.0615
701	bt_nllb_arabic	The history of the American oil industry	0.1147
701	bt_nllb_french	The history of the American oil industry	0.1147
701	bt_nllb_german	The history of the US oil industry	0.0978
702	-1	Pearl farming	0.1479
704	-1	Green party political views	0.1567
705	-1	Iraq foreign debt reduction	0.2549
705	bt_nllb_malay	Reduction of external debt to Iraq	0.3557
705	bt_nllb_french	Reduction of Iraq s external debt	0.3536
705	bt_nllb_russian	Reducing Iraq s external debt	0.3395
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.2658
706	-1	Controlling type II diabetes	0.1284
707	-1	Aspirin cancer prevention	0.5656
708	-1	Decorative slate sources	0.3663
709	-1	Horse racing jockey weight	0.677
710	-1	Prostate cancer treatments	0.3479
711	-1	Train station security measures	0.2085
712	-1	Pyramid scheme	0.3531
713	-1	Chesapeake Bay Maryland clean	0.2295
714	-1	License restrictions older drivers	0.3261
715	-1	Schizophrenia drugs	0.2424
716	-1	Spammer arrest sue	0.2265
716	bt_nllb_german	Spammer arrest lawsuit	0.3857
716	bt_nllb_korean	Spammers arresting lawsuit	0.3857
716	bt_nllb_tamil	The case of the arrest of the spammers	0.2925
716	bt_nllb_swahili	Spammer arrested trial	0.26
716	bt_nllb_chinese_yue	Arrest and prosecution of spam	0.2388
717	-1	Gifted talented student programs	0.21
718	-1	Controlling acid rain	0.197
719	-1	Cruise ship damage sea life	0.1314
719	bt_nllb_chinese_yue	Cruising ships are damaging marine life	0.2234
719	bt_nllb_french	Cruise ships are damaging marine life	0.2234
719	bt_nllb_korean	The damage to marine life on cruise ships	0.2234
719	bt_nllb_malay	Damage to the marine life cruise ship	0.2234
719	bt_nllb_persian	Cruise ships are damaging marine life	0.2234
719	bt_nllb_russian	Damage to marine life on cruise ships	0.2234
719	bt_nllb_german	Damage to marine structures of cruise ships	0.2183
720	-1	Federal welfare reform	0.1376
721	-1	Census data applications	0.0605
721	bt_nllb_korean	Apply for census data	0.0986
722	-1	Iran terrorism	0.513
723	-1	Executive privilege	0.27
724	-1	Iran Contra	0.4552
725	-1	Low white blood cell count	0.2408
725	bt_nllb_chinese_yue	Low blood cell count	0.246
726	-1	Hubble telescope repairs	0.3459
727	-1	Church arson	0.5945
728	-1	whales save endangered	0.2191
729	-1	Whistle blower department of defense	0.0289
729	bt_nllb_korean	The Department of Defense is blowing a whistle	0.2169
730	-1	Gastric bypass complications	0.5788
731	-1	Kurds history	0.0953
731	bt_nllb_chinese_yue	Kurdish history	0.1925
731	bt_nllb_german	Kurdish history	0.1925
731	bt_nllb_malay	Kurdish history	0.1925
732	-1	U.S. cheese production	0.0524
732	bt_nllb_arabic	Cheese production in the United States	0.0872
732	bt_nllb_french	Cheese production in the United States	0.0872
732	bt_nllb_korean	The production of cheese in the United States	0.0872
732	bt_nllb_persian	The production of cheese in the United States	0.0872
732	bt_nllb_swahili	Cheese production in the United States	0.0872
732	bt_nllb_russian	Cheese production in the US	0.0709
733	-1	Airline overbooking	0.5038
733	bt_nllb_malay	Overbooking of airline tickets	0.5686
734	-1	Recycling successes	0.1898
735	-1	Afghan women condition	0.24
736	-1	location BSE infections	0.286
736	bt_nllb_swahili	The environment of BSE transmission	0.3047
737	-1	Enron California energy crisis	0.4636
738	-1	Anthrax hoaxes	0.5177
739	-1	Habitat for Humanity	0.1258
740	-1	regulate assisted living Maryland	0.3945
740	bt_nllb_korean	Assistant living in Maryland	0.4571
741	-1	Artificial Intelligence	0.1405
742	-1	hedge funds fraud protection	0.4497
742	bt_nllb_german	Protection against hedge fund fraud	0.5252
742	bt_nllb_malay	protection against hedge fund fraud	0.5252
742	bt_nllb_persian	Protecting against hedge fund fraud	0.5252
742	bt_nllb_russian	protection against hedge funds fraud	0.5252
742	bt_nllb_swahili	protection against hedge funds fraud	0.5252
743	-1	Freighter ship registration	0.1065
743	bt_nllb_french	Register of freight vessels	0.1529
744	-1	Counterfeit ID punishments	0.0
744	bt_nllb_russian	Penalties for counterfeiting identity card	0.0975
744	bt_nllb_arabic	The penalties for a fake identity	0.068
744	bt_nllb_chinese_yue	The punishment for fake ID	0.0234
744	bt_nllb_korean	The punishment for fake ID	0.0234
744	bt_nllb_german	Penalties for counterfeit identification	0.0189
744	bt_nllb_swahili	False identity judgments	0.0183
