,qid,order,query,qld.recip_rank
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,1.0
1,INEX_LD-2009022,bt_bing_german,Szechuan Dish Kitchen,0.5
2,INEX_LD-2009022,bt_bing_persian,Sichuan Food,0.5
3,INEX_LD-2009022,conceptnet.topn3.replace,Szechuan China plate cake rice rechauffe,0.5
4,INEX_LD-2009022,tagmee.topn3.replace,Sichuan Dish food Food Cuisine,0.5
5,INEX_LD-2009022,relevancefeedback.topn10.qld,szechwan dish food cuisine cuisin chines veget pepper rice tabl indian,0.3333
6,INEX_LD-2009022,wiki.topn3.replace,sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.3333
7,INEX_LD-2009022,word2vec.topn3.replace,szechwan cuisine dessert foodstuffs cusine,0.3333
8,INEX_LD-2009022,word2vec.topn3,szechwan dish food cuisine cuisine dessert foodstuffs cusine,0.25
9,INEX_LD-2009022,stem.trunc5,szech dish food cuisi,0.0833
10,INEX_LD-2009022,bt_bing_arabic,Sichuan Platter Food,0.0588
11,INEX_LD-2009022,stem.paicehusk,szechw dish food cuisin,0.0556
12,INEX_LD-2009022,bt_nllb_korean,Cooking the dishes,0.0417
13,INEX_LD-2009022,bertqe.topn10.bm25,pot nabeyaki yosenab soup nabe,0.04
14,INEX_LD-2009022,bertqe.topn10.qld,attribut indian singaporean cuisin refer,0.0312
15,INEX_LD-2009022,bt_nllb_german,Chequan buffalo cuisine,0.0303
16,INEX_LD-2009022,stem.trunc4,szec dish food cuis,0.0105
17,INEX_LD-2009022,bt_nllb_arabic,Seizuan food,0.0
18,INEX_LD-2009022,bt_nllb_chinese_yue,The recipe,0.0
19,INEX_LD-2009022,bt_nllb_persian,Cooking Sheep s Meals,0.0
20,INEX_LD-2009022,bt_nllb_russian,The kitchen of the sequoia,0.0
21,INEX_LD-2009022,bt_nllb_tamil,The food is cooked by Tshuang,0.0
22,INEX_LD-2009022,glove.topn3.replace,mangxamba localweather dessert supplies dishes,0.0
23,INEX_LD-2009039,-1,roman architecture,1.0
24,INEX_LD-2009039,conceptnet.topn3,roman architecture column,0.5
25,INEX_LD-2009039,conceptnet.topn3.replace,roman column,0.5
26,INEX_LD-2009039,stem.trunc4,roma arch,0.5
27,INEX_LD-2009039,word2vec.topn3,roman architecture etruscan,0.5
28,INEX_LD-2009039,wordnet.topn3,roman architecture roman print papistical roman letters computer architecture,0.5
29,INEX_LD-2009039,anchor.topn3,roman architecture romanization mongolian nuko wąbrzeźno,0.25
30,INEX_LD-2009039,bertqe.topn10.bm25,like arrow anchor dart egganddart,0.25
31,INEX_LD-2009039,sensedisambiguation,roman architecture computer architecture,0.2
32,INEX_LD-2009039,sensedisambiguation.replace,roman computer architecture,0.2
33,INEX_LD-2009039,word2vec.topn3.replace,etruscan architecture,0.2
34,INEX_LD-2009039,relevancefeedback.topn10.qld,roman architecture pennsylvania object treasur trophi architectur carolina indiana,0.125
35,INEX_LD-2009039,glove.topn3,roman architecture catholic catholics design,0.1
36,INEX_LD-2009039,relevancefeedback.topn10.bm25,roman architecture egganddart pennsylvania butler manassa museum mariazel histor perspect buckingham,0.0417
37,INEX_LD-2009039,anchor.topn3.replace,romanization mongolian nuko wąbrzeźno architecture,0.0102
