qid	order	query	qld.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.1299
INEX_LD-2009039	-1	roman architecture	0.2
INEX_LD-2009039	bt_nllb_arabic	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_chinese_yue	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_french	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_german	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_korean	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_malay	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_persian	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_russian	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_swahili	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_tamil	Roman architecture	0.2
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009061	-1	france second world war normandy	0.1967
INEX_LD-2009061	bt_nllb_french	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_german	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_malay	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_persian	France the Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_russian	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_swahili	France Second World War Normandy	0.1967
INEX_LD-2009062	-1	social network group selection	0.1094
INEX_LD-2009062	bt_nllb_french	selection of social network group	0.1094
INEX_LD-2009062	bt_nllb_german	Selection of groups in the social network	0.1094
INEX_LD-2009062	bt_nllb_russian	selection of groups in social networks	0.1094
INEX_LD-2009062	bt_nllb_tamil	Social networking group selection	0.1094
INEX_LD-2009063	-1	D-Day normandy invasion	0.1245
INEX_LD-2009063	bt_nllb_arabic	The Normandy invasion on D Day	0.1245
INEX_LD-2009063	bt_nllb_french	Invasion of Normandy on D Day	0.1245
INEX_LD-2009063	bt_nllb_german	The invasion of Normandy on D Day	0.1245
INEX_LD-2009063	bt_nllb_korean	D Day invasion of Normandy	0.1245
INEX_LD-2009063	bt_nllb_malay	D Day invasion of Normandy	0.1245
INEX_LD-2009063	bt_nllb_russian	The invasion of Normandy on D Day	0.1245
INEX_LD-2009063	bt_nllb_swahili	D Day invasion of Normandy	0.1245
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2542
INEX_LD-2009074	bt_nllb_french	web ranking algorithm	0.2919
INEX_LD-2009074	bt_nllb_korean	Web ranking algorithm	0.2919
INEX_LD-2009074	bt_nllb_malay	algorithm for ranking the web	0.2919
INEX_LD-2009074	bt_nllb_chinese_yue	The ranking algorithm for websites	0.2651
INEX_LD-2009074	bt_nllb_persian	The algorithm for web ranking scores	0.2542
INEX_LD-2009074	bt_nllb_swahili	web ranking scoring algorithm	0.2542
INEX_LD-2009074	bt_nllb_tamil	Web ranking score algorithm	0.2542
INEX_LD-2009096	-1	Eiffel	0.3177
INEX_LD-2009096	bt_nllb_malay	The Eiffel	0.3177
INEX_LD-2009096	bt_nllb_russian	The Eiffel	0.3177
INEX_LD-2009096	bt_nllb_swahili	Eiffel	0.3177
INEX_LD-2009111	-1	europe solar power facility	0.1228
INEX_LD-2009111	bt_nllb_korean	European solar power plants	0.2417
INEX_LD-2009111	bt_nllb_persian	European solar power plants	0.2417
INEX_LD-2009111	bt_nllb_russian	European solar power plant	0.2417
INEX_LD-2009111	bt_nllb_malay	European solar power facilities	0.1631
INEX_LD-2009111	bt_nllb_chinese_yue	Solar powered plants in Europe	0.1527
INEX_LD-2009111	bt_nllb_german	Europe solar power plant	0.1527
INEX_LD-2009111	bt_nllb_tamil	Europe solar powered	0.1449
INEX_LD-2009111	bt_nllb_arabic	Europe solar power facility	0.1228
INEX_LD-2009115	-1	virtual museums	0.4025
INEX_LD-2009115	bt_nllb_arabic	Virtual museums	0.4025
INEX_LD-2009115	bt_nllb_chinese_yue	A virtual museum	0.4025
INEX_LD-2009115	bt_nllb_french	virtual museums	0.4025
INEX_LD-2009115	bt_nllb_german	Virtual museums	0.4025
INEX_LD-2009115	bt_nllb_korean	Virtual museum	0.4025
INEX_LD-2009115	bt_nllb_persian	Virtual museums	0.4025
INEX_LD-2009115	bt_nllb_russian	virtual museums	0.4025
INEX_LD-2009115	bt_nllb_swahili	virtual museums	0.4025
INEX_LD-2009115	bt_nllb_tamil	Virtual museums	0.4025
INEX_LD-2010004	-1	Indian food	0.2021
INEX_LD-2010004	bt_nllb_arabic	Indian food	0.2021
INEX_LD-2010004	bt_nllb_chinese_yue	Indian food	0.2021
INEX_LD-2010004	bt_nllb_french	Indian food	0.2021
INEX_LD-2010004	bt_nllb_german	Indian food	0.2021
INEX_LD-2010004	bt_nllb_korean	Indian food	0.2021
INEX_LD-2010004	bt_nllb_malay	Indian food	0.2021
INEX_LD-2010004	bt_nllb_persian	Indian food	0.2021
INEX_LD-2010004	bt_nllb_russian	Indian food	0.2021
INEX_LD-2010004	bt_nllb_swahili	Indian Food	0.2021
INEX_LD-2010004	bt_nllb_tamil	Indian food	0.2021
INEX_LD-2010014	-1	composer museum	0.0472
INEX_LD-2010014	bt_nllb_french	museum of the composer	0.0472
INEX_LD-2010014	bt_nllb_russian	The Composers Museum	0.0472
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0045
INEX_LD-2010019	bt_nllb_chinese_yue	Ancient Roman architecture in Paris	0.0476
INEX_LD-2010019	bt_nllb_french	Gallo Roman architecture in Paris	0.0045
INEX_LD-2010019	bt_nllb_german	Gallo Roman architecture in Paris	0.0045
INEX_LD-2010019	bt_nllb_korean	Gallo Roman architecture in Paris	0.0045
INEX_LD-2010019	bt_nllb_malay	Gallo Roman architecture in Paris	0.0045
INEX_LD-2010019	bt_nllb_russian	Gallo Roman architecture in Paris	0.0045
INEX_LD-2010019	bt_nllb_swahili	Gallo Roman architecture in Paris	0.0045
INEX_LD-2010020	-1	electricity source in France	0.0364
INEX_LD-2010020	bt_nllb_tamil	Electricity in France	0.2091
INEX_LD-2010020	bt_nllb_french	source of electricity in France	0.0364
INEX_LD-2010020	bt_nllb_german	Source of electricity in France	0.0364
INEX_LD-2010020	bt_nllb_malay	electricity sources in France	0.0364
INEX_LD-2010020	bt_nllb_russian	source of electricity in France	0.0364
INEX_LD-2010020	bt_nllb_swahili	source of electricity in France	0.0364
INEX_LD-2010037	-1	social network API	0.2202
INEX_LD-2010037	bt_nllb_arabic	Social networking	0.2324
INEX_LD-2010037	bt_nllb_chinese_yue	The social networking API	0.2202
INEX_LD-2010037	bt_nllb_french	The social networking API	0.2202
