qid	order	query	qld.recip_rank
1	-1	obama family tree	0.0
10	-1	cheap internet	0.25
11	-1	gmat prep classes	0.5
12	-1	djs	0.25
13	-1	map	0.5
14	-1	dinosaurs	0.0303
15	-1	espn sports	0.25
16	-1	arizona game and fish	1.0
17	-1	poker tournaments	0.1429
18	-1	wedding budget calculator	1.0
19	-1	the current	0.0
2	-1	french lick resort and casino	1.0
20	-1	defender	0.0
21	-1	volvo	0.25
22	-1	rick warren	1.0
23	-1	yahoo	0.0
24	-1	diversity	0.1667
25	-1	euclid	0.3333
26	-1	lower heart rate	0.3333
27	-1	starbucks	0.0556
28	-1	inuyasha	0.3333
29	-1	ps 2 games	0.25
3	-1	getting organized	1.0
30	-1	diabetes education	0.25
31	-1	atari	1.0
32	-1	website design hosting	0.5
33	-1	elliptical trainer	0.25
34	-1	cell phones	0.0909
35	-1	hoboken	0.3333
36	-1	gps	0.1429
37	-1	pampered chef	0.1111
38	-1	dogs for adoption	0.125
39	-1	disneyland hotel	0.3333
4	-1	toilet	0.125
40	-1	michworks	0.5
41	-1	orange county convention center	1.0
42	-1	the music man	0.0
43	-1	the secret garden	0.25
44	-1	map of the united states	0.3333
45	-1	solar panels	0.3333
46	-1	alexian brothers hospital	0.3333
47	-1	indexed annuity	0.2
48	-1	wilson antenna	0.3333
49	-1	flame designs	0.1111
5	-1	mitchell college	0.0769
50	-1	dog heat	0.1
6	-1	kcs	0.0
7	-1	air travel information	1.0
8	-1	appraisals	0.0149
9	-1	used car parts	1.0
51	-1	horse hooves	1.0
52	-1	avp	0.1667
53	-1	discovery channel store	0.3333
54	-1	president of the united states	0.0714
55	-1	iron	0.0263
56	-1	uss yorktown charleston sc	0.0141
57	-1	ct jobs	1.0
58	-1	penguins	0.2
59	-1	how to build a fence	0.1
60	-1	bellevue	0.1
61	-1	worm	0.0435
62	-1	texas border patrol	0.25
63	-1	flushing	0.0526
64	-1	moths	0.1667
65	-1	korean language	1.0
66	-1	income tax return online	0.0123
67	-1	vldl levels	0.1429
68	-1	pvc	0.25
69	-1	sewing instructions	0.25
70	-1	to be or not to be that is the question	0.0
71	-1	living in india	0.0
72	-1	the sun	0.0
73	-1	neil young	1.0
74	-1	kiwi	0.0103
75	-1	tornadoes	0.0833
76	-1	raised gardens	0.1667
77	-1	bobcat	0.1667
78	-1	dieting	0.0127
79	-1	voyager	0.0196
80	-1	keyboard reviews	0.3333
81	-1	afghanistan	0.3333
82	-1	joints	0.0179
83	-1	memory	0.0
84	-1	continental plates	1.0
85	-1	milwaukee journal sentinel	1.0
86	-1	bart sf	1.0
87	-1	who invented music	0.25
88	-1	forearm pain	0.0833
89	-1	ocd	0.5
90	-1	mgb	0.0625
91	-1	er tv show	0.5
92	-1	the wall	0.0
93	-1	raffles	0.0833
94	-1	titan	0.0164
96	-1	rice	0.125
97	-1	south africa	0.1667
98	-1	sat	0.1111
99	-1	satellite	0.0
101	-1	ritz carlton lake las vegas	1.0
102	-1	fickle creek farm	0.0455
103	-1	madam cj walker	0.5
104	-1	indiana child support	0.1111
105	-1	sonoma county medical services	1.0
106	-1	universal animal cuts reviews	0.1111
107	-1	cass county missouri	0.0435
108	-1	ralph owen brewster	1.0
109	-1	mayo clinic jacksonville fl	0.0102
110	-1	map of brazil	1.0
111	-1	lymphoma in dogs	1.0
112	-1	kenmore gas water heater	0.0
113	-1	hp mini 2140	0.0
114	-1	adobe indian houses	0.1
115	-1	pacific northwest laboratory	0.5
116	-1	california franchise tax board	0.1111
117	-1	dangers of asbestos	0.5
118	-1	poem in your pocket day	1.0
119	-1	interview thank you	0.1111
120	-1	tv on computer	0.0909
121	-1	sit and reach test	0.25
122	-1	culpeper national cemetery	0.0455
123	-1	von willebrand disease	0.3333
124	-1	bowflex power pro	0.5
125	-1	butter and margarine	0.5
126	-1	us capitol map	0.0
127	-1	dutchess county tourism	1.0
128	-1	atypical squamous cells	0.125
129	-1	iowa food stamp program	0.0109
130	-1	fact on uranus	1.0
131	-1	equal opportunity employer	0.0217
132	-1	mothers day songs	0.1
133	-1	all men are created equal	1.0
134	-1	electronic skeet shoot	0.0
135	-1	source of the nile	0.0
136	-1	american military university	0.0
137	-1	rock and gem shows	1.0
138	-1	jax chemical company	1.0
139	-1	rocky mountain news	0.0323
140	-1	east ridge high school	0.0
141	-1	va dmv registration	0.0833
142	-1	illinois state tax	0.25
143	-1	arkadelphia health club	0.0
144	-1	trombone for sale	0.2
145	-1	vines for shade	0.2
146	-1	sherwood regional library	0.5
147	-1	tangible personal property tax	1.0
148	-1	martha stewart and imclone	1.0
149	-1	uplift at yellowstone national park	0.1667
150	-1	tn highway patrol	0.0244
151	-1	403b	0.0
152	-1	angular cheilitis	0.0
153	-1	pocono	0.3333
154	-1	figs	0.0909
