,qid,order,query,qld.ndcg
0,701,-1,U.S. oil industry history,0.0615
1,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.1826
2,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.14
3,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.1273
4,701,tagmee.topn3,u s oil industry history Petroleum,0.1273
5,701,bt_bing_arabic,History of the American oil industry,0.1147
6,701,bt_nllb_arabic,The history of the American oil industry,0.1147
7,701,bt_nllb_french,The history of the American oil industry,0.1147
8,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.1076
9,701,bt_nllb_german,The history of the US oil industry,0.0978
10,701,bt_bing_chinese_simplified,History of the U S oil industry,0.0615
11,701,bt_bing_french,History of the U S Oil Industry,0.0615
12,701,bt_bing_german,History of the U S Oil Industry,0.0615
13,701,bt_bing_korean,History of the U S Oil Industry,0.0615
14,701,bt_bing_malay,History of the U S oil industry,0.0615
15,701,bt_bing_persian,History of the U S Oil Industry,0.0615
16,701,bt_bing_russian,History of the U S Oil Industry,0.0615
17,701,bt_bing_swahili,History of the U S oil industry,0.0615
18,701,bt_bing_tamil,History of the U S oil industry,0.0615
19,701,bt_nllb_chinese_yue,The history of the U S oil industry,0.0615
20,701,bt_nllb_korean,The history of the U S oil industry,0.0615
21,701,bt_nllb_malay,History of the U S oil industry,0.0615
22,701,bt_nllb_persian,The history of the U S oil industry,0.0615
23,701,bt_nllb_russian,The history of the U S oil industry,0.0615
24,701,bt_nllb_swahili,The history of the U S oil industry,0.0615
25,701,bt_nllb_tamil,The history of the U S oil industry,0.0615
26,701,original,U S oil industry history,0.0615
27,701,stem.krovetz,u s oil industry history,0.0615
28,701,stem.porter,u s oil industri histori,0.0615
29,701,stem.porter2,u s oil industri histori,0.0615
30,701,stem.sstemmer,u s oil industry history,0.0615
31,701,thesaurus.topn3,u s oil industry history,0.0615
32,701,thesaurus.topn3.replace,u s oil industry history,0.0615
33,702,-1,Pearl farming,0.1479
34,702,bt_bing_tamil,Pearl culture,0.3087
35,702,termluster.topn5.3.qld,pearl farming product fish,0.2205
36,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.1697
37,702,tagmee.topn3,pearl farming Pearl,0.1522
38,702,bt_bing_chinese_simplified,Pearl farming,0.1479
39,702,bt_bing_french,Pearl farming,0.1479
40,702,bt_bing_german,Pearl farming,0.1479
41,702,bt_bing_korean,Pearl Farming,0.1479
42,702,bt_bing_malay,Pearl farming,0.1479
43,702,bt_bing_russian,Pearl farming,0.1479
44,702,bt_bing_swahili,Pearl farming,0.1479
45,702,bt_nllb_chinese_yue,Pearl farming,0.1479
46,702,bt_nllb_german,Pearl farming,0.1479
47,702,bt_nllb_korean,Pearl farming,0.1479
48,702,bt_nllb_malay,Pearl farming,0.1479
49,702,bt_nllb_russian,Pearl farming,0.1479
50,702,bt_nllb_swahili,The pearl farm,0.1479
51,702,bt_nllb_tamil,pearl farming,0.1479
52,702,conceptluster.topn5.3.qld,pearl farming,0.1479
53,702,original,Pearl farming,0.1479
54,702,sensedisambiguation,Pearl farming,0.1479
55,702,sensedisambiguation.replace,pearl farming,0.1479
56,702,stem.krovetz,pearl farming,0.1479
57,702,stem.lovins,pearl farm,0.1479
58,702,stem.paicehusk,pearl farm,0.1479
59,702,stem.porter,pearl farm,0.1479
60,702,stem.porter2,pearl farm,0.1479
61,702,stem.sstemmer,pearl farming,0.1479
62,702,thesaurus.topn3,pearl farming,0.1479
63,702,thesaurus.topn3.replace,pearl farming,0.1479
64,704,-1,Green party political views,0.1567
65,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.1878
66,704,bt_bing_arabic,Political views of the Green Party,0.1567
67,704,bt_bing_french,Green Party Political Views,0.1567
68,704,bt_bing_korean,Political views of the Green Party,0.1567
69,704,bt_bing_malay,Green party political views,0.1567
70,704,bt_bing_russian,Political views of the Green Party,0.1567
71,704,bt_bing_swahili,Political views of the Green Party,0.1567
72,704,bt_bing_tamil,Green Party political views,0.1567
73,704,bt_nllb_arabic,The political views of the Green Party,0.1567
74,704,bt_nllb_french,The political views of the Green Party,0.1567
75,704,bt_nllb_korean,The political views of the Green Party,0.1567
76,704,bt_nllb_malay,Green Party political views,0.1567
77,704,bt_nllb_persian,The political views of the Green Party,0.1567
