qid	order	query	qld.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.1299
INEX_LD-2009022	bt_bing_chinese_simplified	Sichuan cuisine	0.4428
INEX_LD-2009022	bt_bing_french	Sichuan Dish Cuisine	0.4405
INEX_LD-2009022	wordnet.topn3.replace	Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art	0.2832
INEX_LD-2009022	bt_bing_russian	Sichuan Dish Food Cuisine	0.2696
INEX_LD-2009022	bt_bing_german	Szechuan Dish Kitchen	0.2387
INEX_LD-2009022	wordnet.topn3	szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art	0.217
INEX_LD-2009022	conceptluster.topn5.3.bm25	szechwan dish food cuisine food cuisine sichuan dish food	0.1997
INEX_LD-2009022	conceptluster.topn5.3.qld	szechwan dish food cuisine sichuan cuisine food dish food	0.1997
INEX_LD-2009022	tagmee.topn3	szechwan dish food cuisine Sichuan Dish food Food Cuisine	0.1997
INEX_LD-2009022	bt_bing_korean	Sichuan cuisine food cooking	0.1941
INEX_LD-2009022	conceptnet.topn3	szechwan dish food cuisine Szechuan China plate cake rice rechauffe	0.1855
INEX_LD-2009022	anchor.topn3	szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar	0.1803
INEX_LD-2009022	tagmee.topn3.replace	Sichuan Dish food Food Cuisine	0.1553
INEX_LD-2009022	anchor.topn3.replace	setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine	0.1433
INEX_LD-2009022	bt_bing_persian	Sichuan Food	0.1394
INEX_LD-2009022	sensedisambiguation.replace	szechwan serve food cuisine	0.1373
INEX_LD-2009022	bt_bing_swahili	Diet cuisine of Szechwan	0.1353
INEX_LD-2009022	bt_bing_malay	Szechwan dish food cuisine	0.1299
INEX_LD-2009022	docluster.topn10.3.bm25	szechwan dish food cuisine	0.1299
INEX_LD-2009022	docluster.topn10.3.qld	szechwan dish food cuisine	0.1299
INEX_LD-2009022	rm3.topn10.10.0.5.bm25	Szechwan dish food cuisine	0.1299
INEX_LD-2009022	rm3.topn10.10.0.5.qld	Szechwan dish food cuisine	0.1299
INEX_LD-2009022	stem.krovetz	szechwan dish food cuisine	0.1299
INEX_LD-2009022	stem.porter	szechwan dish food cuisin	0.1299
INEX_LD-2009022	stem.porter2	szechwan dish food cuisin	0.1299
INEX_LD-2009022	stem.sstemmer	szechwan dish food cuisine	0.1299
INEX_LD-2009022	termluster.topn5.3.bm25	szechwan dish food cuisine	0.1299
INEX_LD-2009022	termluster.topn5.3.qld	szechwan dish food cuisine	0.1299
INEX_LD-2009022	thesaurus.topn3	szechwan dish food cuisine	0.1299
INEX_LD-2009022	thesaurus.topn3.replace	szechwan dish food cuisine	0.1299
INEX_LD-2009039	-1	roman architecture	0.2
INEX_LD-2009039	conceptluster.topn5.3.bm25	roman architecture ancient roman architecture	0.2995
INEX_LD-2009039	conceptluster.topn5.3.qld	roman architecture ancient roman architecture	0.2995
INEX_LD-2009039	tagmee.topn3	roman architecture Ancient Roman architecture	0.2995
INEX_LD-2009039	tagmee.topn3.replace	Ancient Roman architecture	0.2481
INEX_LD-2009039	bt_bing_arabic	Roman architecture	0.2
INEX_LD-2009039	bt_bing_chinese_simplified	Roman architecture	0.2
INEX_LD-2009039	bt_bing_french	Roman Architecture	0.2
INEX_LD-2009039	bt_bing_german	Roman Architecture	0.2
INEX_LD-2009039	bt_bing_korean	Roman architecture	0.2
INEX_LD-2009039	bt_bing_malay	Roman architecture	0.2
INEX_LD-2009039	bt_bing_persian	Roman architecture	0.2
INEX_LD-2009039	bt_bing_russian	Roman architecture	0.2
INEX_LD-2009039	bt_bing_swahili	Roman architecture	0.2
INEX_LD-2009039	bt_bing_tamil	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_arabic	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_chinese_yue	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_french	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_german	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_korean	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_malay	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_persian	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_russian	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_swahili	Roman architecture	0.2
INEX_LD-2009039	bt_nllb_tamil	Roman architecture	0.2
INEX_LD-2009039	docluster.topn10.3.bm25	roman architecture	0.2
INEX_LD-2009039	docluster.topn10.3.qld	roman architecture	0.2
INEX_LD-2009039	rm3.topn10.10.0.5.bm25	roman architecture	0.2
INEX_LD-2009039	rm3.topn10.10.0.5.qld	roman architecture	0.2
INEX_LD-2009039	stem.krovetz	roman architecture	0.2
INEX_LD-2009039	stem.lovins	roman architectur	0.2
INEX_LD-2009039	stem.porter	roman architectur	0.2
INEX_LD-2009039	stem.porter2	roman architectur	0.2
INEX_LD-2009039	stem.sstemmer	roman architecture	0.2
INEX_LD-2009039	termluster.topn5.3.bm25	roman architecture	0.2
INEX_LD-2009039	termluster.topn5.3.qld	roman architecture	0.2
INEX_LD-2009039	thesaurus.topn3	roman architecture	0.2
INEX_LD-2009039	thesaurus.topn3.replace	roman architecture	0.2
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	stem.lovins	finland car industr manufacturer saab sisu	0.4122
INEX_LD-2009053	bt_bing_tamil	Finland car industry manufacturer Saab Sisu	0.3034
INEX_LD-2009053	docluster.topn10.3.bm25	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	docluster.topn10.3.qld	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	rm3.topn10.10.0.5.bm25	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	rm3.topn10.10.0.5.qld	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	sensedisambiguation	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	sensedisambiguation.replace	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	stem.krovetz	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	stem.porter	finland car industri manufactur saab sisu	0.3034
INEX_LD-2009053	stem.porter2	finland car industri manufactur saab sisu	0.3034
INEX_LD-2009053	stem.sstemmer	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	termluster.topn5.3.bm25	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	termluster.topn5.3.qld	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	thesaurus.topn3	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009053	thesaurus.topn3.replace	finland car industry manufacturer saab sisu	0.3034
INEX_LD-2009061	-1	france second world war normandy	0.1967
INEX_LD-2009061	relevancefeedback.topn10.qld	france second world war normandy commando beach bridg cemeteri divis caen battl	0.2742
INEX_LD-2009061	sensedisambiguation	france second world worldly concern war normandy normandie	0.2104
INEX_LD-2009061	bt_bing_malay	France of the Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_french	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_german	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_malay	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_persian	France the Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_russian	France Second World War Normandy	0.1967
INEX_LD-2009061	bt_nllb_swahili	France Second World War Normandy	0.1967
INEX_LD-2009061	docluster.topn10.3.bm25	france second world war normandy	0.1967
INEX_LD-2009061	docluster.topn10.3.qld	france second world war normandy	0.1967
INEX_LD-2009061	rm3.topn10.10.0.5.bm25	france second world war normandy	0.1967
INEX_LD-2009061	rm3.topn10.10.0.5.qld	france second world war normandy	0.1967
INEX_LD-2009061	stem.krovetz	france second world war normandy	0.1967
INEX_LD-2009061	stem.porter	franc second world war normandi	0.1967
INEX_LD-2009061	stem.porter2	franc second world war normandi	0.1967
INEX_LD-2009061	stem.sstemmer	france second world war normandy	0.1967
INEX_LD-2009061	termluster.topn5.3.bm25	france second world war normandy	0.1967
INEX_LD-2009061	termluster.topn5.3.qld	france second world war normandy	0.1967
INEX_LD-2009061	thesaurus.topn3	france second world war normandy	0.1967
INEX_LD-2009061	thesaurus.topn3.replace	france second world war normandy	0.1967
INEX_LD-2009062	-1	social network group selection	0.1094
INEX_LD-2009062	bt_bing_chinese_simplified	Social network group selection	0.1094
INEX_LD-2009062	bt_bing_german	Group selection on social networks	0.1094
INEX_LD-2009062	bt_bing_malay	Selection of social network groups	0.1094
INEX_LD-2009062	bt_bing_persian	Select Social Network Group	0.1094
INEX_LD-2009062	bt_bing_swahili	Social Network Group Selection	0.1094
INEX_LD-2009062	bt_bing_tamil	Social Network Group Selection	0.1094
INEX_LD-2009062	bt_nllb_french	selection of social network group	0.1094
INEX_LD-2009062	bt_nllb_german	Selection of groups in the social network	0.1094
INEX_LD-2009062	bt_nllb_russian	selection of groups in social networks	0.1094
INEX_LD-2009062	bt_nllb_tamil	Social networking group selection	0.1094
INEX_LD-2009062	conceptluster.topn5.3.bm25	social network group selection social network group selection	0.1094
INEX_LD-2009062	conceptluster.topn5.3.qld	social network group selection group selection social network	0.1094
INEX_LD-2009062	docluster.topn10.3.bm25	social network group selection	0.1094
INEX_LD-2009062	docluster.topn10.3.qld	social network group selection	0.1094
INEX_LD-2009062	rm3.topn10.10.0.5.bm25	social network group selection	0.1094
INEX_LD-2009062	rm3.topn10.10.0.5.qld	social network group selection	0.1094
INEX_LD-2009062	stem.krovetz	social network group selection	0.1094
INEX_LD-2009062	stem.porter	social network group select	0.1094
INEX_LD-2009062	stem.porter2	social network group select	0.1094
INEX_LD-2009062	stem.sstemmer	social network group selection	0.1094
INEX_LD-2009062	tagmee.topn3	social network group selection Social network Group selection	0.1094
INEX_LD-2009062	tagmee.topn3.replace	Social network Group selection	0.1094
INEX_LD-2009062	termluster.topn5.3.bm25	social network group selection	0.1094
INEX_LD-2009062	termluster.topn5.3.qld	social network group selection	0.1094
INEX_LD-2009062	thesaurus.topn3	social network group selection	0.1094
INEX_LD-2009062	thesaurus.topn3.replace	social network group selection	0.1094
INEX_LD-2009063	-1	D-Day normandy invasion	0.1245
INEX_LD-2009063	sensedisambiguation	D Day normandy normandie invasion	0.1532
INEX_LD-2009063	wiki.topn3	d day normandy invasion invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy	0.1519
INEX_LD-2009063	wiki.topn3.replace	invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy	0.1457
INEX_LD-2009063	conceptluster.topn5.3.bm25	d day normandy invasion invasion normandy normandy landings operation overlord	0.1418
INEX_LD-2009063	conceptluster.topn5.3.qld	d day normandy invasion invasion normandy normandy landings operation overlord	0.1418
INEX_LD-2009063	tagmee.topn3	d day normandy invasion Normandy landings Operation Overlord Invasion of Normandy	0.1418
INEX_LD-2009063	relevancefeedback.topn10.bm25	d day normandy invasion airborn oper normandi utah bridg book ddai gold	0.1388
INEX_LD-2009063	relevancefeedback.topn10.qld	d day normandy invasion normandi invas book ddai oper airborn bridg utah	0.1364
INEX_LD-2009063	tagmee.topn3.replace	Normandy landings Operation Overlord Invasion of Normandy	0.1313
INEX_LD-2009063	bt_bing_arabic	D Day Invasion of Normandy	0.1245
INEX_LD-2009063	bt_bing_german	D Day invasion of Normandy	0.1245
INEX_LD-2009063	bt_bing_korean	D Day Normandy Invasion	0.1245
INEX_LD-2009063	bt_bing_malay	The normandy invasion of D Day	0.1245
INEX_LD-2009063	bt_bing_persian	D Day Normandy Invasion	0.1245
INEX_LD-2009063	bt_bing_swahili	D Day invasion normandy	0.1245
INEX_LD-2009063	bt_bing_tamil	D Day Normandy Invasion	0.1245
INEX_LD-2009063	bt_nllb_arabic	The Normandy invasion on D Day	0.1245
INEX_LD-2009063	bt_nllb_french	Invasion of Normandy on D Day	0.1245
INEX_LD-2009063	bt_nllb_german	The invasion of Normandy on D Day	0.1245
INEX_LD-2009063	bt_nllb_korean	D Day invasion of Normandy	0.1245
INEX_LD-2009063	bt_nllb_malay	D Day invasion of Normandy	0.1245
INEX_LD-2009063	bt_nllb_russian	The invasion of Normandy on D Day	0.1245
INEX_LD-2009063	bt_nllb_swahili	D Day invasion of Normandy	0.1245
INEX_LD-2009063	conceptnet.topn3	d day normandy invasion	0.1245
INEX_LD-2009063	conceptnet.topn3.replace	d day normandy invasion	0.1245
INEX_LD-2009063	docluster.topn10.3.bm25	d day normandy invasion	0.1245
INEX_LD-2009063	docluster.topn10.3.qld	d day normandy invasion	0.1245
INEX_LD-2009063	rm3.topn10.10.0.5.bm25	D-Day normandy invasion	0.1245
INEX_LD-2009063	rm3.topn10.10.0.5.qld	D-Day normandy invasion	0.1245
INEX_LD-2009063	sensedisambiguation.replace	d day normandie invasion	0.1245
INEX_LD-2009063	stem.krovetz	d day normandy invasion	0.1245
INEX_LD-2009063	stem.sstemmer	d day normandy invasion	0.1245
INEX_LD-2009063	termluster.topn5.3.bm25	d day normandy invasion	0.1245
INEX_LD-2009063	termluster.topn5.3.qld	d day normandy invasion	0.1245
INEX_LD-2009063	thesaurus.topn3	d day normandy invasion	0.1245
INEX_LD-2009063	thesaurus.topn3.replace	d day normandy invasion	0.1245
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2542
INEX_LD-2009074	bt_bing_arabic	Web ranking recording algorithm	0.2983
INEX_LD-2009074	bt_nllb_french	web ranking algorithm	0.2919
INEX_LD-2009074	bt_nllb_korean	Web ranking algorithm	0.2919
INEX_LD-2009074	bt_nllb_malay	algorithm for ranking the web	0.2919
INEX_LD-2009074	bt_nllb_chinese_yue	The ranking algorithm for websites	0.2651
INEX_LD-2009074	bt_bing_french	Web Ranking Scoring Algorithm	0.2542
INEX_LD-2009074	bt_bing_german	Web Ranking Scoring Algorithm	0.2542
INEX_LD-2009074	bt_bing_korean	Web Rank Scoring Algorithm	0.2542
INEX_LD-2009074	bt_bing_persian	Web Ranking Scoring Algorithm	0.2542
INEX_LD-2009074	bt_bing_tamil	Web Ranking Score Algorithm	0.2542
INEX_LD-2009074	bt_nllb_persian	The algorithm for web ranking scores	0.2542
INEX_LD-2009074	bt_nllb_swahili	web ranking scoring algorithm	0.2542
INEX_LD-2009074	bt_nllb_tamil	Web ranking score algorithm	0.2542
INEX_LD-2009074	docluster.topn10.3.bm25	web ranking scoring algorithm	0.2542
INEX_LD-2009074	docluster.topn10.3.qld	web ranking scoring algorithm	0.2542
INEX_LD-2009074	rm3.topn10.10.0.5.bm25	web ranking scoring algorithm	0.2542
INEX_LD-2009074	rm3.topn10.10.0.5.qld	web ranking scoring algorithm	0.2542
INEX_LD-2009074	stem.krovetz	web ranking score algorithm	0.2542
INEX_LD-2009074	stem.porter	web rank score algorithm	0.2542
INEX_LD-2009074	stem.porter2	web rank score algorithm	0.2542
INEX_LD-2009074	stem.sstemmer	web ranking scoring algorithm	0.2542
INEX_LD-2009074	termluster.topn5.3.bm25	web ranking scoring algorithm	0.2542
INEX_LD-2009074	termluster.topn5.3.qld	web ranking scoring algorithm	0.2542
INEX_LD-2009074	thesaurus.topn3	web ranking scoring algorithm	0.2542
INEX_LD-2009074	thesaurus.topn3.replace	web ranking scoring algorithm	0.2542
INEX_LD-2009096	-1	Eiffel	0.3177
INEX_LD-2009096	bt_bing_arabic	Eiffel	0.3177
INEX_LD-2009096	bt_bing_chinese_simplified	Eiffel	0.3177
INEX_LD-2009096	bt_bing_german	Eiffel	0.3177
INEX_LD-2009096	bt_bing_korean	Eiffel	0.3177
INEX_LD-2009096	bt_bing_malay	Eiffel	0.3177
INEX_LD-2009096	bt_bing_persian	Eiffel	0.3177
INEX_LD-2009096	bt_bing_russian	Eiffel	0.3177
INEX_LD-2009096	bt_bing_swahili	Eiffel	0.3177
INEX_LD-2009096	bt_bing_tamil	Eiffel	0.3177
INEX_LD-2009096	bt_nllb_malay	The Eiffel	0.3177
INEX_LD-2009096	bt_nllb_russian	The Eiffel	0.3177
INEX_LD-2009096	bt_nllb_swahili	Eiffel	0.3177
INEX_LD-2009096	conceptluster.topn5.3.bm25	eiffel	0.3177
INEX_LD-2009096	conceptluster.topn5.3.qld	eiffel	0.3177
INEX_LD-2009096	docluster.topn10.3.bm25	eiffel	0.3177
INEX_LD-2009096	docluster.topn10.3.qld	eiffel	0.3177
INEX_LD-2009096	rm3.topn10.10.0.5.bm25	Eiffel	0.3177
INEX_LD-2009096	rm3.topn10.10.0.5.qld	Eiffel	0.3177
INEX_LD-2009096	sensedisambiguation	Eiffel	0.3177
INEX_LD-2009096	sensedisambiguation.replace	eiffel	0.3177
INEX_LD-2009096	stem.krovetz	eiffel	0.3177
INEX_LD-2009096	stem.lovins	eiffel	0.3177
INEX_LD-2009096	stem.paicehusk	eiffel	0.3177
INEX_LD-2009096	stem.porter	eiffel	0.3177
INEX_LD-2009096	stem.porter2	eiffel	0.3177
INEX_LD-2009096	stem.sstemmer	eiffel	0.3177
INEX_LD-2009096	tagmee.topn3	eiffel	0.3177
INEX_LD-2009096	termluster.topn5.3.bm25	eiffel	0.3177
INEX_LD-2009096	termluster.topn5.3.qld	eiffel	0.3177
INEX_LD-2009096	thesaurus.topn3	eiffel	0.3177
INEX_LD-2009096	thesaurus.topn3.replace	eiffel	0.3177
INEX_LD-2009096	wiki.topn3	eiffel	0.3177
INEX_LD-2009111	-1	europe solar power facility	0.1228
INEX_LD-2009111	bt_nllb_korean	European solar power plants	0.2417
INEX_LD-2009111	bt_nllb_persian	European solar power plants	0.2417
INEX_LD-2009111	bt_nllb_russian	European solar power plant	0.2417
INEX_LD-2009111	word2vec.topn3.replace	germany european europe photovoltaic non solar power authority facilty	0.2345
INEX_LD-2009111	sensedisambiguation.replace	european union solar world power facility	0.2341
INEX_LD-2009111	word2vec.topn3	europe solar power facility germany european europe photovoltaic non solar power authority facilty	0.2238
INEX_LD-2009111	sensedisambiguation	europe european union solar power world power facility	0.2179
INEX_LD-2009111	conceptluster.topn5.3.bm25	europe solar power facility solar power europe	0.1662
INEX_LD-2009111	conceptluster.topn5.3.qld	europe solar power facility solar power europe	0.1662
INEX_LD-2009111	tagmee.topn3	europe solar power facility Europe Solar power	0.1662
INEX_LD-2009111	wiki.topn3	europe solar power facility cultural concepts peninsulas asia europe europe solar energy solar power alternative energy solar power	0.1662
INEX_LD-2009111	bt_bing_chinese_simplified	European solar power facilities	0.1631
INEX_LD-2009111	bt_nllb_malay	European solar power facilities	0.1631
INEX_LD-2009111	bt_bing_swahili	European Solar Power Station	0.1568
INEX_LD-2009111	wiki.topn3.replace	cultural concepts peninsulas asia europe europe solar energy solar power alternative energy solar power	0.1556
INEX_LD-2009111	bt_bing_french	Solar power plant in Europe	0.1527
INEX_LD-2009111	bt_bing_german	Solar power plant in Europe	0.1527
INEX_LD-2009111	bt_bing_russian	Solar power plant in Europe	0.1527
INEX_LD-2009111	bt_nllb_chinese_yue	Solar powered plants in Europe	0.1527
INEX_LD-2009111	bt_nllb_german	Europe solar power plant	0.1527
