,qid,order,query,qld.map
0,301,-1,International Organized Crime,0.0104
1,301,conceptnet.topn3,international organized crime re formed reorganised,0.01
2,301,anchor.topn3.replace,confédérat föderat kanusport organized anti corruption anti econom drug,0.0075
3,301,stem.trunc5,inter organ crime,0.0073
4,301,sensedisambiguation,International Organized unionize Crime,0.0067
5,301,bt_bing_malay,International Organised Crime,0.0062
6,301,bt_nllb_german,International organised crime,0.0062
7,301,bt_nllb_malay,Integrated Crime,0.0058
8,301,bt_bing_swahili,International Crime,0.0052
9,301,bt_nllb_swahili,International Crime,0.0052
10,301,conceptluster.topn5.3.bm25,international organized crime international law organized crime,0.0051
11,301,conceptluster.topn5.3.qld,international organized crime international law organized crime,0.0051
12,301,tagmee.topn3,international organized crime International law Organized crime,0.0051
13,301,glove.topn3.replace,global which organised criminal,0.0049
14,301,word2vec.topn3.replace,national global domestic organised criminality,0.0029
15,301,relevancefeedback.topn10.qld,international organized crime protect organ it feder compens intellectu,0.0027
16,301,wordnet.topn3,international organized crime external unionise prepare unionize criminal offense criminal offence law breaking,0.0026
17,301,tagmee.topn3.replace,International law Organized crime,0.0025
18,301,sensedisambiguation.replace,international unionize crime,0.002
19,301,stem.porter,intern organiz crime,0.0018
20,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.0016
21,301,conceptnet.topn3.replace,international re formed reorganised crime,0.0009
22,301,stem.lovins,intern organ crim,0.0007
23,301,bertqe.topn10.qld,intern affair materi from report,0.0002
24,301,wordnet.topn3.replace,external unionise prepare unionize criminal offense criminal offence law breaking,0.0001
25,301,bertqe.topn10.bm25,jansatta hindi cso articl chitra,0.0
26,301,stem.paicehusk,intern org crim,0.0
27,301,stem.trunc4,inte orga crim,0.0
28,302,-1,Poliomyelitis and Post-Polio,0.5115
29,302,glove.topn3,poliomyelitis post polio polio measles mangxamba http www kasparovchess com,0.5
30,302,conceptluster.topn5.3.bm25,poliomyelitis post polio post polio syndrome,0.4524
31,302,conceptluster.topn5.3.qld,poliomyelitis post polio post polio syndrome,0.4524
32,302,bt_bing_arabic,Polio and post polio,0.4514
33,302,bt_bing_persian,Polio and post polio,0.4514
34,302,bt_bing_tamil,Polio and post polio,0.4514
35,302,bt_nllb_arabic,Polio and polio,0.4514
36,302,bt_nllb_french,Polio and the Post Polio,0.4514
37,302,bt_nllb_german,Polio and postpolio,0.4514
