,qid,order,query,bm25.map
0,301,-1,International Organized Crime,0.0096
1,301,anchor.topn3.replace,confédérat föderat kanusport organized anti corruption anti econom drug,0.0093
2,301,conceptnet.topn3,international organized crime re formed reorganised,0.008
3,301,conceptluster.topn5.3.bm25,international organized crime international law organized crime,0.0068
4,301,conceptluster.topn5.3.qld,international organized crime international law organized crime,0.0068
5,301,tagmee.topn3,international organized crime International law Organized crime,0.0068
6,301,bt_bing_malay,International Organised Crime,0.0055
7,301,bt_nllb_german,International organised crime,0.0055
8,301,glove.topn3.replace,global which organised criminal,0.0055
9,301,stem.trunc5,inter organ crime,0.0046
10,301,tagmee.topn3.replace,International law Organized crime,0.0039
11,301,wordnet.topn3,international organized crime external unionise prepare unionize criminal offense criminal offence law breaking,0.0035
12,301,sensedisambiguation,International Organized unionize Crime,0.0034
13,301,bt_bing_swahili,International Crime,0.0029
14,301,bt_nllb_swahili,International Crime,0.0029
15,301,word2vec.topn3.replace,national global domestic organised criminality,0.0018
16,301,relevancefeedback.topn10.qld,international organized crime protect organ it feder compens intellectu,0.0017
17,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.0014
18,301,sensedisambiguation.replace,international unionize crime,0.0014
19,301,stem.porter,intern organiz crime,0.001
20,301,bt_nllb_malay,Integrated Crime,0.0008
21,301,stem.lovins,intern organ crim,0.0006
22,301,wordnet.topn3.replace,external unionise prepare unionize criminal offense criminal offence law breaking,0.0002
23,301,bertqe.topn10.qld,intern affair materi from report,0.0001
24,301,bertqe.topn10.bm25,jansatta hindi cso articl chitra,0.0
25,301,conceptnet.topn3.replace,international re formed reorganised crime,0.0
26,301,stem.paicehusk,intern org crim,0.0
27,301,stem.trunc4,inte orga crim,0.0
28,302,-1,Poliomyelitis and Post-Polio,0.5026
29,302,conceptluster.topn5.3.bm25,poliomyelitis post polio post polio syndrome,0.4355
30,302,conceptluster.topn5.3.qld,poliomyelitis post polio post polio syndrome,0.4355
31,302,wordnet.topn3.replace,polio acute anterior poliomyelitis post polio,0.4342
32,302,bt_nllb_chinese_yue,After polio and polio,0.4324
33,302,bt_nllb_malay,Polio and after polio,0.4324
34,302,bt_nllb_tamil,After polio and polio,0.4324
35,302,bt_bing_arabic,Polio and post polio,0.4228
36,302,bt_bing_persian,Polio and post polio,0.4228
37,302,bt_bing_tamil,Polio and post polio,0.4228
38,302,bt_nllb_french,Polio and the Post Polio,0.4228
39,302,stem.trunc5,polio and post polio,0.4228
40,302,bt_nllb_arabic,Polio and polio,0.4208
41,302,bt_nllb_german,Polio and postpolio,0.4208
42,302,bt_nllb_russian,Polio and postpolio,0.4208
43,302,bt_nllb_swahili,Polio and Afterpolio,0.4208
44,302,tagmee.topn3.replace,Poliomyelitis Post polio syndrome,0.4191
45,302,word2vec.topn3,poliomyelitis post polio polio poliovirus Guillain Barr amyotrophy,0.4123
46,302,bt_bing_malay,Polyomyelitis and Post Polio,0.4103
47,302,stem.paicehusk,poliomyelit and post polio,0.4103
48,302,bt_bing_korean,Polio and its sequelae,0.3412
49,302,wiki.topn3,poliomyelitis post polio thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome,0.3141
50,302,bt_nllb_persian,Polyamide and then polio,0.3043
51,302,glove.topn3.replace,polio measles mangxamba http www kasparovchess com,0.2868
52,302,word2vec.topn3.replace,polio poliovirus Guillain Barr amyotrophy,0.1563
53,302,anchor.topn3.replace,poliomyelitis kentuckyon rwjbarnaba lcmc,0.152
54,302,bt_bing_french,Poliomyelitis and post poliomyelitis,0.152
55,302,bt_bing_russian,Poliomyelitis and post poliomyelitis,0.152
56,302,wiki.topn3.replace,thrombosis encephalitis renal failure poliomyelitis rett syndrome deep brain stimulation national perinatal epidemiology unit post polio syndrome,0.0589
57,302,bertqe.topn10.bm25,reflect i m probabl most independ,0.0005
58,302,bertqe.topn10.qld,franklin roosevelt geoffrei c ward,0.0
59,302,bt_nllb_korean,Polyamylitis and polyochondrosis,0.0
60,302,stem.lovins,poliomyelit and post poli,0.0
61,302,stem.trunc4,poli and post poli,0.0
62,303,-1,Hubble Telescope Achievements,0.1663
63,303,bt_nllb_tamil,Hubble s telescope achievements,0.1644
64,303,bt_nllb_chinese_yue,The Hubble Telescope has achieved this,0.1643
65,303,relevancefeedback.topn10.qld,hubble telescope achievements telescop have univers hubbl mirror space,0.1619
66,303,conceptluster.topn5.3.bm25,hubble telescope achievements hubble space telescope,0.1616
67,303,conceptluster.topn5.3.qld,hubble telescope achievements hubble space telescope,0.1616
68,303,tagmee.topn3,hubble telescope achievements Hubble Space Telescope,0.1616
69,303,sensedisambiguation.replace,hubble telescope accomplishment,0.1499
70,303,relevancefeedback.topn10.bm25,hubble telescope achievements launch space mirror have report telescop univers hubbl,0.1478
71,303,sensedisambiguation,Hubble Telescope Achievements accomplishment,0.1478
72,303,wordnet.topn3.replace,Edwin Hubble Edwin Powell Hubble scope accomplishment,0.1457
73,303,tagmee.topn3.replace,Hubble Space Telescope,0.1378
74,303,bt_bing_swahili,Success of the Hubble Telescope,0.1344
