qid	order	query	qld.map
1	-1	obama family tree	0.0
10	-1	cheap internet	0.0075
11	-1	gmat prep classes	0.1851
12	-1	djs	0.0226
13	-1	map	0.0504
14	-1	dinosaurs	0.0098
15	-1	espn sports	0.1485
16	-1	arizona game and fish	0.0906
17	-1	poker tournaments	0.0353
18	-1	wedding budget calculator	0.068
19	-1	the current	0.0
2	-1	french lick resort and casino	0.1714
20	-1	defender	0.0
21	-1	volvo	0.1711
22	-1	rick warren	0.213
23	-1	yahoo	0.0
24	-1	diversity	0.0572
25	-1	euclid	0.0642
26	-1	lower heart rate	0.0761
27	-1	starbucks	0.0508
28	-1	inuyasha	0.0419
29	-1	ps 2 games	0.013
3	-1	getting organized	0.0772
30	-1	diabetes education	0.0551
31	-1	atari	0.1633
32	-1	website design hosting	0.0272
33	-1	elliptical trainer	0.1452
34	-1	cell phones	0.0078
35	-1	hoboken	0.2209
36	-1	gps	0.0343
37	-1	pampered chef	0.0349
38	-1	dogs for adoption	0.0265
39	-1	disneyland hotel	0.0325
4	-1	toilet	0.0424
40	-1	michworks	0.0397
41	-1	orange county convention center	0.0464
42	-1	the music man	0.0
43	-1	the secret garden	0.2108
44	-1	map of the united states	0.0202
45	-1	solar panels	0.0774
46	-1	alexian brothers hospital	0.3116
47	-1	indexed annuity	0.1203
48	-1	wilson antenna	0.0253
49	-1	flame designs	0.101
5	-1	mitchell college	0.0013
50	-1	dog heat	0.0107
6	-1	kcs	0.0
7	-1	air travel information	0.0943
8	-1	appraisals	0.0006
9	-1	used car parts	0.0519
51	-1	horse hooves	0.1857
52	-1	avp	0.1039
53	-1	discovery channel store	0.0405
54	-1	president of the united states	0.0531
55	-1	iron	0.0041
56	-1	uss yorktown charleston sc	0.0058
57	-1	ct jobs	0.1536
58	-1	penguins	0.0536
59	-1	how to build a fence	0.0063
60	-1	bellevue	0.049
61	-1	worm	0.0139
62	-1	texas border patrol	0.3436
63	-1	flushing	0.0512
64	-1	moths	0.0855
65	-1	korean language	0.1061
66	-1	income tax return online	0.0014
67	-1	vldl levels	0.1023
68	-1	pvc	0.0338
69	-1	sewing instructions	0.1257
70	-1	to be or not to be that is the question	0.0
71	-1	living in india	0.0
72	-1	the sun	0.0
73	-1	neil young	0.1458
74	-1	kiwi	0.0007
75	-1	tornadoes	0.1873
76	-1	raised gardens	0.1493
77	-1	bobcat	0.0272
78	-1	dieting	0.0002
79	-1	voyager	0.007
80	-1	keyboard reviews	0.0786
81	-1	afghanistan	0.0319
82	-1	joints	0.0015
83	-1	memory	0.0
84	-1	continental plates	0.309
85	-1	milwaukee journal sentinel	0.0516
86	-1	bart sf	0.3296
87	-1	who invented music	0.0043
88	-1	forearm pain	0.0763
89	-1	ocd	0.1167
90	-1	mgb	0.0832
91	-1	er tv show	0.0227
92	-1	the wall	0.0
93	-1	raffles	0.0399
94	-1	titan	0.0028
96	-1	rice	0.0477
97	-1	south africa	0.0047
98	-1	sat	0.0451
99	-1	satellite	0.0
101	-1	ritz carlton lake las vegas	0.0664
102	-1	fickle creek farm	0.0021
103	-1	madam cj walker	0.0247
104	-1	indiana child support	0.0232
105	-1	sonoma county medical services	0.0664
106	-1	universal animal cuts reviews	0.0111
107	-1	cass county missouri	0.0046
108	-1	ralph owen brewster	0.44
109	-1	mayo clinic jacksonville fl	0.0009
110	-1	map of brazil	0.055
111	-1	lymphoma in dogs	0.3224
112	-1	kenmore gas water heater	0.0
113	-1	hp mini 2140	0.0
114	-1	adobe indian houses	0.0178
115	-1	pacific northwest laboratory	0.125
116	-1	california franchise tax board	0.0836
117	-1	dangers of asbestos	0.0449
118	-1	poem in your pocket day	0.0672
119	-1	interview thank you	0.092
120	-1	tv on computer	0.0181
121	-1	sit and reach test	0.063
122	-1	culpeper national cemetery	0.0169
123	-1	von willebrand disease	0.2171
124	-1	bowflex power pro	0.0579
125	-1	butter and margarine	0.1224
126	-1	us capitol map	0.0
127	-1	dutchess county tourism	0.1436
128	-1	atypical squamous cells	0.0521
129	-1	iowa food stamp program	0.0004
130	-1	fact on uranus	0.1547
131	-1	equal opportunity employer	0.0054
132	-1	mothers day songs	0.0164
133	-1	all men are created equal	0.0498
134	-1	electronic skeet shoot	0.0
135	-1	source of the nile	0.0
136	-1	american military university	0.0
137	-1	rock and gem shows	0.0972
138	-1	jax chemical company	0.1761
139	-1	rocky mountain news	0.0159
140	-1	east ridge high school	0.0
141	-1	va dmv registration	0.1021
142	-1	illinois state tax	0.0616
