qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
301	bt_nllb_arabic	International organized crime	0.0104
301	bt_nllb_chinese_yue	International organized crime	0.0104
301	bt_nllb_french	International organized crime	0.0104
301	bt_nllb_korean	International organized crime	0.0104
301	bt_nllb_persian	International organized crime	0.0104
301	bt_nllb_russian	International organized crime	0.0104
301	bt_nllb_tamil	International organized crime	0.0104
301	bt_nllb_german	International organised crime	0.0062
301	bt_nllb_malay	Integrated Crime	0.0058
301	bt_nllb_swahili	International Crime	0.0052
302	-1	Poliomyelitis and Post-Polio	0.5115
302	bt_nllb_arabic	Polio and polio	0.4514
302	bt_nllb_french	Polio and the Post Polio	0.4514
302	bt_nllb_german	Polio and postpolio	0.4514
302	bt_nllb_russian	Polio and postpolio	0.4514
302	bt_nllb_swahili	Polio and Afterpolio	0.4514
302	bt_nllb_chinese_yue	After polio and polio	0.4356
302	bt_nllb_malay	Polio and after polio	0.4356
302	bt_nllb_tamil	After polio and polio	0.4356
302	bt_nllb_persian	Polyamide and then polio	0.2752
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.1915
303	bt_nllb_swahili	The results of the Hubble Telescope	0.2495
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_french	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_german	Achievements of the Hubble Telescope	0.1915
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.1899
303	bt_nllb_tamil	Hubble s telescope achievements	0.1896
303	bt_nllb_korean	The Hubble Telescope was completed	0.1427
304	-1	Endangered Species (Mammals)	0.037
304	bt_nllb_swahili	Endangered Species Animals	0.0606
304	bt_nllb_chinese_yue	They are endangered	0.0513
304	bt_nllb_korean	Endangered species	0.0457
304	bt_nllb_persian	Endangered species clover	0.04
304	bt_nllb_arabic	Endangered species mammals	0.037
304	bt_nllb_french	Endangered species mammal	0.037
304	bt_nllb_german	Endangered species mammal	0.037
304	bt_nllb_malay	Endangered species mammal	0.037
304	bt_nllb_tamil	The species in danger of extinction type	0.0161
304	bt_nllb_russian	Threatened species self miners	0.0034
305	-1	Most Dangerous Vehicles	0.0044
305	bt_nllb_french	The most dangerous vehicles	0.0044
305	bt_nllb_german	Most dangerous vehicles	0.0044
305	bt_nllb_korean	The most dangerous vehicle	0.0044
305	bt_nllb_malay	The Most Dangerous Vehicle	0.0044
305	bt_nllb_persian	The most dangerous vehicles	0.0044
305	bt_nllb_russian	The most dangerous vehicles	0.0044
305	bt_nllb_tamil	The most dangerous vehicles	0.0044
305	bt_nllb_arabic	The most dangerous cars	0.0026
305	bt_nllb_chinese_yue	The most dangerous car	0.0026
305	bt_nllb_swahili	The Most Dangerous Cars	0.0026
306	-1	African Civilian Deaths	0.0527
306	bt_nllb_french	The deaths of African civilians	0.0527
306	bt_nllb_german	African civilian deaths	0.0527
306	bt_nllb_arabic	The killing of civilians in Africa	0.0379
306	bt_nllb_russian	Death of civilians in Africa	0.0352
306	bt_nllb_korean	African citizens killed	0.0118
306	bt_nllb_malay	The Death of African Citizens	0.0108
306	bt_nllb_persian	Death of African citizens	0.0108
306	bt_nllb_tamil	The death of African citizens	0.0108
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.004
306	bt_nllb_chinese_yue	African citizens dying	0.0028
307	-1	New Hydroelectric Projects	0.2124
307	bt_nllb_chinese_yue	New hydroelectric projects	0.2124
307	bt_nllb_french	New hydroelectric projects	0.2124
307	bt_nllb_malay	New Hydroelectric Project	0.2124
307	bt_nllb_persian	New projects for hydroelectricity	0.2124
307	bt_nllb_russian	New hydroelectric projects	0.2124
307	bt_nllb_tamil	New hydroelectric projects	0.2124
307	bt_nllb_arabic	New hydropower projects	0.0719
307	bt_nllb_korean	A new hydropower project	0.0719
307	bt_nllb_swahili	New Water Power Projects	0.0382
307	bt_nllb_german	New hydropower plants	0.036
308	-1	Implant Dentistry	0.2812
