,qid,order,query,bm25.map
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,0.118
1,INEX_LD-2009022,bt_bing_chinese_simplified,Sichuan cuisine,0.4536
2,INEX_LD-2009022,bt_bing_french,Sichuan Dish Cuisine,0.3968
3,INEX_LD-2009022,wordnet.topn3.replace,Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art,0.2855
4,INEX_LD-2009022,bt_bing_russian,Sichuan Dish Food Cuisine,0.2804
5,INEX_LD-2009022,wordnet.topn3,szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art,0.243
6,INEX_LD-2009022,conceptluster.topn5.3.bm25,szechwan dish food cuisine food cuisine sichuan dish food,0.2286
7,INEX_LD-2009022,conceptluster.topn5.3.qld,szechwan dish food cuisine sichuan cuisine food dish food,0.2286
8,INEX_LD-2009022,tagmee.topn3,szechwan dish food cuisine Sichuan Dish food Food Cuisine,0.2286
9,INEX_LD-2009022,bt_bing_korean,Sichuan cuisine food cooking,0.2256
10,INEX_LD-2009022,bt_bing_german,Szechuan Dish Kitchen,0.2034
11,INEX_LD-2009022,anchor.topn3,szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar,0.166
12,INEX_LD-2009022,tagmee.topn3.replace,Sichuan Dish food Food Cuisine,0.1611
13,INEX_LD-2009022,conceptnet.topn3,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,0.1544
14,INEX_LD-2009022,anchor.topn3.replace,setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine,0.1383
15,INEX_LD-2009022,bt_bing_malay,Szechwan dish food cuisine,0.118
16,INEX_LD-2009022,docluster.topn10.3.bm25,szechwan dish food cuisine,0.118
17,INEX_LD-2009022,docluster.topn10.3.qld,szechwan dish food cuisine,0.118
18,INEX_LD-2009022,original,Szechwan dish food cuisine,0.118
19,INEX_LD-2009022,rm3.topn10.10.0.5.bm25,Szechwan dish food cuisine,0.118
20,INEX_LD-2009022,rm3.topn10.10.0.5.qld,Szechwan dish food cuisine,0.118
21,INEX_LD-2009022,stem.krovetz,szechwan dish food cuisine,0.118
22,INEX_LD-2009022,stem.porter,szechwan dish food cuisin,0.118
23,INEX_LD-2009022,stem.porter2,szechwan dish food cuisin,0.118
24,INEX_LD-2009022,stem.sstemmer,szechwan dish food cuisine,0.118
25,INEX_LD-2009022,termluster.topn5.3.bm25,szechwan dish food cuisine,0.118
26,INEX_LD-2009022,termluster.topn5.3.qld,szechwan dish food cuisine,0.118
27,INEX_LD-2009022,thesaurus.topn3,szechwan dish food cuisine,0.118
28,INEX_LD-2009022,thesaurus.topn3.replace,szechwan dish food cuisine,0.118
29,INEX_LD-2009039,-1,roman architecture,0.0851
30,INEX_LD-2009039,conceptluster.topn5.3.bm25,roman architecture ancient roman architecture,0.1929
31,INEX_LD-2009039,conceptluster.topn5.3.qld,roman architecture ancient roman architecture,0.1929
32,INEX_LD-2009039,tagmee.topn3,roman architecture Ancient Roman architecture,0.1929
33,INEX_LD-2009039,tagmee.topn3.replace,Ancient Roman architecture,0.1716
34,INEX_LD-2009039,wiki.topn3,roman architecture outlinof classical architecture frigidarium peristyle ancient roman architecture,0.0953
35,INEX_LD-2009039,bt_bing_arabic,Roman architecture,0.0851
