,qid,order,query,bm25.recip_rank
0,1,-1,obama family tree,0.5
1,1,bt_bing_arabic,Obama Family Tree,0.5
2,1,bt_bing_chinese_simplified,Obama Family Tree,0.5
3,1,bt_bing_french,Obama Family Tree,0.5
4,1,bt_bing_german,Obama Family Tree,0.5
5,1,bt_bing_korean,Obama Family Tree,0.5
6,1,bt_bing_malay,Obama Family Tree,0.5
7,1,bt_bing_persian,The Obama Family Tree,0.5
8,1,bt_bing_swahili,Obama Family Tree,0.5
9,1,bt_bing_tamil,Obama Family Tree,0.5
10,1,bt_nllb_arabic,The Obama family tree,0.5
11,1,bt_nllb_chinese_yue,The Obama family tree,0.5
12,1,bt_nllb_french,Obama family tree,0.5
13,1,bt_nllb_german,Obama family tree,0.5
14,1,bt_nllb_korean,The Obama family tree,0.5
15,1,bt_nllb_malay,Obama family tree,0.5
16,1,bt_nllb_persian,The Obama family tree,0.5
17,1,bt_nllb_swahili,Obama family tree,0.5
18,1,bt_nllb_tamil,The Obama Family Tree,0.5
19,1,original,obama family tree,0.5
20,1,rm3.topn10.10.0.5.bm25,obama family tree,0.5
21,1,rm3.topn10.10.0.5.qld,obama family tree,0.5
22,1,stem.krovetz,obama family tree,0.5
23,1,stem.porter,obama famili tree,0.5
24,1,stem.porter2,obama famili tree,0.5
25,1,stem.sstemmer,obama family tree,0.5
26,1,tagmee.topn3,obama family tree Family of Barack Obama,0.5
27,1,tagmee.topn3.replace,Family of Barack Obama,0.5
28,1,thesaurus.topn3,obama family tree,0.5
29,1,thesaurus.topn3.replace,obama family tree,0.5
30,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,0.5
31,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.5
32,10,-1,cheap internet,0.25
33,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,1.0
34,10,word2vec.topn3.replace,inexpensive low cost online intenet,0.5
35,10,bt_bing_arabic,Cheap internet,0.25
36,10,bt_bing_chinese_simplified,Cheap internet,0.25
37,10,bt_bing_french,Cheap Internet,0.25
38,10,bt_bing_german,Cheap internet,0.25
39,10,bt_bing_korean,Cheap Internet,0.25
40,10,bt_bing_malay,Cheap Internet,0.25
41,10,bt_bing_persian,Cheap Internet,0.25
42,10,bt_bing_russian,Cheap internet,0.25
43,10,bt_bing_swahili,Cheap Internet,0.25
44,10,bt_bing_tamil,Cheap internet,0.25
45,10,bt_nllb_arabic,The internet is cheap,0.25
46,10,bt_nllb_chinese_yue,Cheap Internet,0.25
47,10,bt_nllb_french,The Internet is Cheap,0.25
48,10,bt_nllb_german,cheap internet,0.25
49,10,bt_nllb_korean,Cheap Internet,0.25
50,10,bt_nllb_malay,cheap internet,0.25
51,10,bt_nllb_persian,The Internet is cheap,0.25
52,10,bt_nllb_russian,cheap internet,0.25
53,10,bt_nllb_swahili,cheap internet,0.25
54,10,bt_nllb_tamil,Cheap Internet,0.25
55,10,original,cheap internet,0.25
56,10,rm3.topn10.10.0.5.bm25,cheap internet,0.25
57,10,rm3.topn10.10.0.5.qld,cheap internet,0.25
58,10,sensedisambiguation,cheap internet,0.25
59,10,sensedisambiguation.replace,cheap internet,0.25
60,10,stem.krovetz,cheap internet,0.25
61,10,stem.lovins,cheap internet,0.25
62,10,stem.paicehusk,cheap internet,0.25
63,10,stem.porter,cheap internet,0.25
64,10,stem.porter2,cheap internet,0.25
65,10,stem.sstemmer,cheap internet,0.25
66,10,thesaurus.topn3,cheap internet,0.25
67,10,thesaurus.topn3.replace,cheap internet,0.25
68,11,-1,gmat prep classes,1.0
69,11,bertqe.topn10.bm25,studi guid gmat mathprep corpor,1.0
70,11,bertqe.topn10.qld,mlic manhattan gmat prep class,1.0
71,11,bt_bing_arabic,GMAT Prep Classes,1.0
72,11,bt_bing_chinese_simplified,GMAT Prep Class,1.0
73,11,bt_bing_korean,GMAT Prep Classes,1.0
74,11,bt_bing_swahili,GMAT Prep Classes,1.0
75,11,bt_nllb_korean,Gmat prep class,1.0
76,11,bt_nllb_tamil,Gmat ready classes,1.0
77,11,conceptluster.topn5.3.qld,gmat prep classes preschool graduate management admission test social class git object,1.0
78,11,original,gmat prep classes,1.0
79,11,relevancefeedback.topn10.bm25,gmat prep classes,1.0
80,11,relevancefeedback.topn10.qld,gmat prep classes,1.0
81,11,rm3.topn10.10.0.5.bm25,gmat prep classes,1.0
82,11,rm3.topn10.10.0.5.qld,gmat prep classes,1.0
83,11,stem.krovetz,gmat prep class,1.0
84,11,stem.paicehusk,gmat prep class,1.0
85,11,stem.porter,gmat prep class,1.0
86,11,stem.porter2,gmat prep class,1.0
87,11,stem.sstemmer,gmat prep classe,1.0
88,11,stem.trunc5,gmat prep class,1.0
89,11,termluster.topn5.3.qld,gmat prep classes git object,1.0
90,11,thesaurus.topn3,gmat prep classes,1.0
91,11,thesaurus.topn3.replace,gmat prep classes,1.0
92,11,word2vec.topn3,gmat prep classes courses,1.0
93,12,-1,djs,0.3333
94,12,sensedisambiguation,djs disk jockey,0.5
95,12,sensedisambiguation.replace,disk jockey,0.5
96,12,wordnet.topn3,djs disc jockey disk jockey,0.5
97,12,wordnet.topn3.replace,disc jockey disk jockey,0.5
98,12,anchor.topn3,djs,0.3333
99,12,anchor.topn3.replace,djs,0.3333
100,12,bt_bing_arabic,Djs,0.3333
101,12,bt_bing_chinese_simplified,DJ service,0.3333
102,12,bt_bing_french,Djs,0.3333
103,12,bt_bing_german,Djs,0.3333
104,12,bt_bing_korean,DJ,0.3333
105,12,bt_bing_malay,DJS,0.3333
106,12,bt_bing_persian,Dj,0.3333
107,12,bt_bing_russian,Djs,0.3333
108,12,bt_bing_swahili,DJs,0.3333
109,12,bt_bing_tamil,DJS,0.3333
110,12,bt_nllb_french,DJs,0.3333
111,12,bt_nllb_german,DJs,0.3333
112,12,original,djs,0.3333
113,12,rm3.topn10.10.0.5.bm25,djs,0.3333
114,12,rm3.topn10.10.0.5.qld,djs,0.3333
115,12,stem.krovetz,djs,0.3333
116,12,stem.lovins,dj,0.3333
117,12,stem.paicehusk,djs,0.3333
118,12,stem.porter,dj,0.3333
119,12,stem.porter2,djs,0.3333
120,12,stem.sstemmer,djs,0.3333
121,12,stem.trunc4,djs,0.3333
122,12,stem.trunc5,djs,0.3333
123,12,tagmee.topn3,djs,0.3333
124,12,thesaurus.topn3,djs,0.3333
125,12,thesaurus.topn3.replace,djs,0.3333
126,12,wiki.topn3,djs,0.3333
127,13,-1,map,0.0204
128,13,bt_bing_arabic,map,0.0204
129,13,bt_bing_chinese_simplified,map,0.0204
130,13,bt_bing_french,map,0.0204
131,13,bt_bing_german,Map,0.0204
132,13,bt_bing_korean,map,0.0204
133,13,bt_bing_malay,Map,0.0204
134,13,bt_bing_persian,Map,0.0204
135,13,bt_bing_russian,map,0.0204
136,13,bt_bing_swahili,Map,0.0204
137,13,bt_bing_tamil,map,0.0204
138,13,bt_nllb_arabic,A map,0.0204
139,13,bt_nllb_chinese_yue,Map,0.0204
140,13,bt_nllb_french,map,0.0204
141,13,bt_nllb_german,Map,0.0204
142,13,bt_nllb_malay,map,0.0204
143,13,bt_nllb_swahili,map,0.0204
144,13,bt_nllb_tamil,map,0.0204
145,13,conceptnet.topn3,map,0.0204
146,13,conceptnet.topn3.replace,map,0.0204
147,13,glove.topn3,map,0.0204
148,13,glove.topn3.replace,map,0.0204
149,13,original,map,0.0204
150,13,rm3.topn10.10.0.5.bm25,map,0.0204
151,13,rm3.topn10.10.0.5.qld,map,0.0204
152,13,sensedisambiguation,map,0.0204
153,13,sensedisambiguation.replace,map,0.0204
154,13,stem.krovetz,map,0.0204
155,13,stem.lovins,map,0.0204
156,13,stem.paicehusk,map,0.0204
157,13,stem.porter,map,0.0204
158,13,stem.porter2,map,0.0204
159,13,stem.sstemmer,map,0.0204
160,13,stem.trunc4,map,0.0204
161,13,stem.trunc5,map,0.0204
162,13,tagmee.topn3,map,0.0204
163,13,thesaurus.topn3,map,0.0204
164,13,thesaurus.topn3.replace,map,0.0204
165,13,wiki.topn3,map,0.0204
166,13,word2vec.topn3,map,0.0204
167,13,word2vec.topn3.replace,map,0.0204
168,14,-1,dinosaurs,0.0476
169,14,conceptnet.topn3,dinosaurs ancient reptiles,1.0
170,14,glove.topn3,dinosaurs reptiles,0.3333
171,14,conceptnet.topn3.replace,ancient reptiles,0.1111
172,14,anchor.topn3,dinosaurs,0.0476
173,14,anchor.topn3.replace,dinosaurs,0.0476
174,14,bt_bing_arabic,Dinosaurs,0.0476
175,14,bt_bing_chinese_simplified,dinosaur,0.0476
176,14,bt_bing_french,Dinosaurs,0.0476
177,14,bt_bing_german,dinosaur,0.0476
178,14,bt_bing_korean,dinosaur,0.0476
179,14,bt_bing_malay,Dinosaurs,0.0476
180,14,bt_bing_persian,Dinosaurs,0.0476
181,14,bt_bing_russian,Dinosaurs,0.0476
182,14,bt_bing_swahili,Dinosaurs,0.0476
183,14,bt_bing_tamil,Dinosaurs,0.0476
184,14,bt_nllb_arabic,The dinosaurs,0.0476
185,14,bt_nllb_chinese_yue,The dinosaurs,0.0476
186,14,bt_nllb_french,the dinosaurs,0.0476
187,14,bt_nllb_korean,The dinosaurs,0.0476
188,14,bt_nllb_malay,The dinosaurs,0.0476
189,14,bt_nllb_persian,The dinosaurs,0.0476
190,14,bt_nllb_russian,The dinosaurs,0.0476
191,14,bt_nllb_swahili,dinosaurs,0.0476
192,14,bt_nllb_tamil,The Dinosaurs,0.0476
193,14,original,dinosaurs,0.0476
194,14,rm3.topn10.10.0.5.bm25,dinosaurs,0.0476
195,14,rm3.topn10.10.0.5.qld,dinosaurs,0.0476
196,14,sensedisambiguation,dinosaurs dinosaur,0.0476
197,14,sensedisambiguation.replace,dinosaur,0.0476
198,14,stem.krovetz,dinosaur,0.0476
199,14,stem.lovins,dinosaur,0.0476
200,14,stem.porter,dinosaur,0.0476
201,14,stem.porter2,dinosaur,0.0476
202,14,stem.sstemmer,dinosaur,0.0476
203,14,tagmee.topn3,dinosaurs,0.0476
204,14,thesaurus.topn3,dinosaurs,0.0476
205,14,thesaurus.topn3.replace,dinosaurs,0.0476
206,14,wiki.topn3,dinosaurs,0.0476
207,14,wordnet.topn3,dinosaurs,0.0476
208,14,wordnet.topn3.replace,dinosaurs,0.0476
209,15,-1,espn sports,1.0
210,15,bt_bing_arabic,ESPN Sports,1.0
211,15,bt_bing_chinese_simplified,ESPN Sports,1.0
212,15,bt_bing_french,ESPN Sports,1.0
213,15,bt_bing_german,ESPN Sports,1.0
214,15,bt_bing_korean,ESPN Sports,1.0
215,15,bt_bing_malay,ESPN Sports,1.0
216,15,bt_bing_persian,ESPN Sports,1.0
217,15,bt_bing_russian,ESPN Sports,1.0
218,15,bt_bing_swahili,ESPN Sports,1.0
219,15,bt_bing_tamil,ESPN Sports,1.0
220,15,original,espn sports,1.0
221,15,rm3.topn10.10.0.5.bm25,espn sports,1.0
222,15,rm3.topn10.10.0.5.qld,espn sports,1.0
223,15,sensedisambiguation,espn sports sport,1.0
224,15,sensedisambiguation.replace,espn sport,1.0
225,15,stem.krovetz,espn sports,1.0
226,15,stem.lovins,espn sport,1.0
227,15,stem.paicehusk,espn sport,1.0
228,15,stem.porter,espn sport,1.0
229,15,stem.porter2,espn sport,1.0
230,15,stem.sstemmer,espn sport,1.0
231,15,stem.trunc5,espn sport,1.0
232,15,thesaurus.topn3,espn sports,1.0
233,15,thesaurus.topn3.replace,espn sports,1.0
234,16,-1,arizona game and fish,1.0
235,16,bt_bing_arabic,Game Arizona and fish,1.0
236,16,bt_bing_chinese_simplified,Arizona Games Fish,1.0
237,16,bt_bing_german,Arizona Game and Fish,1.0
238,16,bt_bing_korean,Arizona Game Fish,1.0
239,16,bt_bing_malay,Arizona Games and Fish,1.0
240,16,bt_bing_persian,Arizona Game and Fish,1.0
241,16,bt_bing_russian,Arizona Game Fish,1.0
242,16,bt_bing_swahili,Arizona Game and Fish,1.0
243,16,bt_bing_tamil,Arizona Games and Fish,1.0
244,16,bt_nllb_malay,Arizona games and fish,1.0
245,16,bt_nllb_persian,Arizona game and fish,1.0
246,16,bt_nllb_swahili,Arizona game and fish,1.0
247,16,conceptluster.topn5.3.bm25,arizona game fish fish arizona arizona game fish department death cellulos carbon restringido video,1.0
248,16,original,arizona game and fish,1.0
249,16,rm3.topn10.10.0.5.bm25,arizona game and fish,1.0
250,16,rm3.topn10.10.0.5.qld,arizona game and fish,1.0
251,16,stem.krovetz,arizona game and fish,1.0
252,16,stem.porter,arizona game and fish,1.0
253,16,stem.porter2,arizona game and fish,1.0
254,16,stem.sstemmer,arizona game and fish,1.0
