,qid,order,query,qld.recip_rank
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,1.0
1,1015624,-1,What's the Definition of a bloody mary?,1.0
2,1017690,-1,what is the history of indian music?,1.0
3,1035857,-1,Why are liberals so quick to defend Saddam?,1.0
4,103830,-1,Why do man Arabs hate the west ?,0.3333
5,103830,tagmee.topn3,man arabs hate west Tao Human Arabs Hate speech Western world,1.0
6,103830,bt_bing_arabic,Why do Arabs hate the West,0.5
7,103830,bt_bing_chinese_simplified,Why do Arabs hate the West,0.5
8,103830,bt_bing_french,Why do Arabs hate the West,0.5
9,103830,bt_bing_german,Why do Arabs hate the West,0.5
10,103830,bt_bing_korean,Why do Arabs hate the West,0.5
11,103830,bt_bing_malay,Why do Arabs hate the west,0.5
12,103830,bt_bing_persian,Why do Arabs hate the West,0.5
13,103830,bt_bing_russian,Why do Arabs hate the West,0.5
14,103830,bt_bing_swahili,Why do Arabs hate the West,0.5
15,103830,bt_nllb_chinese_yue,Why do Arabs hate the West,0.5
16,103830,bt_nllb_french,Why do the Arabs hate the West,0.5
17,103830,bt_nllb_german,Why do the Arabs hate the West,0.5
18,103830,bt_nllb_korean,Why do Arabs hate the West,0.5
19,103830,bt_nllb_malay,Why do Arabs hate the West,0.5
20,103830,bt_nllb_persian,Why do Arabs hate the West,0.5
21,103830,bt_nllb_russian,Why do the Arabs hate the West,0.5
22,103830,bt_nllb_swahili,Why do the Arabs hate the West,0.5
23,103830,bt_nllb_tamil,Why do the Arabs hate the West,0.5
24,103830,conceptnet.topn3,man arabs hate west boy person arabophobia arab people an emotion destroy your enemy a strong emotion,0.5
25,103830,relevancefeedback.topn10.bm25,why do man arabs hate the west all you i arab east iraq,0.5
26,103830,tagmee.topn3.replace,Tao Human Arabs Hate speech Western world,0.5
27,1063812,-1,How do I grow taller?,1.0
28,1077370,-1,Why do only Humans have Finger prints?,1.0
29,1082595,-1,what is meant by mobile technology?,0.25
30,1082595,bertqe.topn10.qld,differ techlog than t mobil,1.0
31,1082595,relevancefeedback.topn10.bm25,what is meant by mobile technology develop mobil cellular can gsm cingular phone i featur,1.0
32,1082595,wordnet.topn3,meant mobile technology signify entail think Mobile River engineering science applied science,1.0
33,1082595,bt_bing_chinese_simplified,What does mobile technology mean,0.5
34,1082595,bt_bing_malay,What does mobile technology mean,0.5
35,1082595,bt_bing_persian,What does mobile technology mean,0.5
36,1082595,bt_nllb_arabic,What does mobile technology mean,0.5
37,1082595,bt_nllb_chinese_yue,What does mobile technology mean,0.5
38,1082595,bt_nllb_french,What does mobile technology mean,0.5
39,1082595,bt_nllb_german,What does mobile technology mean,0.5
40,1082595,bt_nllb_malay,What does mobile technology mean,0.5
41,1082595,bt_nllb_persian,What does mobile technology mean,0.5
42,1082595,bt_nllb_russian,What does mobile technology mean,0.5
