,qid,order,query,qld.ndcg
0,301,-1,International Organized Crime,0.064
1,301,glove.topn3,international organized crime global which organised criminal,0.0954
2,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.0859
3,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0848
4,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0727
5,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0723
6,301,bt_bing_arabic,International organized crime,0.064
7,301,bt_bing_chinese_simplified,International Organized Crime,0.064
8,301,bt_bing_french,International Organized Crime,0.064
9,301,bt_bing_german,International Organized Crime,0.064
10,301,bt_bing_korean,International Organized Crime,0.064
11,301,bt_bing_persian,International Organized Crime,0.064
12,301,bt_bing_russian,International organized crime,0.064
13,301,bt_bing_tamil,International organized crime,0.064
14,301,bt_nllb_arabic,International organized crime,0.064
15,301,bt_nllb_chinese_yue,International organized crime,0.064
16,301,bt_nllb_french,International organized crime,0.064
17,301,bt_nllb_korean,International organized crime,0.064
18,301,bt_nllb_persian,International organized crime,0.064
19,301,bt_nllb_russian,International organized crime,0.064
20,301,bt_nllb_tamil,International organized crime,0.064
21,301,docluster.topn10.3.bm25,international organized crime,0.064
22,301,docluster.topn10.3.qld,international organized crime,0.064
23,301,original,International Organized Crime,0.064
24,301,rm3.topn10.10.0.5.bm25,International Organized Crime,0.064
25,301,rm3.topn10.10.0.5.qld,International Organized Crime,0.064
26,301,stem.krovetz,international organized crime,0.064
27,301,stem.porter2,intern organ crime,0.064
28,301,stem.sstemmer,international organized crime,0.064
29,301,termluster.topn5.3.bm25,international organized crime,0.064
30,301,termluster.topn5.3.qld,international organized crime,0.064
31,301,thesaurus.topn3,international organized crime,0.064
32,301,thesaurus.topn3.replace,international organized crime,0.064
33,301,conceptnet.topn3,international organized crime re formed reorganised,0.0621
34,301,sensedisambiguation,International Organized unionize Crime,0.0505
35,301,anchor.topn3.replace,confédérat föderat kanusport organized anti corruption anti econom drug,0.0502
36,301,stem.trunc5,inter organ crime,0.0488
37,301,conceptluster.topn5.3.bm25,international organized crime international law organized crime,0.0444
38,301,conceptluster.topn5.3.qld,international organized crime international law organized crime,0.0444
39,301,tagmee.topn3,international organized crime International law Organized crime,0.0444
40,301,bt_bing_swahili,International Crime,0.0431
41,301,bt_nllb_swahili,International Crime,0.0431
42,301,bt_bing_malay,International Organised Crime,0.0429
43,301,bt_nllb_german,International organised crime,0.0429
44,301,bt_nllb_malay,Integrated Crime,0.0378
45,301,glove.topn3.replace,global which organised criminal,0.0355
46,301,wordnet.topn3,international organized crime external unionise prepare unionize criminal offense criminal offence law breaking,0.0333
47,301,relevancefeedback.topn10.qld,international organized crime protect organ it feder compens intellectu,0.0315
48,301,tagmee.topn3.replace,International law Organized crime,0.0309
49,301,word2vec.topn3.replace,national global domestic organised criminality,0.0268
50,301,sensedisambiguation.replace,international unionize crime,0.0248
51,301,stem.porter,intern organiz crime,0.0234
52,301,relevancefeedback.topn10.bm25,international organized crime state trade govern issu japan us,0.0204
53,301,stem.lovins,intern organ crim,0.0158
54,301,conceptnet.topn3.replace,international re formed reorganised crime,0.0123
55,301,bertqe.topn10.qld,intern affair materi from report,0.0075
56,301,wordnet.topn3.replace,external unionise prepare unionize criminal offense criminal offence law breaking,0.0057
57,301,bertqe.topn10.bm25,jansatta hindi cso articl chitra,0.0
58,301,stem.paicehusk,intern org crim,0.0
59,301,stem.trunc4,inte orga crim,0.0
60,302,-1,Poliomyelitis and Post-Polio,0.7466
61,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.7912
62,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.7697
63,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.7613
64,302,tagmee.topn3,poliomyelitis post polio Poliomyelitis Post polio syndrome,0.7527
65,302,anchor.topn3,poliomyelitis post polio kentuckyon rwjbarnaba lcmc,0.7466
66,302,bt_bing_chinese_simplified,Poliomyelitis and post polio,0.7466
67,302,bt_bing_german,Poliomyelitis and post polio,0.7466
68,302,bt_bing_swahili,Poliomyelitis and post polio,0.7466
69,302,conceptnet.topn3,poliomyelitis post polio,0.7466
70,302,conceptnet.topn3.replace,poliomyelitis post polio,0.7466
71,302,docluster.topn10.3.bm25,poliomyelitis and post polio,0.7466
72,302,docluster.topn10.3.qld,poliomyelitis and post polio,0.7466
73,302,original,Poliomyelitis and Post Polio,0.7466
74,302,rm3.topn10.10.0.5.bm25,Poliomyelitis and Post-Polio,0.7466
75,302,rm3.topn10.10.0.5.qld,Poliomyelitis and Post-Polio,0.7466
76,302,sensedisambiguation,Poliomyelitis and Post Polio,0.7466
77,302,sensedisambiguation.replace,poliomyelitis and Post Polio,0.7466
78,302,stem.krovetz,poliomyeliti and post polio,0.7466
79,302,stem.porter,poliomyel and post polio,0.7466
80,302,stem.porter2,poliomyel and post polio,0.7466
