qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
302	-1	Poliomyelitis and Post-Polio	0.7466
303	-1	Hubble Telescope Achievements	0.5359
304	-1	Endangered Species (Mammals)	0.1457
305	-1	Most Dangerous Vehicles	0.0469
306	-1	African Civilian Deaths	0.1628
307	-1	New Hydroelectric Projects	0.384
308	-1	Implant Dentistry	0.4859
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3448
311	-1	Industrial Espionage	0.3748
312	-1	Hydroponics	0.9559
313	-1	Magnetic Levitation-Maglev	0.8784
314	-1	Marine Vegetation	0.0426
315	-1	Unexplained Highway Accidents	0.0432
316	-1	Polygamy Polyandry Polygyny	0.7342
317	-1	Unsolicited Faxes	0.7038
318	-1	Best Retirement Country	0.053
319	-1	New Fuel Sources	0.1826
320	-1	Undersea Fiber Optic Cable	0.2511
321	-1	Women in Parliaments	0.3181
322	-1	International Art Crime	0.0
323	-1	Literary/Journalistic Plagiarism	0.4955
324	-1	Argentine/British Relations	0.4472
325	-1	Cult Lifestyles	0.2154
326	-1	Ferry Sinkings	0.7825
327	-1	Modern Slavery	0.3102
328	-1	Pope Beatifications	0.8198
329	-1	Mexican Air Pollution	0.2997
330	-1	Iran-Iraq Cooperation	0.2185
331	-1	World Bank Criticism	0.3003
332	-1	Income Tax Evasion	0.053
333	-1	Antibiotics Bacteria Disease	0.4773
334	-1	Export Controls Cryptography	0.1483
335	-1	Adoptive Biological Parents	0.5241
336	-1	Black Bear Attacks	0.2346
337	-1	Viral Hepatitis	0.3929
338	-1	Risk of Aspirin	0.5856
339	-1	Alzheimer's Drug Treatment	0.4531
340	-1	Land Mine Ban	0.2317
341	-1	Airport Security	0.3983
342	-1	Diplomatic Expulsion	0.3784
343	-1	Police Deaths	0.0419
344	-1	Abuses of E-Mail	0.5641
345	-1	Overseas Tobacco Sales	0.2289
346	-1	Educational Standards	0.1543
347	-1	Wildlife Extinction	0.1509
348	-1	Agoraphobia	0.9068
349	-1	Metabolism	0.3615
350	-1	Health and Computer Terminals	0.1798
351	-1	Falkland petroleum exploration	0.5655
352	-1	British Chunnel impact	0.1413
353	-1	Antarctica exploration	0.3853
354	-1	journalist risks	0.081
355	-1	ocean remote sensing	0.3309
356	-1	postmenopausal estrogen Britain	0.0658
357	-1	territorial waters dispute	0.2088
358	-1	blood-alcohol fatalities	0.3482
359	-1	mutual fund predictors	0.065
360	-1	drug legalization benefits	0.2986
361	-1	clothing sweatshops	0.5986
362	-1	human smuggling	0.248
363	-1	transportation tunnel disasters	0.2198
364	-1	rabies	0.8224
365	-1	El Nino	0.8125
366	-1	commercial cyanide uses	0.557
367	-1	piracy	0.09
368	-1	in vitro fertilization	0.5793
369	-1	anorexia nervosa bulimia	0.5622
370	-1	food/drug laws	0.0232
371	-1	health insurance holistic	0.0
372	-1	Native American casino	0.2721
373	-1	encryption equipment export	0.2701
374	-1	Nobel prize winners	0.231
375	-1	hydrogen energy	0.4654
376	-1	World Court	0.0364
377	-1	cigar smoking	0.5429
378	-1	euro opposition	0.0294
379	-1	mainstreaming	0.0973
380	-1	obesity medical treatment	0.4354
381	-1	alternative medicine	0.1881
382	-1	hydrogen fuel automobiles	0.7762
383	-1	mental illness drugs	0.0908
384	-1	space station moon	0.3605
385	-1	hybrid fuel cars	0.4804
386	-1	teaching disabled children	0.1411
387	-1	radioactive waste	0.2354
388	-1	organic soil enhancement	0.1152
389	-1	illegal technology transfer	0.0337
390	-1	orphan drugs	0.1935
391	-1	R&D drug prices	0.2532
392	-1	robotics	0.5231
393	-1	mercy killing	0.2084
394	-1	home schooling	0.0474
395	-1	tourism	0.1485
396	-1	sick building syndrome	0.3205
397	-1	automobile recalls	0.0873
398	-1	dismantling Europe's arsenal	0.0879
399	-1	oceanographic vessels	0.3174
400	-1	Amazon rain forest	0.4755
401	-1	foreign minorities, Germany	0.0836
402	-1	behavioral genetics	0.2668
403	-1	osteoporosis	0.7096
