qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	szechwan dish food cuisine	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	pred.refiner.1	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.10	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.2	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.3	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.4	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.5	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.6	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.7	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.8	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.refiner.9	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009062	-1	social network group selection	0.1
INEX_LD-2009063	-1	d-day normandy invasion	1.0
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2
INEX_LD-2009074	pred.refiner.1	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.10	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.2	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.3	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.4	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.5	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.6	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.7	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.8	web ranking algorithm	1.0
INEX_LD-2009074	pred.refiner.9	web ranking algorithm	1.0
INEX_LD-2009096	-1	eiffel	1.0
INEX_LD-2009111	-1	europe solar power facility	0.5
INEX_LD-2009111	pred.refiner.1	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.10	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.2	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.3	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.4	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.5	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.6	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.7	european union solar world power facility	1.0
INEX_LD-2009111	pred.refiner.8	european union solar world power facility	1.0
