qid	order	query	bm25.ndcg
701	-1	U.S. oil industry history	0.0338
701	bt_nllb_german	The history of the US oil industry	0.1973
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	0.1557
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.1247
701	docluster.topn10.3.qld	u s oil industry history industri counti	0.1239
701	bt_bing_arabic	History of the American oil industry	0.1071
701	bt_nllb_arabic	The history of the American oil industry	0.1071
701	bt_nllb_french	The history of the American oil industry	0.1071
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	0.0527
701	tagmee.topn3	u s oil industry history Petroleum	0.0527
701	wordnet.topn3	u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle	0.0466
701	bt_bing_chinese_simplified	History of the U S oil industry	0.0338
701	bt_bing_french	History of the U S Oil Industry	0.0338
701	bt_bing_german	History of the U S Oil Industry	0.0338
701	bt_bing_korean	History of the U S Oil Industry	0.0338
701	bt_bing_malay	History of the U S oil industry	0.0338
701	bt_bing_persian	History of the U S Oil Industry	0.0338
701	bt_bing_russian	History of the U S Oil Industry	0.0338
701	bt_bing_swahili	History of the U S oil industry	0.0338
701	bt_bing_tamil	History of the U S oil industry	0.0338
701	bt_nllb_chinese_yue	The history of the U S oil industry	0.0338
701	bt_nllb_korean	The history of the U S oil industry	0.0338
701	bt_nllb_malay	History of the U S oil industry	0.0338
701	bt_nllb_persian	The history of the U S oil industry	0.0338
701	bt_nllb_russian	The history of the U S oil industry	0.0338
701	bt_nllb_swahili	The history of the U S oil industry	0.0338
701	bt_nllb_tamil	The history of the U S oil industry	0.0338
701	stem.krovetz	u s oil industry history	0.0338
701	stem.porter	u s oil industri histori	0.0338
701	stem.porter2	u s oil industri histori	0.0338
701	stem.sstemmer	u s oil industry history	0.0338
701	thesaurus.topn3	u s oil industry history	0.0338
701	thesaurus.topn3.replace	u s oil industry history	0.0338
702	-1	Pearl farming	0.1361
702	bt_bing_tamil	Pearl culture	0.385
702	termluster.topn5.3.qld	pearl farming product fish	0.2593
702	wiki.topn3	pearl farming pearls jewellery components gemstone pearl	0.1863
702	tagmee.topn3	pearl farming Pearl	0.1564
702	rm3.topn10.10.0.5.qld	pearl farming farm japan jerri product	0.153
702	rm3.topn10.10.0.5.bm25	pearl farming coliform cumberland option japan our jerri ocean	0.141
702	wiki.topn3.replace	pearls jewellery components gemstone pearl	0.1383
702	bt_bing_chinese_simplified	Pearl farming	0.1361
702	bt_bing_french	Pearl farming	0.1361
702	bt_bing_german	Pearl farming	0.1361
702	bt_bing_korean	Pearl Farming	0.1361
