qid	order	query	bm25.ndcg
301	-1	international organized crime	0.0586
301	pred.base.6	<extra_id_0> organized crime <extra_id_1> organized crime. International organized crime at this stage is international organized crime, which is rapidly becoming an international organized crime. Additionally there is a growing need for healthy drug and organized crime methods i/o through the changing definitions of organized crime, they are also now well documented worldwide in the in	0.1196
301	pred.base.4	<extra_id_0> organized crime(IGOC) in search of international organized crime charged international organized crime (unorganized crime) organized crime scourge internationally organized crime (ictc) organized crime (icm) organisée crime (ou international crime organized crime) organisée organised crime (cime) international organized crime	0.0844
301	pred.base.9	<extra_id_0>-9-5 international organized crime community and <extra_id_1> organized crime is a global practice, banned or being carried out in international editions, organized crime claims and weather conditions have grown unnecessarily on the surface in the last few years. This is an emerging reality in terms of organized crime growing	0.0836
301	pred.base.5	<extra_id_0> organized crime <extra_id_1> organized crime international organized crime international financial community organizations crime intensify than ever before and use of international organized crime organized crime crimes against humanity (ICCT) as part of racketeering organized crime engines.	0.0795
301	pred.base.8	<extra_id_0> crime <extra_id_1> organized crime, organised crime and organized crime agencies <extra_id_2> organized crime in <extra_id_3> business community and <extra_id_4> organized crime <extra_id_5> organized crime, <extra_id_6> organised crime community and <extra_id_7> organized crime <extra_id_8> organized crime <extra_id_9>/crime convention program of <extra_id_10> organized crime international organized crime organized crime international organized crime organized crime <extra_id_11> organized crime international classified crime	0.0748
301	pred.base.1	<extra_id_0> crime complex international organized crime (INTC) organized crime often compared to other organised crime sub-disciplines or subconfessions.	0.0719
301	pred.base.2	<extra_id_0> organized crime international organized crime international organized crime international organized crime organised crime international organized crime international organized crime international organized crime international organized crime international international organized crime organization <extra_id_1>f <extra_id_20> crime <extra_id_21> organized crime <extra_id_22> organized crime international organized crime organized crime international organized crime criminal international <extra_id_23> organized crime international organized crime international organized crime organized crime international organized	0.0697
301	pred.base.7	<extra_id_0>, the international organized crime organization. International organized crime is an organized crime organisation of players and organized crime terrorist groups.	0.0681
301	pred.base.10	<extra_id_0> organized crime <extra_id_1> organized crime - international organized crime. International organized crime.	0.0638
301	pred.base.3	<extra_id_0> organized crime international organized crime <extra_id_1> organized crime international really organized crime crimes international organized crime organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime organisé crime international organized crime international organized crime espion	0.0626
302	-1	poliomyelitis and post-polio	0.7405
302	pred.base.7	<extra_id_0>, poliomyelitis eczema, polio-myelitis, Polio polio, post-poliomyelitis, post-poliomyelitis amyelitis, poliomyelitis, poliopoliomyelitis	0.7486
302	pred.base.4	<extra_id_0> and post-poliomyelitis. Post-polio and post-polio myelitis poliomyelitis.	0.7417
303	-1	hubble telescope achievements	0.5126
