qid	order	query	bm25.map
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.118
INEX_LD-2009022	wordnet.topn3.replace	Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art	0.2855
INEX_LD-2009022	wordnet.topn3	szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art	0.243
INEX_LD-2009022	conceptluster.topn5.3.bm25	szechwan dish food cuisine food cuisine sichuan dish food	0.2286
INEX_LD-2009022	conceptluster.topn5.3.qld	szechwan dish food cuisine sichuan cuisine food dish food	0.2286
INEX_LD-2009022	tagmee.topn3	szechwan dish food cuisine Sichuan Dish food Food Cuisine	0.2286
INEX_LD-2009022	anchor.topn3	szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar	0.166
INEX_LD-2009022	tagmee.topn3.replace	Sichuan Dish food Food Cuisine	0.1611
INEX_LD-2009022	conceptnet.topn3	szechwan dish food cuisine Szechuan China plate cake rice rechauffe	0.1544
INEX_LD-2009022	anchor.topn3.replace	setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine	0.1383
INEX_LD-2009039	-1	roman architecture	0.0851
INEX_LD-2009039	conceptluster.topn5.3.bm25	roman architecture ancient roman architecture	0.1929
INEX_LD-2009039	conceptluster.topn5.3.qld	roman architecture ancient roman architecture	0.1929
INEX_LD-2009039	tagmee.topn3	roman architecture Ancient Roman architecture	0.1929
INEX_LD-2009039	tagmee.topn3.replace	Ancient Roman architecture	0.1716
INEX_LD-2009039	wiki.topn3	roman architecture outlinof classical architecture frigidarium peristyle ancient roman architecture	0.0953
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3173
INEX_LD-2009053	stem.lovins	finland car industr manufacturer saab sisu	0.3898
INEX_LD-2009061	-1	france second world war normandy	0.204
INEX_LD-2009061	wiki.topn3	france second world war normandy france southern europe italy france wars involving luxembourg wars involving poland wars involving netherlands world war ii wars involving luxembourg wars involving poland wars involving netherlands world war ii operation neptune normandy landings invasion normandy operation overlord	0.2466
INEX_LD-2009061	relevancefeedback.topn10.qld	france second world war normandy commando beach bridg cemeteri divis caen battl	0.2044
INEX_LD-2009062	-1	social network group selection	0.0053
INEX_LD-2009063	-1	D-Day normandy invasion	0.1125
INEX_LD-2009063	relevancefeedback.topn10.bm25	d day normandy invasion airborn oper normandi utah bridg book ddai gold	0.1345
INEX_LD-2009063	wiki.topn3	d day normandy invasion invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy	0.132
INEX_LD-2009063	relevancefeedback.topn10.qld	d day normandy invasion normandi invas book ddai oper airborn bridg utah	0.1292
INEX_LD-2009063	sensedisambiguation	D Day normandy normandie invasion	0.1241
