,qid,order,query,qld.ndcg
0,301,-1,International Organized Crime,0.064
1,301,glove.topn3,international organized crime global which organised criminal,0.0954
2,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.0859
3,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0848
4,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0727
5,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0723
6,301,bt_bing_arabic,International organized crime,0.064
7,301,bt_bing_chinese_simplified,International Organized Crime,0.064
8,301,bt_bing_french,International Organized Crime,0.064
9,301,bt_bing_german,International Organized Crime,0.064
10,301,bt_bing_korean,International Organized Crime,0.064
11,301,bt_bing_persian,International Organized Crime,0.064
12,301,bt_bing_russian,International organized crime,0.064
13,301,bt_bing_tamil,International organized crime,0.064
14,301,bt_nllb_arabic,International organized crime,0.064
15,301,bt_nllb_chinese_yue,International organized crime,0.064
16,301,bt_nllb_french,International organized crime,0.064
17,301,bt_nllb_korean,International organized crime,0.064
18,301,bt_nllb_persian,International organized crime,0.064
19,301,bt_nllb_russian,International organized crime,0.064
20,301,bt_nllb_tamil,International organized crime,0.064
21,301,docluster.topn10.3.bm25,international organized crime,0.064
22,301,docluster.topn10.3.qld,international organized crime,0.064
23,301,original,International Organized Crime,0.064
24,301,rm3.topn10.10.0.5.bm25,International Organized Crime,0.064
25,301,rm3.topn10.10.0.5.qld,International Organized Crime,0.064
26,301,stem.krovetz,international organized crime,0.064
27,301,stem.porter2,intern organ crime,0.064
28,301,stem.sstemmer,international organized crime,0.064
29,301,termluster.topn5.3.bm25,international organized crime,0.064
30,301,termluster.topn5.3.qld,international organized crime,0.064
31,301,thesaurus.topn3,international organized crime,0.064
32,301,thesaurus.topn3.replace,international organized crime,0.064
33,302,-1,Poliomyelitis and Post-Polio,0.7466
34,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.7912
35,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.7697
36,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.7613
37,302,tagmee.topn3,poliomyelitis post polio Poliomyelitis Post polio syndrome,0.7527
38,302,anchor.topn3,poliomyelitis post polio kentuckyon rwjbarnaba lcmc,0.7466
39,302,bt_bing_chinese_simplified,Poliomyelitis and post polio,0.7466
40,302,bt_bing_german,Poliomyelitis and post polio,0.7466
41,302,bt_bing_swahili,Poliomyelitis and post polio,0.7466
42,302,conceptnet.topn3,poliomyelitis post polio,0.7466
43,302,conceptnet.topn3.replace,poliomyelitis post polio,0.7466
44,302,docluster.topn10.3.bm25,poliomyelitis and post polio,0.7466
45,302,docluster.topn10.3.qld,poliomyelitis and post polio,0.7466
46,302,original,Poliomyelitis and Post Polio,0.7466
47,302,rm3.topn10.10.0.5.bm25,Poliomyelitis and Post-Polio,0.7466
48,302,rm3.topn10.10.0.5.qld,Poliomyelitis and Post-Polio,0.7466
49,302,sensedisambiguation,Poliomyelitis and Post Polio,0.7466
50,302,sensedisambiguation.replace,poliomyelitis and Post Polio,0.7466
51,302,stem.krovetz,poliomyeliti and post polio,0.7466
52,302,stem.porter,poliomyel and post polio,0.7466
53,302,stem.porter2,poliomyel and post polio,0.7466
54,302,stem.sstemmer,poliomyeliti and post polio,0.7466
55,302,termluster.topn5.3.bm25,poliomyelitis post polio,0.7466
56,302,termluster.topn5.3.qld,poliomyelitis post polio,0.7466
57,302,thesaurus.topn3,poliomyelitis post polio,0.7466
58,302,thesaurus.topn3.replace,poliomyelitis post polio,0.7466
59,303,-1,Hubble Telescope Achievements,0.5359
60,303,wiki.topn3,hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope,0.6687
61,303,wiki.topn3.replace,great observatories program hubble space telescope standard candles hubble space telescope,0.6625
62,303,bt_nllb_swahili,The results of the Hubble Telescope,0.6248
63,303,anchor.topn3,hubble telescope achievements,0.5359
64,303,anchor.topn3.replace,hubble telescope achievements,0.5359
65,303,bt_bing_arabic,Achievements of the Hubble Telescope,0.5359
66,303,bt_bing_chinese_simplified,Hubble Telescope Achievement,0.5359
67,303,bt_bing_french,Achievements of the Hubble Telescope,0.5359
68,303,bt_bing_german,Achievements of the Hubble Telescope,0.5359
69,303,bt_bing_korean,Hubble Telescope Achievements,0.5359
70,303,bt_bing_malay,Hubble Telescope Achievements,0.5359
71,303,bt_bing_russian,Achievements of the Hubble Telescope,0.5359
72,303,bt_bing_tamil,Achievements of the Hubble telescope,0.5359
73,303,bt_nllb_arabic,The achievements of the Hubble Telescope,0.5359
74,303,bt_nllb_french,The achievements of the Hubble Telescope,0.5359
75,303,bt_nllb_german,Achievements of the Hubble Telescope,0.5359
76,303,bt_nllb_malay,The achievements of the Hubble Telescope,0.5359
77,303,bt_nllb_persian,The achievements of the Hubble Telescope,0.5359
78,303,bt_nllb_russian,The achievements of the Hubble Telescope,0.5359
