qid	order	query	qld.ndcg
1	-1	obama family tree	0.0
10	-1	cheap internet	0.0925
10	bt_nllb_arabic	The internet is cheap	0.0925
10	bt_nllb_chinese_yue	Cheap Internet	0.0925
10	bt_nllb_french	The Internet is Cheap	0.0925
10	bt_nllb_german	cheap internet	0.0925
10	bt_nllb_korean	Cheap Internet	0.0925
10	bt_nllb_malay	cheap internet	0.0925
10	bt_nllb_persian	The Internet is cheap	0.0925
10	bt_nllb_russian	cheap internet	0.0925
10	bt_nllb_swahili	cheap internet	0.0925
10	bt_nllb_tamil	Cheap Internet	0.0925
11	-1	gmat prep classes	0.4591
11	bt_nllb_korean	Gmat prep class	0.4591
12	-1	djs	0.1453
12	bt_nllb_french	DJs	0.1453
12	bt_nllb_german	DJs	0.1453
13	-1	map	0.1872
13	bt_nllb_arabic	A map	0.1872
13	bt_nllb_chinese_yue	Map	0.1872
13	bt_nllb_french	map	0.1872
13	bt_nllb_german	Map	0.1872
13	bt_nllb_malay	map	0.1872
13	bt_nllb_swahili	map	0.1872
13	bt_nllb_tamil	map	0.1872
14	-1	dinosaurs	0.1014
14	bt_nllb_arabic	The dinosaurs	0.1014
14	bt_nllb_chinese_yue	The dinosaurs	0.1014
14	bt_nllb_french	the dinosaurs	0.1014
14	bt_nllb_korean	The dinosaurs	0.1014
14	bt_nllb_malay	The dinosaurs	0.1014
14	bt_nllb_persian	The dinosaurs	0.1014
14	bt_nllb_russian	The dinosaurs	0.1014
14	bt_nllb_swahili	dinosaurs	0.1014
14	bt_nllb_tamil	The Dinosaurs	0.1014
15	-1	espn sports	0.2573
16	-1	arizona game and fish	0.2218
16	bt_nllb_malay	Arizona games and fish	0.2218
16	bt_nllb_persian	Arizona game and fish	0.2218
16	bt_nllb_swahili	Arizona game and fish	0.2218
17	-1	poker tournaments	0.1685
17	bt_nllb_arabic	The poker tournaments	0.1685
17	bt_nllb_french	poker tournaments	0.1685
17	bt_nllb_german	Poker tournaments	0.1685
17	bt_nllb_korean	The poker tournament	0.1685
17	bt_nllb_malay	poker tournaments	0.1685
17	bt_nllb_persian	Poker tournaments	0.1685
17	bt_nllb_russian	poker tournaments	0.1685
17	bt_nllb_swahili	poker tournaments	0.1685
17	bt_nllb_tamil	Poker tournaments	0.1685
18	-1	wedding budget calculator	0.2013
18	bt_nllb_chinese_yue	A wedding budget is a calculator	0.2013
18	bt_nllb_german	Wedding budget calculator	0.2013
18	bt_nllb_persian	The wedding budget calculator	0.2013
18	bt_nllb_russian	The wedding budget calculator	0.2013
19	-1	the current	0.0
2	-1	french lick resort and casino	0.3379
2	bt_nllb_french	French Lick Resort and Casino	0.3379
2	bt_nllb_german	French Lick Resort and Casino	0.3379
2	bt_nllb_malay	French Lick Resort and Casino	0.3379
2	bt_nllb_swahili	French lick resort and casino	0.3379
20	-1	defender	0.0
21	-1	volvo	0.3279
21	bt_nllb_malay	volvo	0.3279
21	bt_nllb_persian	The Volvo	0.3279
21	bt_nllb_russian	Volvo is	0.3279
21	bt_nllb_swahili	volvo	0.3279
21	bt_nllb_tamil	The Volvo	0.3279
22	-1	rick warren	0.4528
22	bt_nllb_arabic	Rick Warren	0.4528
22	bt_nllb_french	Rick Warren	0.4528
22	bt_nllb_german	Rick Warren	0.4528
22	bt_nllb_persian	Rick Warren	0.4528
22	bt_nllb_russian	Rick Warren	0.4528
22	bt_nllb_swahili	Rick Warren	0.4528
22	bt_nllb_tamil	Rick Warren	0.4528
23	-1	yahoo	0.0
23	bt_nllb_chinese_yue	Yahoo is a website	0.0363
24	-1	diversity	0.1965
24	bt_nllb_arabic	The diversity	0.1965
24	bt_nllb_french	diversity	0.1965
24	bt_nllb_german	The diversity	0.1965
24	bt_nllb_korean	Diversity	0.1965
24	bt_nllb_malay	The diversity	0.1965
24	bt_nllb_persian	Diversity	0.1965
24	bt_nllb_russian	The diversity	0.1965
24	bt_nllb_tamil	diversity	0.1965
25	-1	euclid	0.1898
25	bt_nllb_korean	Euclid	0.1898
25	bt_nllb_malay	Euclid	0.1898
25	bt_nllb_russian	Euclid	0.1898
25	bt_nllb_swahili	Euclid	0.1898
26	-1	lower heart rate	0.2568
26	bt_nllb_arabic	Lower heart rate	0.2568
26	bt_nllb_french	lower heart rate	0.2568
26	bt_nllb_german	lower heart rate	0.2568
26	bt_nllb_korean	And the heart rate is lower	0.2568
26	bt_nllb_malay	lower heart rate	0.2568
26	bt_nllb_persian	Lower heart rate	0.2568
27	-1	starbucks	0.1816
27	bt_nllb_chinese_yue	This is Starbucks	0.1816
27	bt_nllb_russian	The Starbucks	0.1816
27	bt_nllb_swahili	Starbucks	0.1816
27	bt_nllb_tamil	The Starbucks	0.1816
28	-1	inuyasha	0.1451
28	bt_nllb_arabic	Inuyasha	0.1451
28	bt_nllb_german	inuyasha	0.1451
28	bt_nllb_malay	Inuyasha	0.1451
28	bt_nllb_persian	Inuyasha	0.1451
28	bt_nllb_tamil	Inuyasha	0.1451
29	-1	ps 2 games	0.1463
29	bt_nllb_arabic	PS games	0.1463
29	bt_nllb_chinese_yue	PS game	0.1463
29	bt_nllb_french	PS games	0.1463
29	bt_nllb_german	PS Games	0.1463
29	bt_nllb_korean	PS game	0.1463
29	bt_nllb_malay	PS game	0.1463
29	bt_nllb_persian	PS game	0.1463
29	bt_nllb_russian	PS game	0.1463
29	bt_nllb_swahili	PS games	0.1463
29	bt_nllb_tamil	ps games	0.1463
3	-1	getting organized	0.3127
3	bt_nllb_korean	Get organized	0.3127
30	-1	diabetes education	0.21
30	bt_nllb_arabic	The education of diabetes	0.21
30	bt_nllb_chinese_yue	Diabetes education	0.21
30	bt_nllb_french	education in diabetes	0.21
30	bt_nllb_korean	Education for Diabetes	0.21
30	bt_nllb_malay	education in diabetes	0.21
30	bt_nllb_persian	Diabetes education	0.21
30	bt_nllb_swahili	education in diabetes	0.21
30	bt_nllb_tamil	Diabetes education	0.21
31	-1	atari	0.375
31	bt_nllb_malay	Atari	0.375
32	-1	website design hosting	0.1555
32	bt_nllb_malay	hosting website design	0.1555
33	-1	elliptical trainer	0.3532
33	bt_nllb_french	elliptical trainer	0.3532
33	bt_nllb_german	Elliptical trainer	0.3532
33	bt_nllb_malay	Elliptical trainer	0.3532
33	bt_nllb_persian	The trainer is elliptical	0.3532
33	bt_nllb_swahili	elliptical trainer	0.3532
34	-1	cell phones	0.0833
34	bt_nllb_arabic	Cell phones	0.0833
34	bt_nllb_malay	cell phone	0.0833
34	bt_nllb_persian	The cell phone	0.0833
34	bt_nllb_tamil	cell phone	0.0833
35	-1	hoboken	0.4495
35	bt_nllb_korean	This is Hoboken	0.4495
35	bt_nllb_persian	The Hoboken	0.4495
35	bt_nllb_swahili	The hoboken	0.4495
36	-1	gps	0.1411
36	bt_nllb_french	GPS	0.1411
36	bt_nllb_german	GPS	0.1411
36	bt_nllb_malay	GPS is	0.1411
36	bt_nllb_persian	GPS is on	0.1411
36	bt_nllb_russian	GPS is	0.1411
36	bt_nllb_swahili	GPS	0.1411
36	bt_nllb_tamil	GPS	0.1411
37	-1	pampered chef	0.2212
38	-1	dogs for adoption	0.1384
38	bt_nllb_arabic	Dogs that will be adopted	0.1384
38	bt_nllb_french	dogs to adopt	0.1384
38	bt_nllb_german	Dogs for adoption	0.1384
38	bt_nllb_korean	Adopted dog	0.1384
38	bt_nllb_malay	Dogs to adopt	0.1384
38	bt_nllb_russian	Dogs for adoption	0.1384
39	-1	disneyland hotel	0.1621
39	bt_nllb_arabic	The Disneyland Hotel	0.1621
39	bt_nllb_chinese_yue	The Disneyland Hotel	0.1621
