qid	order	query	qld.recip_rank
701	-1	U.S. oil industry history	0.2
701	bt_bing_arabic	History of the American oil industry	1.0
701	bt_nllb_arabic	The history of the American oil industry	1.0
701	bt_nllb_french	The history of the American oil industry	1.0
701	conceptluster.topn5.3.qld	u s oil industry history petroleum	1.0
701	docluster.topn10.3.qld	u s oil industry history industri counti	1.0
701	tagmee.topn3	u s oil industry history Petroleum	1.0
701	termluster.topn5.3.qld	u s oil industry history industri field oil field state social region	1.0
701	relevancefeedback.topn10.qld	u s oil industry history industri counti ga	0.5
701	bt_nllb_german	The history of the US oil industry	0.3333
701	bertqe.topn10.bm25	f ossil nergi e nvir	0.25
702	-1	Pearl farming	1.0
704	-1	Green party political views	0.5
705	-1	Iraq foreign debt reduction	1.0
706	-1	Controlling type II diabetes	0.2
706	sensedisambiguation	Controlling see type II two diabetes	1.0
706	sensedisambiguation.replace	see type two diabetes	1.0
706	bt_nllb_malay	Managing type diabetes	0.3333
707	-1	Aspirin cancer prevention	1.0
708	-1	Decorative slate sources	1.0
709	-1	Horse racing jockey weight	1.0
710	-1	Prostate cancer treatments	1.0
711	-1	Train station security measures	0.5
711	bt_bing_french	Security measures at stations	1.0
711	bt_bing_german	Security measures at the station	1.0
711	glove.topn3	train station security measures bus operated adding ensure steps	1.0
711	relevancefeedback.topn10.qld	train station security measures measur naval amtrak secur transport	1.0
712	-1	Pyramid scheme	1.0
713	-1	Chesapeake Bay Maryland clean	0.3333
713	relevancefeedback.topn10.qld	chesapeake bay maryland clean http marina bai	1.0
713	rm3.topn10.10.0.5.bm25	chesapeake bay maryland clean program bai plan water	1.0
713	stem.trunc5	chesa bay maryl clean	1.0
713	bt_bing_korean	Chesapeake Bay MD Clean	0.5
713	rm3.topn10.10.0.5.qld	chesapeake bay maryland clean marina bai island	0.5
713	sensedisambiguation.replace	Chesapeake true laurel maryland clean and jerk	0.5
714	-1	License restrictions older drivers	1.0
715	-1	Schizophrenia drugs	1.0
716	-1	Spammer arrest sue	0.125
716	bt_bing_arabic	Lawsuit against the arrest of spammers	1.0
716	bt_bing_chinese_simplified	Spammers are arrested and prosecuted	1.0
716	bt_bing_german	Spammer Arrest Lawsuit	1.0
716	bt_bing_russian	Spammer Arrest Lawsuit	1.0
716	bt_bing_tamil	Spammer Arrest Case	1.0
716	bt_nllb_chinese_yue	Arrest and prosecution of spam	1.0
716	bt_nllb_german	Spammer arrest lawsuit	1.0
716	bt_nllb_korean	Spammers arresting lawsuit	1.0
716	bt_nllb_swahili	Spammer arrested trial	1.0
716	bt_nllb_tamil	The case of the arrest of the spammers	1.0
716	conceptluster.topn5.3.qld	spammer arrest sue arrest lawsuit spamming	1.0
716	relevancefeedback.topn10.qld	spammer arrest sue spam mail hr consum re email	1.0
716	stem.lovins	spammer arrest su	1.0
716	tagmee.topn3	spammer arrest sue Spamming Arrest Lawsuit	1.0
