qid	order	query	bm25.ndcg
701	-1	U.S. oil industry history	0.0338
701	bt_nllb_german	The history of the US oil industry	0.1973
701	bt_nllb_arabic	The history of the American oil industry	0.1071
701	bt_nllb_french	The history of the American oil industry	0.1071
702	-1	Pearl farming	0.1361
704	-1	Green party political views	0.1912
705	-1	Iraq foreign debt reduction	0.2949
705	bt_nllb_malay	Reduction of external debt to Iraq	0.4394
705	bt_nllb_french	Reduction of Iraq s external debt	0.3772
705	bt_nllb_russian	Reducing Iraq s external debt	0.3242
705	bt_nllb_chinese_yue	Iraq s foreign debt is falling	0.2959
706	-1	Controlling type II diabetes	0.1037
706	bt_nllb_arabic	Control of type diabetes	0.1387
706	bt_nllb_chinese_yue	Control of type diabetes	0.1387
706	bt_nllb_korean	Control of type diabetes	0.1387
706	bt_nllb_persian	Control of type diabetes	0.1387
707	-1	Aspirin cancer prevention	0.4535
708	-1	Decorative slate sources	0.3088
709	-1	Horse racing jockey weight	0.722
710	-1	Prostate cancer treatments	0.3634
711	-1	Train station security measures	0.2482
712	-1	Pyramid scheme	0.3626
713	-1	Chesapeake Bay Maryland clean	0.2573
714	-1	License restrictions older drivers	0.3352
715	-1	Schizophrenia drugs	0.1867
716	-1	Spammer arrest sue	0.2416
716	bt_nllb_german	Spammer arrest lawsuit	0.3554
716	bt_nllb_korean	Spammers arresting lawsuit	0.3554
716	bt_nllb_tamil	The case of the arrest of the spammers	0.3249
716	bt_nllb_chinese_yue	Arrest and prosecution of spam	0.2559
716	bt_nllb_swahili	Spammer arrested trial	0.2476
717	-1	Gifted talented student programs	0.2203
718	-1	Controlling acid rain	0.1929
719	-1	Cruise ship damage sea life	0.0921
719	bt_nllb_chinese_yue	Cruising ships are damaging marine life	0.1546
719	bt_nllb_french	Cruise ships are damaging marine life	0.1546
719	bt_nllb_korean	The damage to marine life on cruise ships	0.1546
719	bt_nllb_malay	Damage to the marine life cruise ship	0.1546
719	bt_nllb_persian	Cruise ships are damaging marine life	0.1546
719	bt_nllb_russian	Damage to marine life on cruise ships	0.1546
719	bt_nllb_german	Damage to marine structures of cruise ships	0.1382
720	-1	Federal welfare reform	0.137
721	-1	Census data applications	0.0453
721	bt_nllb_russian	Applications for the population census data	0.073
722	-1	Iran terrorism	0.3995
723	-1	Executive privilege	0.3498
724	-1	Iran Contra	0.344
725	-1	Low white blood cell count	0.282
725	bt_nllb_chinese_yue	Low blood cell count	0.2911
726	-1	Hubble telescope repairs	0.2842
727	-1	Church arson	0.4789
728	-1	whales save endangered	0.2008
728	bt_nllb_arabic	The whales protect the endangered	0.2064
