qid	order	query	bm25.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
1015624	-1	What's the Definition of a bloody mary?	0.735
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	0.7408
1015624	bt_nllb_korean	What is the definition of a bloody Mary	0.7408
1015624	bt_nllb_persian	What is the definition of bloody Mary	0.7408
1015624	bt_nllb_swahili	What is the definition of bloody Mary	0.7408
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	0.7408
1017690	-1	what is the history of indian music?	0.6874
1035857	-1	Why are liberals so quick to defend Saddam?	0.544
103830	-1	Why do man Arabs hate the west ?	0.6497
103830	bt_nllb_chinese_yue	Why do Arabs hate the West	0.6519
103830	bt_nllb_french	Why do the Arabs hate the West	0.6519
103830	bt_nllb_german	Why do the Arabs hate the West	0.6519
103830	bt_nllb_korean	Why do Arabs hate the West	0.6519
103830	bt_nllb_malay	Why do Arabs hate the West	0.6519
103830	bt_nllb_persian	Why do Arabs hate the West	0.6519
103830	bt_nllb_russian	Why do the Arabs hate the West	0.6519
103830	bt_nllb_swahili	Why do the Arabs hate the West	0.6519
103830	bt_nllb_tamil	Why do the Arabs hate the West	0.6519
1063812	-1	How do I grow taller?	0.5694
1063812	bt_nllb_korean	How can you grow taller	0.6378
1077370	-1	Why do only Humans have Finger prints?	0.6868
1082595	-1	what is meant by mobile technology?	0.5763
1082595	bt_nllb_korean	What is mobile technology	0.6975
1082595	bt_nllb_swahili	what is mobile technology	0.6975
1082595	bt_nllb_tamil	What is mobile technology	0.6975
1082595	bt_nllb_arabic	What does mobile technology mean	0.647
1082595	bt_nllb_chinese_yue	What does mobile technology mean	0.647
1082595	bt_nllb_french	What does mobile technology mean	0.647
1082595	bt_nllb_german	What does mobile technology mean	0.647
1082595	bt_nllb_malay	What does mobile technology mean	0.647
1082595	bt_nllb_persian	What does mobile technology mean	0.647
1082595	bt_nllb_russian	What does mobile technology mean	0.647
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.7277
1152934	-1	Why don't fat people have to pay more for air travel?	0.479
1152934	bt_nllb_malay	Why don t fat people pay more for air travel	0.5172
1152934	bt_nllb_russian	Why don t fat people pay more for air travel	0.5172
1152934	bt_nllb_german	Why don t fat people pay for air travel anymore	0.5119
1167882	-1	What are the different types of sins and how are they caused?	0.3019
1199639	-1	How to "LOSE"all body fat ?	0.6702
1199639	bt_nllb_chinese_yue	How do you lose body fat	0.6743
1199639	bt_nllb_french	How do you lose all the body fat	0.6711
1199639	bt_nllb_russian	How do you lose all the body fat	0.6711
1254390	-1	how do i deap fry chicken?	0.4707
1254390	bt_nllb_malay	How can I fry chicken	0.5085
