,qid,order,query,qld.map
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.2383
1,100653,bt_nllb_korean,How do we get compliments from the city of San Diego,0.3023
2,100653,anchor.topn3,go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua,0.2902
3,100653,bt_bing_russian,How do I get copies of thank you letters from the City of San Diego,0.2835
4,100653,termluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego,0.2828
5,100653,termluster.topn5.3.qld,go getting copies letters commendation prsented city san diego,0.2828
6,100653,thesaurus.topn3,go getting copies letters commendation prsented city san diego,0.2828
7,100653,thesaurus.topn3.replace,go getting copies letters commendation prsented city san diego,0.2828
8,100653,stem.trunc5,how do i go about getti copie of lette of comme prsen to me from city of san diego,0.2794
9,100653,bt_bing_swahili,How do i get copies of congratulatory letters given to me from the city of san diego,0.2713
10,100653,tagmee.topn3,go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.2648
11,100653,bt_bing_german,How do I get copies of letters of recommendation provided to me by the City of San Diego,0.2594
12,100653,bt_bing_tamil,How do I get copies of appreciation letters sent to me from the city of San Diego,0.2562
13,100653,bt_bing_malay,How can I get a copy of the letter of praise given to me from the city of San Diego,0.2555
14,100653,bt_nllb_french,How do I get copies of congratulatory letters sent by the city of San Diego,0.2511
15,100653,stem.paicehusk,how do i go about get cop of let of commend prsent to me from city of san diego,0.2481
16,100653,tagmee.topn3.replace,Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.2426
17,100653,relevancefeedback.topn10.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court,0.2399
18,100653,bt_bing_korean,How do I get a copy of a letter of commendation from the City of San Diego to me,0.2396
19,100653,bt_nllb_persian,How do I get the mail from San Diego City that s been sent to me,0.2386
20,100653,docluster.topn10.3.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.2383
21,100653,docluster.topn10.3.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.2383
22,100653,original,how do I go about getting copies of letters of commendation prsented to me from city of san diego,0.2383
23,100653,rm3.topn10.10.0.5.bm25,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.2383
24,100653,rm3.topn10.10.0.5.qld,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.2383
25,100653,stem.krovetz,how do i go about get copy of letters of commendation prsente to me from city of san diego,0.2383
26,100653,stem.porter2,how do i go about get copi of letter of commend prsent to me from citi of san diego,0.2383
27,100653,stem.sstemmer,how do i go about getting copy of letter of commendation prsented to me from city of san diego,0.2383
28,1015624,-1,What's the Definition of a bloody mary?,0.6736
