qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
301	glove.topn3	international organized crime global which organised criminal	0.0954
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0859
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0848
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0727
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0723
302	-1	Poliomyelitis and Post-Polio	0.7466
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7912
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.7697
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.7613
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.7527
303	-1	Hubble Telescope Achievements	0.5359
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6687
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.6625
303	bt_nllb_swahili	The results of the Hubble Telescope	0.6248
304	-1	Endangered Species (Mammals)	0.1457
304	bt_nllb_swahili	Endangered Species Animals	0.1974
304	bt_nllb_chinese_yue	They are endangered	0.1859
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.1834
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.1834
304	bt_bing_malay	Endangered Species Mamalia	0.1802
304	bt_nllb_korean	Endangered species	0.1802
304	stem.lovins	endanger speci mam	0.18
304	stem.paicehusk	endang specy mam	0.18
304	bt_nllb_persian	Endangered species clover	0.1654
305	-1	Most Dangerous Vehicles	0.0469
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.0975
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.0975
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0811
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0636
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0631
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0614
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0606
305	conceptnet.topn3	dangerous vehicles Explosives driving Some people	0.0514
305	tagmee.topn3.replace	Risk Vehicle	0.049
306	-1	African Civilian Deaths	0.1628
307	-1	New Hydroelectric Projects	0.384
307	tagmee.topn3	new hydroelectric projects Hydroelectricity Project	0.3842
308	-1	Implant Dentistry	0.4859
308	bt_bing_arabic	Dental implants	0.6367
308	bt_bing_persian	Dental implant	0.6367
308	bt_bing_swahili	Dental implants	0.6367
308	bt_nllb_german	Implant teeth	0.6367
308	bt_nllb_malay	Dental Implantation	0.6367
308	bt_nllb_persian	Dental implant	0.6367
308	conceptluster.topn5.3.bm25	implant dentistry dental implant	0.6367
308	conceptluster.topn5.3.qld	implant dentistry dental implant	0.6367
308	word2vec.topn3.replace	implant dental dentists	0.6367
308	wiki.topn3	implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.5294
308	wiki.topn3.replace	soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.5135
308	wordnet.topn3	implant dentistry embed plant odontology dental medicine	0.5079
309	-1	Rap and Crime	0.0
309	conceptnet.topn3	rap crime music hip hop	0.0854
309	wiki.topn3	rap crime reggaeton underground hip hop gangsta rap rapping	0.0805
309	wiki.topn3.replace	reggaeton underground hip hop gangsta rap rapping	0.0805
309	word2vec.topn3	rap crime hip hop hiphop criminality	0.0798
309	conceptnet.topn3.replace	music hip hop crime	0.0766
310	-1	Radio Waves and Brain Cancer	0.3448
311	-1	Industrial Espionage	0.3748
312	-1	Hydroponics	0.9559
312	relevancefeedback.topn10.qld	hydroponics space al room marijuana polic chicori we	0.9585
313	-1	Magnetic Levitation-Maglev	0.8784
314	-1	Marine Vegetation	0.0426
314	bt_nllb_persian	Seaweed	0.462
314	bt_nllb_swahili	Seaweed	0.462
314	wiki.topn3	marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.1586
314	conceptluster.topn5.3.bm25	marine vegetation ocean	0.1543
314	conceptluster.topn5.3.qld	marine vegetation ocean	0.1543
314	tagmee.topn3	marine vegetation Ocean Vegetation	0.1236
314	tagmee.topn3.replace	Ocean Vegetation	0.1173
314	bt_nllb_russian	Sea vegetation	0.1048
314	bt_bing_korean	Marine Plants	0.1028
314	bt_bing_malay	Marine plants	0.1028
314	bt_bing_tamil	Marine plants	0.1028
314	bt_nllb_arabic	Marine plants	0.1028
314	wiki.topn3.replace	ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.1028
314	bt_nllb_german	Protection of the seas	0.0985
314	bt_nllb_chinese_yue	Sea plants	0.0601
314	bt_nllb_korean	Sea plants	0.0601
314	bt_nllb_malay	Sea plants	0.0601
314	bt_nllb_tamil	Sea plants	0.0601
315	-1	Unexplained Highway Accidents	0.0432
315	conceptluster.topn5.3.bm25	unexplained highway accidents traffic collision	0.0917
315	conceptluster.topn5.3.qld	unexplained highway accidents traffic collision	0.0917
315	bt_nllb_chinese_yue	The cause of the accident is unknown	0.0848
315	tagmee.topn3	unexplained highway accidents Highway Traffic collision	0.0729
315	tagmee.topn3.replace	Highway Traffic collision	0.0685
315	glove.topn3	unexplained highway accidents inexplicable road fatalities	0.0606
315	bt_nllb_tamil	Unidentified road accidents	0.06
315	word2vec.topn3	unexplained highway accidents inexplicable mysterious roadway road fatalities incidents	0.0488
315	wordnet.topn3	unexplained highway accidents main road chance event stroke	0.0467
315	sensedisambiguation	Unexplained Highway Accidents accident	0.0456
316	-1	Polygamy Polyandry Polygyny	0.7342
316	bt_bing_chinese_simplified	Polygamy Polyandry polyandry	0.8028
316	bt_bing_arabic	Polygamy Polyandry Polygamy	0.7999
316	bt_bing_french	Polygamy Polyandry Polygamy	0.7999
316	bt_bing_malay	Polygamous Polygamy Polygamy Polygamy	0.7995
316	bt_bing_korean	polygamy polygamy polygamy	0.7793
316	bt_bing_persian	Polygini Polygini Polygamy	0.7793
316	bt_bing_tamil	Polygamy Polygamy	0.7793
316	bt_nllb_chinese_yue	Polygamy polygamy polygamy and polygamy	0.7793
316	bt_nllb_french	Polygamy and polygamy	0.7793
316	bt_nllb_german	Polygamy and polygamy	0.7793
316	bt_nllb_malay	Polygamy Polygamy	0.7793
317	-1	Unsolicited Faxes	0.7038
317	sensedisambiguation	Unsolicited unasked Faxes facsimile	0.7504
318	-1	Best Retirement Country	0.053
318	sensedisambiguation	Best Retirement Country state	0.0814
319	-1	New Fuel Sources	0.1826
319	anchor.topn3	new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor	0.2319
319	anchor.topn3.replace	bibalayeva forms new yappin fuel inject mixed oxid gas motor sources	0.203
319	bt_nllb_german	New fuels	0.1841
320	-1	Undersea Fiber Optic Cable	0.2511
320	relevancefeedback.topn10.qld	undersea fiber optic cable system cabl sprint data stc	0.3186
320	anchor.topn3	undersea fiber optic cable uuv samayamaayi adventure queu fibr cable nowiki disappearing fila itmo spbsu	0.3081
320	bt_bing_swahili	Undersea optical cable	0.2958
320	bt_nllb_french	Submarine fibre optic cable	0.286
320	relevancefeedback.topn10.bm25	undersea fiber optic cable system sprint cabl data	0.2678
321	-1	Women in Parliaments	0.3181
322	-1	International Art Crime	0.0
322	word2vec.topn3.replace	national global domestic artwork artworks criminality	0.0778
322	word2vec.topn3	international art crime national global domestic artwork artworks criminality	0.0745
322	sensedisambiguation	International Art artwork Crime	0.0526
322	wordnet.topn3	international art crime external artwork artistry artistic creation criminal offense criminal offence law breaking	0.037
322	wordnet.topn3.replace	external artwork artistry artistic creation criminal offense criminal offence law breaking	0.0358
322	sensedisambiguation.replace	international artwork crime	0.035
322	tagmee.topn3.replace	Art and Crime	0.0334
322	conceptnet.topn3	international art crime painting paint paintings	0.0182
322	conceptluster.topn5.3.bm25	international art crime art crime	0.0159
322	conceptluster.topn5.3.qld	international art crime art crime	0.0159
322	tagmee.topn3	international art crime Art and Crime	0.0159
322	glove.topn3.replace	global which museum criminal	0.0153
323	-1	Literary/Journalistic Plagiarism	0.4955
323	stem.lovins	liter journ plagiar	0.5644
323	tagmee.topn3	literary journalistic plagiarism Literature Journalism Plagiarism	0.561
323	bt_nllb_malay	Literary plagiarism	0.5595
324	-1	Argentine/British Relations	0.4472
324	stem.krovetz	argentina britain relations	0.4752
324	relevancefeedback.topn10.bm25	argentine british relations uk di argentina deputi oil	0.456
