qid	order	query	bm25.ndcg
301	-1	International Organized Crime	0.0586
301	bt_bing_malay	International Organised Crime	0.0361
301	bt_nllb_german	International organised crime	0.0361
301	bt_bing_swahili	International Crime	0.0276
301	bt_nllb_swahili	International Crime	0.0276
301	bt_nllb_malay	Integrated Crime	0.0118
302	-1	Poliomyelitis and Post-Polio	0.7405
302	bt_nllb_chinese_yue	After polio and polio	0.6761
302	bt_nllb_malay	Polio and after polio	0.6761
302	bt_nllb_tamil	After polio and polio	0.6761
302	bt_nllb_arabic	Polio and polio	0.6645
302	bt_nllb_german	Polio and postpolio	0.6645
302	bt_nllb_russian	Polio and postpolio	0.6645
302	bt_nllb_swahili	Polio and Afterpolio	0.6645
302	bt_bing_malay	Polyomyelitis and Post Polio	0.6559
302	bt_bing_arabic	Polio and post polio	0.6521
302	bt_bing_persian	Polio and post polio	0.6521
302	bt_bing_tamil	Polio and post polio	0.6521
302	bt_nllb_french	Polio and the Post Polio	0.6521
302	bt_bing_korean	Polio and its sequelae	0.6213
302	bt_nllb_persian	Polyamide and then polio	0.5531
302	bt_bing_french	Poliomyelitis and post poliomyelitis	0.3031
302	bt_bing_russian	Poliomyelitis and post poliomyelitis	0.3031
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.5126
303	bt_nllb_tamil	Hubble s telescope achievements	0.5104
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.5084
303	bt_bing_swahili	Success of the Hubble Telescope	0.4572
303	bt_nllb_korean	The Hubble Telescope was completed	0.4211
304	-1	Endangered Species (Mammals)	0.2081
304	bt_nllb_swahili	Endangered Species Animals	0.2043
304	bt_bing_malay	Endangered Species Mamalia	0.2009
304	bt_nllb_korean	Endangered species	0.2009
304	bt_nllb_persian	Endangered species clover	0.1966
304	bt_nllb_chinese_yue	They are endangered	0.1859
304	bt_bing_french	Threatened species mammals	0.1213
304	bt_nllb_tamil	The species in danger of extinction type	0.1116
304	bt_bing_persian	Mammals	0.061
304	bt_nllb_russian	Threatened species self miners	0.0338
305	-1	Most Dangerous Vehicles	0.0323
305	bt_bing_swahili	The Most Dangerous Cars	0.021
305	bt_nllb_arabic	The most dangerous cars	0.021
305	bt_nllb_chinese_yue	The most dangerous car	0.021
305	bt_nllb_swahili	The Most Dangerous Cars	0.021
305	bt_bing_tamil	Very Dangerous Vehicles	0.0156
306	-1	African Civilian Deaths	0.1539
306	bt_nllb_arabic	The killing of civilians in Africa	0.14
306	bt_bing_chinese_simplified	Civilian deaths in Africa	0.1118
306	bt_bing_russian	Civilian deaths in Africa	0.1118
306	bt_nllb_russian	Death of civilians in Africa	0.1118
306	bt_bing_german	African civilian fatalities	0.0928
306	bt_bing_tamil	African civilian casualties	0.0902
306	bt_nllb_korean	African citizens killed	0.0697
306	bt_nllb_malay	The Death of African Citizens	0.0534
306	bt_nllb_persian	Death of African citizens	0.0534
306	bt_nllb_tamil	The death of African citizens	0.0534
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.0493
306	bt_nllb_chinese_yue	African citizens dying	0.0142
307	-1	New Hydroelectric Projects	0.3366
307	bt_bing_arabic	New Hydropower Projects	0.1761
307	bt_bing_chinese_simplified	New hydropower projects	0.1761
307	bt_bing_german	New hydropower projects	0.1761
307	bt_bing_korean	New Hydropower Projects	0.1761
307	bt_bing_persian	New hydropower projects	0.1761
307	bt_bing_russian	New Hydropower Projects	0.1761
307	bt_nllb_arabic	New hydropower projects	0.1761
307	bt_nllb_korean	A new hydropower project	0.1761
307	bt_bing_tamil	New Hydro Electric Projects	0.1586
307	bt_nllb_german	New hydropower plants	0.1237
307	bt_nllb_swahili	New Water Power Projects	0.1196
307	bt_bing_swahili	New power projects	0.071
308	-1	Implant Dentistry	0.488
308	bt_nllb_swahili	Tooth disease of the gums	0.2463
308	bt_nllb_korean	Implantation surgery	0.1565
308	bt_nllb_arabic	Hosted dentistry	0.0955
308	bt_bing_german	Implantology	0.0
308	bt_bing_russian	Implantology	0.0
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.3509
310	bt_bing_german	Radio Waves and Brain Tumor	0.0467
311	-1	Industrial Espionage	0.4199
311	bt_bing_malay	Industrial Spying	0.1292
311	bt_nllb_chinese_yue	Industrial spy	0.1292
311	bt_nllb_korean	The spy industry	0.1292
311	bt_nllb_persian	Industrial spy	0.1292
311	bt_nllb_swahili	Industrial Intelligence	0.1128
311	bt_nllb_tamil	Industrial intelligence	0.1128
311	bt_nllb_malay	Industrial surveillance	0.0482
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	0.9559
312	bt_bing_arabic	Aquaculture	0.0
312	bt_bing_malay	Hidroponics	0.0
