qid	order	query	bm25.map
701	-1	U.S. oil industry history	0.0025
702	-1	Pearl farming	0.0199
704	-1	Green party political views	0.0575
705	-1	Iraq foreign debt reduction	0.1226
706	-1	Controlling type II diabetes	0.025
707	-1	Aspirin cancer prevention	0.1885
708	-1	Decorative slate sources	0.1026
709	-1	Horse racing jockey weight	0.6481
710	-1	Prostate cancer treatments	0.2122
711	-1	Train station security measures	0.0812
712	-1	Pyramid scheme	0.2062
713	-1	Chesapeake Bay Maryland clean	0.1163
714	-1	License restrictions older drivers	0.0787
715	-1	Schizophrenia drugs	0.0574
716	-1	Spammer arrest sue	0.0541
717	-1	Gifted talented student programs	0.0881
718	-1	Controlling acid rain	0.1068
719	-1	Cruise ship damage sea life	0.0176
720	-1	Federal welfare reform	0.0517
721	-1	Census data applications	0.0056
722	-1	Iran terrorism	0.1881
723	-1	Executive privilege	0.1263
724	-1	Iran Contra	0.0931
725	-1	Low white blood cell count	0.126
726	-1	Hubble telescope repairs	0.1488
727	-1	Church arson	0.2281
728	-1	whales save endangered	0.1045
729	-1	Whistle blower department of defense	0.0
730	-1	Gastric bypass complications	0.4323
731	-1	Kurds history	0.0279
732	-1	U.S. cheese production	0.0059
733	-1	Airline overbooking	0.2056
734	-1	Recycling successes	0.0631
735	-1	Afghan women condition	0.0818
736	-1	location BSE infections	0.1868
737	-1	Enron California energy crisis	0.2734
738	-1	Anthrax hoaxes	0.4188
739	-1	Habitat for Humanity	0.1165
740	-1	regulate assisted living Maryland	0.1754
741	-1	Artificial Intelligence	0.0091
742	-1	hedge funds fraud protection	0.1473
743	-1	Freighter ship registration	0.0011
744	-1	Counterfeit ID punishments	0.0007
745	-1	Doomsday cults	0.2095
746	-1	Outsource job India	0.1881
747	-1	Library computer oversight	0.0457
748	-1	Nuclear reactor types	0.2225
749	-1	Puerto Rico state	0.236
750	-1	John Edwards womens issues	0.087
751	-1	Scrabble Players	0.2278
752	-1	Dam removal	0.2216
753	-1	bullying prevention programs	0.088
754	-1	domestic adoption laws	0.0304
755	-1	Scottish Highland Games	0.4151
756	-1	Volcanic Activity	0.0253
757	-1	Murals	0.0386
758	-1	Embryonic stem cells	0.1532
759	-1	civil war battle reenactments	0.2895
760	-1	american muslim mosques schools	0.1204
761	-1	Problems of Hmong Immigrants	0.269
762	-1	History of Physicians in America	0.0098
763	-1	Hunting deaths	0.0594
764	-1	Increase mass transit use	0.0391
765	-1	ephedra ma huang deaths	0.1843
766	-1	diamond smuggling	0.2323
767	-1	Pharmacist License requirements	0.136
768	-1	Women in state legislatures	0.079
769	-1	Kroll Associates Employees	0.0021
770	-1	Kyrgyzstan-United States relations	0.179
771	-1	deformed leopard frogs	0.4013
772	-1	flag display rules	0.2227
773	-1	Pennsylvania slot machine gambling	0.4926
774	-1	Causes of Homelessness	0.0452
775	-1	Commercial candy makers	0.0161
776	-1	Magnet schools success	0.1183
777	-1	hybrid alternative fuel cars	0.076
778	-1	golden ratio	0.0981
779	-1	Javelinas range and description	0.2684
780	-1	Arable land	0.0695
781	-1	Squirrel control and protections	0.1243
782	-1	Orange varieties seasons	0.3651
783	-1	school mercury poisoning	0.0181
784	-1	mersenne primes	0.5239
785	-1	Ivory-billed woodpecker	0.2308
786	-1	Yew trees	0.1231
787	-1	Sunflower Cultivation	0.2271
788	-1	Reverse mortgages	0.3322
