qid	order	query	bm25.recip_rank
1	-1	obama family tree	0.5
1	bt_nllb_arabic	The Obama family tree	0.5
1	bt_nllb_chinese_yue	The Obama family tree	0.5
1	bt_nllb_french	Obama family tree	0.5
1	bt_nllb_german	Obama family tree	0.5
1	bt_nllb_korean	The Obama family tree	0.5
1	bt_nllb_malay	Obama family tree	0.5
1	bt_nllb_persian	The Obama family tree	0.5
1	bt_nllb_swahili	Obama family tree	0.5
1	bt_nllb_tamil	The Obama Family Tree	0.5
1	bt_nllb_russian	The Tree of Joy	0.0
10	-1	cheap internet	0.25
10	bt_nllb_arabic	The internet is cheap	0.25
10	bt_nllb_chinese_yue	Cheap Internet	0.25
10	bt_nllb_french	The Internet is Cheap	0.25
10	bt_nllb_german	cheap internet	0.25
10	bt_nllb_korean	Cheap Internet	0.25
10	bt_nllb_malay	cheap internet	0.25
10	bt_nllb_persian	The Internet is cheap	0.25
10	bt_nllb_russian	cheap internet	0.25
10	bt_nllb_swahili	cheap internet	0.25
10	bt_nllb_tamil	Cheap Internet	0.25
11	-1	gmat prep classes	1.0
11	bt_nllb_korean	Gmat prep class	1.0
11	bt_nllb_tamil	Gmat ready classes	1.0
11	bt_nllb_malay	Gmat preparation class	0.5
11	bt_nllb_swahili	a preparation class for gmat	0.5
11	bt_nllb_german	Preparation hours for the Gmat study	0.2
11	bt_nllb_arabic	Teacher preparation classes	0.0
11	bt_nllb_chinese_yue	Pre K through grade	0.0
11	bt_nllb_french	Preparatory courses for secondary education	0.0
11	bt_nllb_persian	Preparatory classes	0.0
11	bt_nllb_russian	Classes on preparation for gymnasium	0.0
12	-1	djs	0.3333
12	bt_nllb_french	DJs	0.3333
12	bt_nllb_german	DJs	0.3333
12	bt_nllb_arabic	The DGS	0.0
12	bt_nllb_chinese_yue	Other things	0.0
12	bt_nllb_korean	I m not a DJ	0.0
12	bt_nllb_malay	The D J S	0.0
12	bt_nllb_persian	J J	0.0
12	bt_nllb_russian	I m not a jazz player	0.0
12	bt_nllb_swahili	The D J S	0.0
12	bt_nllb_tamil	The Bible is a book of scriptures	0.0
13	-1	map	0.0204
13	bt_nllb_arabic	A map	0.0204
13	bt_nllb_chinese_yue	Map	0.0204
13	bt_nllb_french	map	0.0204
13	bt_nllb_german	Map	0.0204
13	bt_nllb_malay	map	0.0204
13	bt_nllb_swahili	map	0.0204
13	bt_nllb_tamil	map	0.0204
13	bt_nllb_korean	Map of the world	0.0
13	bt_nllb_persian	The plan	0.0
13	bt_nllb_russian	Map of the city	0.0
14	-1	dinosaurs	0.0476
14	bt_nllb_arabic	The dinosaurs	0.0476
14	bt_nllb_chinese_yue	The dinosaurs	0.0476
14	bt_nllb_french	the dinosaurs	0.0476
14	bt_nllb_korean	The dinosaurs	0.0476
14	bt_nllb_malay	The dinosaurs	0.0476
14	bt_nllb_persian	The dinosaurs	0.0476
