,qid,order,query,bm25.map
0,701,-1,U.S. oil industry history,0.0025
1,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0013
2,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.0011
3,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.0009
4,701,bertqe.topn10.qld,e nvir onment al dv,0.0007
5,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0006
6,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.0005
7,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0005
8,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.0005
9,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.0002
10,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0002
11,701,stem.paicehusk,u s oil industry hist,0.0001
12,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
13,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
14,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
15,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0
16,701,stem.lovins,u s oil industr histor,0.0
17,701,stem.trunc4,u s oil indu hist,0.0
18,701,stem.trunc5,u s oil indus histo,0.0
19,701,tagmee.topn3.replace,Petroleum,0.0
20,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
21,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
22,702,-1,Pearl farming,0.0199
23,702,wordnet.topn3,pearl farming drop ivory off white agricultural land raise,0.0112
24,702,anchor.topn3,pearl farming nanyou namro madlen,0.0106
25,702,bt_bing_arabic,Pearl cultivation,0.0092
26,702,bt_nllb_french,Cultivation of pearls,0.0092
27,702,stem.trunc5,pearl farmi,0.0051
28,702,word2vec.topn3,pearl farming necklace agriculture agricultural,0.0046
29,702,conceptnet.topn3,pearl farming land crop,0.0014
30,702,relevancefeedback.topn10.qld,pearl farming japan farm jerri option irrig,0.0012
31,702,bt_nllb_arabic,The pearl planting,0.0005
32,702,bt_bing_persian,Pearl Agriculture,0.0001
33,702,conceptnet.topn3.replace,pearl land crop,0.0001
34,702,glove.topn3,pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0001
35,702,anchor.topn3.replace,nanyou namro madlen farming,0.0
36,702,bertqe.topn10.bm25,potato program regulatori test servic,0.0
37,702,bertqe.topn10.qld,seed farm,0.0
38,702,bt_nllb_persian,The Pearl of the Caribbean,0.0
39,702,glove.topn3.replace,harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0
40,702,stem.trunc4,pear farm,0.0
41,702,word2vec.topn3.replace,necklace agriculture agricultural,0.0
42,702,wordnet.topn3.replace,off white bead agricultural agrarian,0.0
43,704,-1,Green party political views,0.0575
44,704,bt_bing_persian,The Green Party s Political Views,0.0456
45,704,bt_nllb_chinese_yue,The Green Party s political views,0.0456
46,704,conceptluster.topn5.3.qld,green party political views ideology politics political party green party united states,0.0359
47,704,tagmee.topn3,green party political views Green Party of the United States Political party Politics Ideology,0.0359
48,704,wiki.topn3,green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.0247
49,704,sensedisambiguation,Green party political views view,0.0115
50,704,wiki.topn3.replace,natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.0091
51,704,tagmee.topn3.replace,Green Party of the United States Political party Politics Ideology,0.0086
52,704,bt_bing_chinese_simplified,The Greens political views,0.0064
53,704,bt_bing_german,Political views of the Greens,0.0064
54,704,bt_nllb_german,Political views of the Greens,0.0064
55,704,glove.topn3,green party political views red purple democratic politicians opinions,0.0053
56,704,anchor.topn3,green party political views green windi treekrem k cup,0.0046
57,704,word2vec.topn3,green party political views yellow blue red party economic social socio political viewpoints viewpoint,0.0032
58,704,anchor.topn3.replace,green windi treekrem k cup party political views,0.0026
59,704,stem.lovins,green part polit view,0.0026
60,704,wordnet.topn3,green party political views immature super C honey oil political party company regard take in reckon,0.0014
61,704,wordnet.topn3.replace,commons unripened viridity company political party political perspective sentiment panorama,0.0014
62,704,rm3.topn10.10.0.5.bm25,green party political views indonesia parti polit,0.0002
63,704,word2vec.topn3.replace,yellow blue red party economic social socio political viewpoints viewpoint,0.0002
64,704,bertqe.topn10.bm25,n warren lisa chac n,0.0
65,704,bertqe.topn10.qld,n warren lisa chac n,0.0
66,704,conceptnet.topn3,green party political views apple plant a color celebration gathering birthday,0.0
67,704,conceptnet.topn3.replace,apple plant a color celebration gathering birthday political views,0.0
68,704,glove.topn3.replace,red purple democratic politicians opinions,0.0
69,704,stem.trunc4,gree part poli view,0.0
70,705,-1,Iraq foreign debt reduction,0.1226
71,705,stem.lovins,iraq foreign debt reduc,0.1068
72,705,stem.paicehusk,iraq foreign debt reduc,0.1068
73,705,relevancefeedback.topn10.qld,iraq foreign debt reduction develop,0.1004
74,705,rm3.topn10.10.0.5.qld,iraq foreign debt reduction develop,0.1004
75,705,bt_bing_chinese_simplified,Iraq s external debt relief,0.0974
76,705,glove.topn3,iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing,0.0812
77,705,bt_bing_swahili,Reducing Iraq s foreign debt,0.0729
78,705,bt_nllb_persian,Reducing Iraq s foreign debt,0.0729
79,705,bt_nllb_swahili,Reducing Iraq s foreign debt,0.0729
80,705,bt_bing_korean,Reduction of Iraq s foreign debt,0.0671
81,705,bt_bing_malay,Reduction of Iraq s foreign debt,0.0671
82,705,bt_nllb_korean,Iraq s foreign debt reduction,0.0671
83,705,bt_nllb_tamil,Iraq s foreign debt reduction,0.0671
84,705,wiki.topn3,iraq foreign debt reduction iraq mesopotamia syria iraq internal debt portfolio investment fixed investment external debt credit finance collateral finance interest debt,0.0599
85,705,wordnet.topn3,iraq foreign debt reduction Irak Al Iraq extraneous alien simplification step down,0.0227
86,705,word2vec.topn3,iraq foreign debt reduction iraq afghanistan iraqi domestic international indebtedness reducing,0.0216
87,705,glove.topn3.replace,iraqi baghdad overseas ministry repay reducing,0.017
88,705,bt_nllb_arabic,Cut the foreign debt in Iraq,0.0077
89,705,word2vec.topn3.replace,iraq afghanistan iraqi domestic international indebtedness reducing,0.0075
90,705,wiki.topn3.replace,iraq mesopotamia syria iraq internal debt portfolio investment fixed investment external debt credit finance collateral finance interest debt,0.0044
91,705,anchor.topn3,iraq foreign debt reduction iraq histori syria fortress syria transport s education s tawheed obligation subprim inclosure delan nonreduct frege church organisation fundament,0.0006
92,705,conceptnet.topn3,iraq foreign debt reduction a country a country in the middle east war other money spending money paying by credit card,0.0001
93,705,anchor.topn3.replace,iraq histori syria fortress syria transport s education s tawheed obligation subprim inclosure delan nonreduct frege church organisation fundament,0.0
94,705,bertqe.topn10.bm25,dc mai,0.0
95,705,bertqe.topn10.qld,unit state gener account offic,0.0
96,705,conceptnet.topn3.replace,a country a country in the middle east war other money spending money paying by credit card reduction,0.0
97,705,wordnet.topn3.replace,Republic of Iraq Irak extraneous strange alien debt simplification step down diminution,0.0
98,706,-1,Controlling type II diabetes,0.025
99,706,bt_bing_swahili,Managing Type II Diabetes,0.0224
100,706,relevancefeedback.topn10.qld,controlling type ii diabetes diabet word,0.0209
101,706,bt_nllb_malay,Managing type diabetes,0.0182
102,706,rm3.topn10.10.0.5.qld,controlling type ii diabetes diabet cost,0.0109
103,706,termluster.topn5.3.qld,controlling type ii diabetes type trial studi control diabet diseas type trial studi,0.0083
104,706,conceptluster.topn5.3.qld,controlling type ii diabetes diabetes mellitus,0.0075
105,706,tagmee.topn3,controlling type ii diabetes Diabetes mellitus,0.0075
106,706,stem.paicehusk,control type iy diabet,0.006
107,706,glove.topn3,controlling type ii diabetes example iii iv hypertension obesity,0.001
108,706,wordnet.topn3,controlling type ii diabetes assure contain typewrite eccentric deuce,0.0007
109,706,wordnet.topn3.replace,ensure moderate manipulate typewrite character case deuce two diabetes,0.0004
110,706,anchor.topn3,controlling type ii diabetes umbauwagon percent encoding th ii kara ḫardaš nazi bugaš and the events at end of his reign iii,0.0001
111,706,bertqe.topn10.bm25,assess number us glycat,0.0001
112,706,conceptnet.topn3,controlling type ii diabetes dominant have a keyboard use a computer use a keyboard two iii polydipsia,0.0001
113,706,stem.lovins,control typ ii diabes,0.0001
114,706,stem.trunc4,cont type ii diab,0.0001
115,706,stem.trunc5,contr type ii diabe,0.0001
116,706,anchor.topn3.replace,controlling umbauwagon percent encoding th ii kara ḫardaš nazi bugaš and the events at end of his reign iii diabetes,0.0
117,706,bertqe.topn10.qld,evid report technolog assess number,0.0
118,706,conceptnet.topn3.replace,dominant have a keyboard use a computer use a keyboard two iii polydipsia,0.0
119,706,glove.topn3.replace,controlling example iii iv hypertension obesity,0.0
120,706,tagmee.topn3.replace,Diabetes mellitus,0.0
121,706,wiki.topn3,controlling type ii diabetes lymphoma noninfective enteritis colitis cirrhosis diabetes mellitus,0.0
122,706,wiki.topn3.replace,lymphoma noninfective enteritis colitis cirrhosis diabetes mellitus,0.0
123,706,word2vec.topn3,controlling type ii diabetes regulating kind iii iv vii,0.0
124,706,word2vec.topn3.replace,regulating kind iii iv vii diabetes,0.0
125,707,-1,Aspirin cancer prevention,0.1885
126,707,bt_nllb_tamil,Aspirin is used to prevent cancer,0.175
127,707,relevancefeedback.topn10.qld,aspirin cancer prevention claim,0.1662
128,707,bt_nllb_korean,Aspirin is a cancer prevention drug,0.1527
129,707,rm3.topn10.10.0.5.bm25,aspirin cancer prevention i,0.1361
130,707,bt_nllb_chinese_yue,The anti cancer aspirin,0.1197
131,707,stem.lovins,aspirin cancer prevens,0.1178
132,707,bt_nllb_swahili,How to fight cancer with aspirin,0.0453
133,707,wiki.topn3,aspirin cancer prevention antiplatelet drugs salicylates nausea aspirin types neoplasia types cancer oncology cancer cancer prevention,0.0315
134,707,wordnet.topn3,aspirin cancer prevention Bayer St Joseph malignant neoplastic disease bar,0.0202
135,707,anchor.topn3,aspirin cancer prevention extrusion hydrostat filter modif multi antimicrobi institute upmc insulinoma cancercent,0.0143
136,707,bertqe.topn10.qld,known risk factor colorect cancer,0.0135
137,707,glove.topn3,aspirin cancer prevention ibuprofen medications prostate breast combating cdc,0.0105
138,707,wiki.topn3.replace,antiplatelet drugs salicylates nausea aspirin types neoplasia types cancer oncology cancer cancer prevention,0.0075
139,707,wordnet.topn3.replace,acetylsalicylic acid St Joseph genus Cancer Cancer the Crab bar,0.0052
140,707,word2vec.topn3,aspirin cancer prevention ibuprofen paracetamol leukemia lymphoma,0.0029
141,707,bt_nllb_arabic,Prevention of cancer,0.0013
142,707,conceptnet.topn3,aspirin cancer prevention a medicine cabinet smoking a disease cigarette smoking suppression,0.0007
143,707,glove.topn3.replace,ibuprofen medications prostate breast combating cdc,0.0004
144,707,bt_nllb_persian,Spraying for cancer prevention,0.0001
145,707,anchor.topn3.replace,extrusion hydrostat filter modif multi antimicrobi institute upmc insulinoma cancercent prevention,0.0
146,707,bertqe.topn10.bm25,health care financ wisconsin depart,0.0
147,707,conceptnet.topn3.replace,a medicine cabinet smoking a disease cigarette smoking suppression,0.0
148,707,stem.paicehusk,aspirin cant prev,0.0
149,707,stem.trunc4,aspi canc prev,0.0
150,707,stem.trunc5,aspir cance preve,0.0
151,707,word2vec.topn3.replace,ibuprofen paracetamol leukemia lymphoma prevention,0.0
152,708,-1,Decorative slate sources,0.1026
153,708,anchor.topn3,decorative slate sources wirren nusstort,0.0929
154,708,word2vec.topn3,decorative slate sources ornamental limestone souces references,0.0881
155,708,termluster.topn5.3.qld,decorative slate sources centuri color due,0.0719
156,708,rm3.topn10.10.0.5.bm25,decorative slate sources roof,0.0605
157,708,rm3.topn10.10.0.5.qld,decorative slate sources roof,0.0605
158,708,bt_bing_french,Decorative slate springs,0.0566
159,708,bt_bing_german,Decorative slate springs,0.0566
160,708,conceptluster.topn5.3.qld,decorative slate sources ornament art slate,0.0465
161,708,tagmee.topn3,decorative slate sources Ornament art Slate,0.0465
162,708,conceptnet.topn3,decorative slate sources spatial unmasking,0.0445
163,708,sensedisambiguation,Decorative cosmetic slate sources source,0.0345
164,708,bt_nllb_swahili,The origins of the decorative slate,0.0339
165,708,conceptnet.topn3.replace,decorative slate spatial unmasking,0.016
166,708,bertqe.topn10.qld,research replac histor roof materi,0.0094
167,708,bt_bing_russian,Sources of Ornamental Slate,0.006
168,708,sensedisambiguation.replace,cosmetic slate source,0.0054
169,708,wordnet.topn3,decorative slate sources cosmetic ornamental ticket reference generator,0.001
170,708,wiki.topn3,decorative slate sources proportion architecture history decorativarts template history architecture ornament art bay architecture politics san francisco bay area defunct american political movements slate,0.0008
