qid	order	query	bm25.recip_rank
301	-1	International Organized Crime	0.5
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	1.0
301	anchor.topn3.replace	confédérat föderat kanusport organized anti corruption anti econom drug	1.0
301	conceptluster.topn5.3.bm25	international organized crime international law organized crime	1.0
301	conceptluster.topn5.3.qld	international organized crime international law organized crime	1.0
301	glove.topn3	international organized crime global which organised criminal	1.0
301	glove.topn3.replace	global which organised criminal	1.0
301	stem.trunc5	inter organ crime	1.0
301	tagmee.topn3	international organized crime International law Organized crime	1.0
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	word2vec.topn3	international organized crime national global domestic organised criminality	1.0
301	bt_nllb_arabic	International organized crime	0.5
301	bt_nllb_chinese_yue	International organized crime	0.5
301	bt_nllb_french	International organized crime	0.5
301	bt_nllb_korean	International organized crime	0.5
301	bt_nllb_persian	International organized crime	0.5
301	bt_nllb_russian	International organized crime	0.5
301	bt_nllb_tamil	International organized crime	0.5
301	docluster.topn10.3.bm25	international organized crime	0.5
301	docluster.topn10.3.qld	international organized crime	0.5
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.5
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.5
301	stem.krovetz	international organized crime	0.5
301	stem.porter2	intern organ crime	0.5
301	stem.sstemmer	international organized crime	0.5
301	termluster.topn5.3.bm25	international organized crime	0.5
301	termluster.topn5.3.qld	international organized crime	0.5
301	thesaurus.topn3	international organized crime	0.5
301	thesaurus.topn3.replace	international organized crime	0.5
301	word2vec.topn3.replace	national global domestic organised criminality	0.5
302	-1	Poliomyelitis and Post-Polio	1.0
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	1.0
302	anchor.topn3.replace	poliomyelitis kentuckyon rwjbarnaba lcmc	1.0
302	bt_nllb_arabic	Polio and polio	1.0
302	bt_nllb_chinese_yue	After polio and polio	1.0
302	bt_nllb_german	Polio and postpolio	1.0
302	bt_nllb_malay	Polio and after polio	1.0
302	bt_nllb_russian	Polio and postpolio	1.0
302	bt_nllb_swahili	Polio and Afterpolio	1.0
302	bt_nllb_tamil	After polio and polio	1.0
302	conceptluster.topn5.3.bm25	poliomyelitis post polio post polio syndrome	1.0
302	conceptluster.topn5.3.qld	poliomyelitis post polio post polio syndrome	1.0
302	conceptnet.topn3	poliomyelitis post polio	1.0
302	conceptnet.topn3.replace	poliomyelitis post polio	1.0
302	docluster.topn10.3.bm25	poliomyelitis and post polio	1.0
302	docluster.topn10.3.qld	poliomyelitis and post polio	1.0
302	glove.topn3	poliomyelitis post polio polio measles mangxamba http www kasparovchess com	1.0
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	1.0
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	1.0
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	1.0
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	1.0
302	sensedisambiguation	Poliomyelitis and Post Polio	1.0
302	sensedisambiguation.replace	poliomyelitis and Post Polio	1.0
302	stem.krovetz	poliomyeliti and post polio	1.0
302	stem.paicehusk	poliomyelit and post polio	1.0
302	stem.porter	poliomyel and post polio	1.0
302	stem.porter2	poliomyel and post polio	1.0
302	stem.sstemmer	poliomyeliti and post polio	1.0
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	1.0
302	tagmee.topn3.replace	Poliomyelitis Post polio syndrome	1.0
302	termluster.topn5.3.bm25	poliomyelitis post polio	1.0
302	termluster.topn5.3.qld	poliomyelitis post polio	1.0
302	thesaurus.topn3	poliomyelitis post polio	1.0
302	thesaurus.topn3.replace	poliomyelitis post polio	1.0
302	word2vec.topn3	poliomyelitis post polio polio poliovirus Guillain Barr amyotrophy	1.0
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	1.0
302	wordnet.topn3.replace	polio acute anterior poliomyelitis post polio	1.0
303	-1	Hubble Telescope Achievements	0.5
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	word2vec.topn3	hubble telescope achievements kepler milkyway moon observatory accomplishments successes	1.0
303	anchor.topn3	hubble telescope achievements	0.5
303	anchor.topn3.replace	hubble telescope achievements	0.5
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.5
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5
303	bt_nllb_swahili	The results of the Hubble Telescope	0.5
303	bt_nllb_tamil	Hubble s telescope achievements	0.5
303	conceptluster.topn5.3.bm25	hubble telescope achievements hubble space telescope	0.5
303	conceptluster.topn5.3.qld	hubble telescope achievements hubble space telescope	0.5
303	docluster.topn10.3.bm25	hubble telescope achievements	0.5
303	docluster.topn10.3.qld	hubble telescope achievements	0.5
303	relevancefeedback.topn10.bm25	hubble telescope achievements launch space mirror have report telescop univers hubbl	0.5
303	relevancefeedback.topn10.qld	hubble telescope achievements telescop have univers hubbl mirror space	0.5
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.5
303	rm3.topn10.10.0.5.qld	Hubble Telescope Achievements	0.5
303	stem.krovetz	hubble telescope achievement	0.5
303	stem.lovins	hubbl telescop achievement	0.5
303	stem.paicehusk	hubbl telescop achiev	0.5
303	stem.porter	hubbl telescop achiev	0.5
303	stem.porter2	hubbl telescop achiev	0.5
303	stem.sstemmer	hubble telescope achievement	0.5
303	tagmee.topn3	hubble telescope achievements Hubble Space Telescope	0.5
303	termluster.topn5.3.bm25	hubble telescope achievements	0.5
303	termluster.topn5.3.qld	hubble telescope achievements	0.5
303	thesaurus.topn3	hubble telescope achievements	0.5
303	thesaurus.topn3.replace	hubble telescope achievements	0.5
304	-1	Endangered Species (Mammals)	1.0
304	anchor.topn3	endangered species mammals abs dissé sous le lud aaaaaaah	1.0
304	bt_nllb_arabic	Endangered species mammals	1.0
304	bt_nllb_french	Endangered species mammal	1.0
304	bt_nllb_german	Endangered species mammal	1.0
304	bt_nllb_malay	Endangered species mammal	1.0
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	1.0
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	1.0
304	docluster.topn10.3.bm25	endangered species mammals	1.0
304	docluster.topn10.3.qld	endangered species mammals	1.0
304	relevancefeedback.topn10.bm25	endangered species mammals other dolphin dune lion wildlif net fox bear whale	1.0
304	rm3.topn10.10.0.5.bm25	Endangered Species (Mammals)	1.0
304	rm3.topn10.10.0.5.qld	Endangered Species (Mammals)	1.0
304	sensedisambiguation	Endangered queer Species coinage Mammals mammal	1.0
304	stem.krovetz	endanger species mammal	1.0
304	stem.porter	endang speci mammal	1.0
304	stem.porter2	endang speci mammal	1.0
304	stem.sstemmer	endangered specy mammal	1.0
304	tagmee.topn3	endangered species mammals Endangered species Mammal	1.0
304	tagmee.topn3.replace	Endangered species Mammal	1.0
304	termluster.topn5.3.bm25	endangered species mammals	1.0
304	termluster.topn5.3.qld	endangered species mammals	1.0
304	thesaurus.topn3	endangered species mammals	1.0
304	thesaurus.topn3.replace	endangered species mammals	1.0
304	wiki.topn3	endangered species mammals iucn red list biota conservation status iucn red list endangered species mammals therapsids synapsids mammal	1.0
