,qid,order,query,qld.recip_rank
0,1,-1,obama family tree,0.0
1,1,glove.topn3,obama family tree barack mccain father pine,1.0
2,1,wiki.topn3,obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama,1.0
3,1,conceptluster.topn5.3.bm25,obama family tree family barack obama death cellulos carbon restringido video,0.5
4,1,conceptluster.topn5.3.qld,obama family tree family barack obama git object,0.5
5,1,tagmee.topn3,obama family tree Family of Barack Obama,0.5
6,1,word2vec.topn3,obama family tree bama barack relatives tree,0.5
7,1,anchor.topn3,obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a,0.3333
8,1,conceptnet.topn3,obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.25
9,1,anchor.topn3.replace,barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a,0.2
10,1,wiki.topn3.replace,stanley armour dunham madelyn dunham barack obama sr family barack obama,0.2
11,1,tagmee.topn3.replace,Family of Barack Obama,0.1429
12,1,sensedisambiguation.replace,obama syndicate tree,0.0152
13,1,word2vec.topn3.replace,bama barack relatives tree,0.0149
14,1,bertqe.topn10.bm25,automobil accid tree messag board,0.0
15,1,bertqe.topn10.qld,master trivia master trivia profil,0.0
16,1,bt_bing_arabic,Obama Family Tree,0.0
17,1,bt_bing_chinese_simplified,Obama Family Tree,0.0
18,1,bt_bing_french,Obama Family Tree,0.0
19,1,bt_bing_german,Obama Family Tree,0.0
20,1,bt_bing_korean,Obama Family Tree,0.0
21,1,bt_bing_malay,Obama Family Tree,0.0
22,1,bt_bing_persian,The Obama Family Tree,0.0
23,1,bt_bing_russian,Obama s Family Tree,0.0
24,1,bt_bing_swahili,Obama Family Tree,0.0
25,1,bt_bing_tamil,Obama Family Tree,0.0
26,1,bt_nllb_arabic,The Obama family tree,0.0
27,1,bt_nllb_chinese_yue,The Obama family tree,0.0
28,1,bt_nllb_french,Obama family tree,0.0
29,1,bt_nllb_german,Obama family tree,0.0
30,1,bt_nllb_korean,The Obama family tree,0.0
31,1,bt_nllb_malay,Obama family tree,0.0
32,1,bt_nllb_persian,The Obama family tree,0.0
33,1,bt_nllb_russian,The Tree of Joy,0.0
34,1,bt_nllb_swahili,Obama family tree,0.0
35,1,bt_nllb_tamil,The Obama Family Tree,0.0
36,1,conceptnet.topn3.replace,Barack Hussein Obama obamaton obamacrat home group branch squirrel wood,0.0
37,1,docluster.topn10.3.bm25,obama family tree death cellulos carbon restringido video life trivia organ,0.0
38,1,docluster.topn10.3.qld,obama family tree git object trivia,0.0
39,1,glove.topn3.replace,barack mccain father pine,0.0
40,1,original,obama family tree,0.0
41,1,relevancefeedback.topn10.bm25,obama family tree death cellulos carbon restringido video life trivia organ,0.0
42,1,relevancefeedback.topn10.qld,obama family tree git object trivia,0.0
43,1,rm3.topn10.10.0.5.bm25,obama family tree,0.0
44,1,rm3.topn10.10.0.5.qld,obama family tree,0.0
45,1,sensedisambiguation,obama family syndicate tree,0.0
46,1,stem.krovetz,obama family tree,0.0
47,1,stem.lovins,obam fam tre,0.0
48,1,stem.paicehusk,obam famy tre,0.0
49,1,stem.porter,obama famili tree,0.0
50,1,stem.porter2,obama famili tree,0.0
51,1,stem.sstemmer,obama family tree,0.0
52,1,stem.trunc4,obam fami tree,0.0
53,1,stem.trunc5,obama famil tree,0.0
54,1,termluster.topn5.3.bm25,obama family tree death cellulos carbon restringido video,0.0
55,1,termluster.topn5.3.qld,obama family tree git object,0.0
56,1,thesaurus.topn3,obama family tree,0.0
57,1,thesaurus.topn3.replace,obama family tree,0.0
58,1,wordnet.topn3,obama family tree sept crime syndicate kinsperson corner,0.0
59,1,wordnet.topn3.replace,obama sept crime syndicate kinsperson corner,0.0
60,10,-1,cheap internet,0.25
61,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,1.0
62,10,word2vec.topn3.replace,inexpensive low cost online intenet,1.0
63,10,bt_bing_arabic,Cheap internet,0.25
64,10,bt_bing_chinese_simplified,Cheap internet,0.25
65,10,bt_bing_french,Cheap Internet,0.25
66,10,bt_bing_german,Cheap internet,0.25
67,10,bt_bing_korean,Cheap Internet,0.25
68,10,bt_bing_malay,Cheap Internet,0.25
69,10,bt_bing_persian,Cheap Internet,0.25
70,10,bt_bing_russian,Cheap internet,0.25
71,10,bt_bing_swahili,Cheap Internet,0.25
72,10,bt_bing_tamil,Cheap internet,0.25
73,10,bt_nllb_arabic,The internet is cheap,0.25
74,10,bt_nllb_chinese_yue,Cheap Internet,0.25
75,10,bt_nllb_french,The Internet is Cheap,0.25
76,10,bt_nllb_german,cheap internet,0.25
77,10,bt_nllb_korean,Cheap Internet,0.25
78,10,bt_nllb_malay,cheap internet,0.25
79,10,bt_nllb_persian,The Internet is cheap,0.25
80,10,bt_nllb_russian,cheap internet,0.25
81,10,bt_nllb_swahili,cheap internet,0.25
82,10,bt_nllb_tamil,Cheap Internet,0.25
83,10,original,cheap internet,0.25
84,10,rm3.topn10.10.0.5.bm25,cheap internet,0.25
85,10,rm3.topn10.10.0.5.qld,cheap internet,0.25
86,10,sensedisambiguation,cheap internet,0.25
87,10,sensedisambiguation.replace,cheap internet,0.25
88,10,stem.krovetz,cheap internet,0.25
89,10,stem.lovins,cheap internet,0.25
90,10,stem.paicehusk,cheap internet,0.25
91,10,stem.porter,cheap internet,0.25
92,10,stem.porter2,cheap internet,0.25
93,10,stem.sstemmer,cheap internet,0.25
94,10,thesaurus.topn3,cheap internet,0.25
95,10,thesaurus.topn3.replace,cheap internet,0.25
96,10,glove.topn3,cheap internet inexpensive cheaper web online,0.0435
97,10,anchor.topn3,cheap internet gar restrictions ot nowiki ot installshield theory censorship,0.0
98,10,anchor.topn3.replace,gar restrictions ot nowiki ot installshield theory censorship,0.0
99,10,bertqe.topn10.bm25,dom tutori dom home dom,0.0
100,10,bertqe.topn10.qld,format rfc txt rfc txt pdf,0.0
101,10,conceptluster.topn5.3.bm25,cheap internet generic top level domain internet death cellulos carbon restringido video,0.0
102,10,conceptluster.topn5.3.qld,cheap internet generic top level domain internet git object,0.0
103,10,conceptnet.topn3,cheap internet sale dirt cheap,0.0
104,10,conceptnet.topn3.replace,sale dirt cheap internet,0.0
105,10,docluster.topn10.3.bm25,cheap internet death cellulos carbon restringido video life trivia obama organ,0.0
106,10,docluster.topn10.3.qld,cheap internet git object trivia,0.0
107,10,glove.topn3.replace,inexpensive cheaper web online,0.0
108,10,relevancefeedback.topn10.bm25,cheap internet furnitur you onlin dom tip,0.0
109,10,relevancefeedback.topn10.qld,cheap internet string furnitur object,0.0
110,10,stem.trunc4,chea inte,0.0
111,10,stem.trunc5,cheap inter,0.0
112,10,tagmee.topn3,cheap internet Generic top level domain Internet,0.0
113,10,tagmee.topn3.replace,Generic top level domain Internet,0.0
114,10,termluster.topn5.3.bm25,cheap internet death cellulos carbon restringido video,0.0
115,10,termluster.topn5.3.qld,cheap internet git object,0.0
116,10,wiki.topn3,cheap internet sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
117,10,wiki.topn3.replace,sponsored top level domain info sunrisperiod generic top level domain internet introductions virtual reality internet,0.0
118,10,wordnet.topn3,cheap internet gaudy loud brassy net cyberspace,0.0
119,10,wordnet.topn3.replace,gaudy loud brassy net cyberspace,0.0
120,11,-1,gmat prep classes,0.5
121,11,anchor.topn3,gmat prep classes al mojzel baico crosswat preparatori prep oahu,1.0
122,11,bertqe.topn10.bm25,studi guid gmat mathprep corpor,1.0
123,11,bertqe.topn10.qld,mlic manhattan gmat prep class,1.0
124,11,bt_bing_malay,GMAT preparatory classes,1.0
125,11,bt_bing_persian,GMAT Preparatory Classes,1.0
126,11,bt_bing_russian,GMAT Preparation Classes,1.0
127,11,bt_bing_tamil,GMAT Preparation Classes,1.0
128,11,bt_nllb_malay,Gmat preparation class,1.0
129,11,bt_nllb_swahili,a preparation class for gmat,1.0
130,11,conceptluster.topn5.3.qld,gmat prep classes preschool graduate management admission test social class git object,1.0
131,11,docluster.topn10.3.qld,gmat prep classes git object trivia,1.0
132,11,sensedisambiguation,gmat prep homework classes course,1.0
133,11,termluster.topn5.3.qld,gmat prep classes git object,1.0
134,11,wordnet.topn3,gmat prep classes homework preparation form assort separate,1.0
135,11,bt_bing_arabic,GMAT Prep Classes,0.5
136,11,bt_bing_chinese_simplified,GMAT Prep Class,0.5
137,11,bt_bing_korean,GMAT Prep Classes,0.5
138,11,bt_bing_swahili,GMAT Prep Classes,0.5
139,11,bt_nllb_korean,Gmat prep class,0.5
140,11,conceptluster.topn5.3.bm25,gmat prep classes social class preschool graduate management admission test death cellulos carbon restringido video,0.5
141,11,docluster.topn10.3.bm25,gmat prep classes death cellulos carbon restringido video life trivia obama organ,0.5
142,11,original,gmat prep classes,0.5
143,11,relevancefeedback.topn10.bm25,gmat prep classes,0.5
144,11,relevancefeedback.topn10.qld,gmat prep classes,0.5
145,11,rm3.topn10.10.0.5.bm25,gmat prep classes,0.5
146,11,rm3.topn10.10.0.5.qld,gmat prep classes,0.5
147,11,stem.krovetz,gmat prep class,0.5
148,11,stem.paicehusk,gmat prep class,0.5
149,11,stem.porter,gmat prep class,0.5
150,11,stem.porter2,gmat prep class,0.5
151,11,stem.sstemmer,gmat prep classe,0.5
152,11,stem.trunc5,gmat prep class,0.5
153,11,tagmee.topn3,gmat prep classes Graduate Management Admission Test Preschool Social class,0.5
154,11,termluster.topn5.3.bm25,gmat prep classes death cellulos carbon restringido video,0.5
155,11,thesaurus.topn3,gmat prep classes,0.5
156,11,thesaurus.topn3.replace,gmat prep classes,0.5
157,11,word2vec.topn3,gmat prep classes courses,0.5
158,11,bt_bing_french,GMAT Prep Courses,0.3333
159,11,bt_nllb_german,Preparation hours for the Gmat study,0.3333
160,11,glove.topn3,gmat prep classes s a t gre bdb k students,0.3333
161,11,stem.lovins,gmat prep clas,0.3333
162,11,stem.trunc4,gmat prep clas,0.3333
163,11,word2vec.topn3.replace,gmat prep courses,0.3333
164,11,bt_bing_german,GMAT Preparation Courses,0.25
165,11,sensedisambiguation.replace,gmat homework course,0.25
166,11,bt_nllb_tamil,Gmat ready classes,0.1667
167,11,conceptnet.topn3,gmat prep classes graduate school entrance test homework prepper a gymnasium school a classroom,0.1
168,11,wordnet.topn3.replace,gmat homework preparation form assort separate,0.0526
169,11,anchor.topn3.replace,al mojzel baico crosswat preparatori prep oahu classes,0.013
170,11,bt_nllb_arabic,Teacher preparation classes,0.0
171,11,bt_nllb_chinese_yue,Pre K through grade,0.0
172,11,bt_nllb_french,Preparatory courses for secondary education,0.0
173,11,bt_nllb_persian,Preparatory classes,0.0
174,11,bt_nllb_russian,Classes on preparation for gymnasium,0.0
