qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
302	-1	Poliomyelitis and Post-Polio	0.5115
303	-1	Hubble Telescope Achievements	0.1915
304	-1	Endangered Species (Mammals)	0.037
305	-1	Most Dangerous Vehicles	0.0044
306	-1	African Civilian Deaths	0.0527
307	-1	New Hydroelectric Projects	0.2124
308	-1	Implant Dentistry	0.2812
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.1362
311	-1	Industrial Espionage	0.2058
312	-1	Hydroponics	0.8553
313	-1	Magnetic Levitation-Maglev	0.768
314	-1	Marine Vegetation	0.0019
315	-1	Unexplained Highway Accidents	0.0035
316	-1	Polygamy Polyandry Polygyny	0.579
317	-1	Unsolicited Faxes	0.5036
318	-1	Best Retirement Country	0.0061
319	-1	New Fuel Sources	0.0564
320	-1	Undersea Fiber Optic Cable	0.0462
321	-1	Women in Parliaments	0.1544
322	-1	International Art Crime	0.0
323	-1	Literary/Journalistic Plagiarism	0.2354
324	-1	Argentine/British Relations	0.2779
325	-1	Cult Lifestyles	0.0471
326	-1	Ferry Sinkings	0.6066
327	-1	Modern Slavery	0.0613
328	-1	Pope Beatifications	0.6622
329	-1	Mexican Air Pollution	0.0956
330	-1	Iran-Iraq Cooperation	0.0542
331	-1	World Bank Criticism	0.1496
332	-1	Income Tax Evasion	0.005
333	-1	Antibiotics Bacteria Disease	0.2494
334	-1	Export Controls Cryptography	0.0556
335	-1	Adoptive Biological Parents	0.3
336	-1	Black Bear Attacks	0.0882
337	-1	Viral Hepatitis	0.163
338	-1	Risk of Aspirin	0.4167
339	-1	Alzheimer's Drug Treatment	0.175
340	-1	Land Mine Ban	0.0594
341	-1	Airport Security	0.2002
342	-1	Diplomatic Expulsion	0.1389
343	-1	Police Deaths	0.004
344	-1	Abuses of E-Mail	0.278
345	-1	Overseas Tobacco Sales	0.0642
346	-1	Educational Standards	0.0318
347	-1	Wildlife Extinction	0.0328
348	-1	Agoraphobia	0.81
349	-1	Metabolism	0.179
350	-1	Health and Computer Terminals	0.0411
351	-1	Falkland petroleum exploration	0.3687
352	-1	British Chunnel impact	0.0456
353	-1	Antarctica exploration	0.1511
354	-1	journalist risks	0.0154
355	-1	ocean remote sensing	0.1108
356	-1	postmenopausal estrogen Britain	0.0062
357	-1	territorial waters dispute	0.0712
358	-1	blood-alcohol fatalities	0.137
359	-1	mutual fund predictors	0.0047
360	-1	drug legalization benefits	0.1241
361	-1	clothing sweatshops	0.3843
362	-1	human smuggling	0.0872
363	-1	transportation tunnel disasters	0.0678
364	-1	rabies	0.5725
365	-1	El Nino	0.6161
366	-1	commercial cyanide uses	0.3183
367	-1	piracy	0.0153
368	-1	in vitro fertilization	0.4148
369	-1	anorexia nervosa bulimia	0.2712
370	-1	food/drug laws	0.0014
371	-1	health insurance holistic	0.0
372	-1	Native American casino	0.0776
373	-1	encryption equipment export	0.0854
374	-1	Nobel prize winners	0.0975
375	-1	hydrogen energy	0.2205
376	-1	World Court	0.0033
377	-1	cigar smoking	0.2758
