,qid,order,query,bm25.recip_rank
0,1,-1,obama family tree,0.5
1,10,-1,cheap internet,0.25
2,10,word2vec.topn3,cheap internet inexpensive low cost online intenet,1.0
3,10,word2vec.topn3.replace,inexpensive low cost online intenet,0.5
4,11,-1,gmat prep classes,1.0
5,12,-1,djs,0.3333
6,12,sensedisambiguation,djs disk jockey,0.5
7,12,sensedisambiguation.replace,disk jockey,0.5
8,12,wordnet.topn3,djs disc jockey disk jockey,0.5
9,12,wordnet.topn3.replace,disc jockey disk jockey,0.5
10,13,-1,map,0.0204
11,14,-1,dinosaurs,0.0476
12,14,conceptnet.topn3,dinosaurs ancient reptiles,1.0
13,14,glove.topn3,dinosaurs reptiles,0.3333
14,14,conceptnet.topn3.replace,ancient reptiles,0.1111
15,15,-1,espn sports,1.0
16,16,-1,arizona game and fish,1.0
17,17,-1,poker tournaments,0.1429
18,18,-1,wedding budget calculator,0.3333
19,18,bertqe.topn10.qld,wed plan wed budget planner,1.0
20,18,bt_nllb_arabic,Accounting for the wedding budget,1.0
21,18,conceptnet.topn3,wedding budget calculator ring fund adding up numbers,1.0
22,18,wordnet.topn3,wedding budget calculator wedding party wedding ceremony hymeneals reckoner estimator calculating machine,1.0
23,18,wordnet.topn3.replace,wedding party wedding ceremony hymeneals budget reckoner estimator calculating machine,1.0
24,18,relevancefeedback.topn10.qld,wedding budget calculator calcul expens wed you,0.5
25,19,-1,the current,0.0
26,2,-1,french lick resort and casino,1.0
27,20,-1,defender,0.0
28,21,-1,volvo,0.3333
29,21,bertqe.topn10.qld,s super saloon archiv volvo,1.0
30,22,-1,rick warren,1.0
31,23,-1,yahoo,0.1
32,23,wiki.topn3,yahoo alibaba group websites company companies based sunnyvale california yahoo,0.2
33,23,wiki.topn3.replace,alibaba group websites company companies based sunnyvale california yahoo,0.1429
34,24,-1,diversity,0.125
35,25,-1,euclid,0.5
36,25,relevancefeedback.topn10.bm25,euclid video i geometri,1.0
37,26,-1,lower heart rate,1.0
38,27,-1,starbucks,0.0625
39,27,bt_nllb_malay,Starbucks is a great place to start,0.5
40,27,word2vec.topn3,starbucks mcdonalds McDs,0.1667
41,27,wiki.topn3,starbucks retail companies established burger king pike place market starbucks,0.0909
42,28,-1,inuyasha,0.3333
43,28,anchor.topn3,inuyasha sesshomaru totosai kikyo,1.0
44,28,anchor.topn3.replace,sesshomaru totosai kikyo,1.0
45,28,relevancefeedback.topn10.qld,inuyasha movi video game,0.5
46,29,-1,ps 2 games,0.0526
47,29,glove.topn3,ps games brmsg brnws play,0.0667
48,3,-1,getting organized,1.0
49,30,-1,diabetes education,1.0
50,31,-1,atari,1.0
51,32,-1,website design hosting,1.0
52,33,-1,elliptical trainer,0.3333
53,33,bertqe.topn10.bm25,sale ellipt trainer from ellipt,1.0
54,33,bertqe.topn10.qld,ellipt trainer review smooth,1.0
55,33,bt_bing_french,elliptical cross trainer,1.0
56,33,bt_bing_malay,Ellipsed trainer,1.0
57,33,relevancefeedback.topn10.qld,elliptical trainer ellipt treadmil,1.0
58,33,stem.krovetz,elliptic train,1.0
59,33,stem.paicehusk,ellipt train,1.0
60,33,conceptluster.topn5.3.qld,elliptical trainer elliptical trainer standard student object,0.5
61,34,-1,cell phones,0.1111
62,35,-1,hoboken,0.5
63,35,tagmee.topn3,hoboken Hoboken New Jersey,1.0
