qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	szechwan dish food cuisine	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	pred.bt.1	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.10	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.2	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.3	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.4	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.5	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.6	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.7	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.8	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009053	pred.bt.9	finland car industr manufacturer saab sisu	0.5
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009062	-1	social network group selection	0.1
INEX_LD-2009063	-1	d-day normandy invasion	1.0
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2
INEX_LD-2009074	pred.bt.1	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.10	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.2	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.3	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.4	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.5	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.6	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.7	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.8	web rank scor algorithm	1.0
INEX_LD-2009074	pred.bt.9	web rank scor algorithm	1.0
INEX_LD-2009096	-1	eiffel	1.0
INEX_LD-2009111	-1	europe solar power facility	0.5
INEX_LD-2009111	pred.bt.1	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.10	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.2	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.3	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.4	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.5	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.6	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.7	european union solar world power facility	1.0
INEX_LD-2009111	pred.bt.8	european union solar world power facility	1.0
