,qid,order,query,bm25.recip_rank
0,701,-1,U.S. oil industry history,0.125
1,701,bt_bing_arabic,History of the American oil industry,1.0
2,701,bt_nllb_arabic,The history of the American oil industry,1.0
3,701,bt_nllb_french,The history of the American oil industry,1.0
4,701,bt_nllb_german,The history of the US oil industry,1.0
5,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,1.0
6,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.5
7,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.5
8,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.5
9,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.25
10,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.125
11,701,bt_bing_chinese_simplified,History of the U S oil industry,0.125
12,701,bt_bing_french,History of the U S Oil Industry,0.125
13,701,bt_bing_german,History of the U S Oil Industry,0.125
14,701,bt_bing_korean,History of the U S Oil Industry,0.125
15,701,bt_bing_malay,History of the U S oil industry,0.125
16,701,bt_bing_persian,History of the U S Oil Industry,0.125
17,701,bt_bing_russian,History of the U S Oil Industry,0.125
18,701,bt_bing_swahili,History of the U S oil industry,0.125
19,701,bt_bing_tamil,History of the U S oil industry,0.125
20,701,bt_nllb_chinese_yue,The history of the U S oil industry,0.125
21,701,bt_nllb_korean,The history of the U S oil industry,0.125
22,701,bt_nllb_malay,History of the U S oil industry,0.125
23,701,bt_nllb_persian,The history of the U S oil industry,0.125
24,701,bt_nllb_russian,The history of the U S oil industry,0.125
25,701,bt_nllb_swahili,The history of the U S oil industry,0.125
26,701,bt_nllb_tamil,The history of the U S oil industry,0.125
27,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.125
28,701,original,U S oil industry history,0.125
29,701,stem.krovetz,u s oil industry history,0.125
30,701,stem.porter,u s oil industri histori,0.125
31,701,stem.porter2,u s oil industri histori,0.125
32,701,stem.sstemmer,u s oil industry history,0.125
33,701,tagmee.topn3,u s oil industry history Petroleum,0.125
34,701,thesaurus.topn3,u s oil industry history,0.125
35,701,thesaurus.topn3.replace,u s oil industry history,0.125
36,701,word2vec.topn3,u s oil industry history usa u s american petroleum industy history,0.125
37,701,bertqe.topn10.qld,e nvir onment al dv,0.0714
38,701,sensedisambiguation,U S united states government oil vegetable oil industry history,0.0526
39,701,glove.topn3.replace,us u s crude petroleum business historical ever,0.0417
40,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.0323
41,701,conceptnet.topn3,u s oil industry history liquid black fuel commercial enterprise past subject school,0.0286
42,701,word2vec.topn3.replace,usa u s american petroleum industy history,0.0256
43,701,glove.topn3,u s oil industry history us u s crude petroleum business historical ever,0.0233
44,701,rm3.topn10.10.0.5.bm25,u s oil industry history energi opec,0.02
45,701,stem.paicehusk,u s oil industry hist,0.0133
46,701,anchor.topn3,u s oil industry history us c alphabet elektrivõrgud sooju recuyel seeg théodrat,0.0
47,701,anchor.topn3.replace,us c alphabet elektrivõrgud sooju industry recuyel seeg théodrat,0.0
48,701,conceptnet.topn3.replace,u s liquid black fuel commercial enterprise past subject school,0.0
49,701,sensedisambiguation.replace,united states government vegetable oil industry history,0.0
50,701,stem.lovins,u s oil industr histor,0.0
51,701,stem.trunc4,u s oil indu hist,0.0
52,701,stem.trunc5,u s oil indus histo,0.0
53,701,tagmee.topn3.replace,Petroleum,0.0
54,701,wiki.topn3.replace,glassforming liquids melts oil natural gas petroleum,0.0
55,701,wordnet.topn3.replace,United States government USA US anoint vegetable oil crude manufacture story chronicle,0.0
56,702,-1,Pearl farming,1.0
57,702,bt_bing_chinese_simplified,Pearl farming,1.0
58,702,bt_bing_french,Pearl farming,1.0
59,702,bt_bing_german,Pearl farming,1.0
60,702,bt_bing_korean,Pearl Farming,1.0
61,702,bt_bing_malay,Pearl farming,1.0
62,702,bt_bing_russian,Pearl farming,1.0
63,702,bt_bing_swahili,Pearl farming,1.0
64,702,bt_bing_tamil,Pearl culture,1.0
65,702,bt_nllb_chinese_yue,Pearl farming,1.0
66,702,bt_nllb_german,Pearl farming,1.0
67,702,bt_nllb_korean,Pearl farming,1.0
68,702,bt_nllb_malay,Pearl farming,1.0
69,702,bt_nllb_russian,Pearl farming,1.0
70,702,bt_nllb_swahili,The pearl farm,1.0
71,702,bt_nllb_tamil,pearl farming,1.0
72,702,conceptluster.topn5.3.qld,pearl farming,1.0
73,702,docluster.topn10.3.qld,pearl farming farm,1.0
74,702,original,Pearl farming,1.0
75,702,sensedisambiguation,Pearl farming,1.0
76,702,sensedisambiguation.replace,pearl farming,1.0
77,702,stem.krovetz,pearl farming,1.0
78,702,stem.lovins,pearl farm,1.0
79,702,stem.paicehusk,pearl farm,1.0
80,702,stem.porter,pearl farm,1.0
81,702,stem.porter2,pearl farm,1.0
82,702,stem.sstemmer,pearl farming,1.0
83,702,tagmee.topn3,pearl farming Pearl,1.0
84,702,tagmee.topn3.replace,Pearl,1.0
85,702,termluster.topn5.3.qld,pearl farming product fish,1.0
86,702,thesaurus.topn3,pearl farming,1.0
87,702,thesaurus.topn3.replace,pearl farming,1.0
88,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,1.0
89,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.5
90,702,word2vec.topn3,pearl farming necklace agriculture agricultural,0.5
91,702,wordnet.topn3,pearl farming drop ivory off white agricultural land raise,0.5
92,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.25
93,702,anchor.topn3,pearl farming nanyou namro madlen,0.2
94,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.1667
95,702,bt_nllb_arabic,The pearl planting,0.0769
96,702,bt_bing_arabic,Pearl cultivation,0.0588
97,702,bt_nllb_french,Cultivation of pearls,0.0588
98,702,relevancefeedback.topn10.qld,pearl farming japan farm jerri option irrig,0.0588
99,702,stem.trunc5,pearl farmi,0.0323
100,702,glove.topn3,pearl farming harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0294
101,702,conceptnet.topn3,pearl farming land crop,0.0256
102,702,conceptnet.topn3.replace,pearl land crop,0.0222
103,702,bt_bing_persian,Pearl Agriculture,0.0104
104,702,anchor.topn3.replace,nanyou namro madlen farming,0.0
105,702,bertqe.topn10.bm25,potato program regulatori test servic,0.0
106,702,bertqe.topn10.qld,seed farm,0.0
107,702,bt_nllb_persian,The Pearl of the Caribbean,0.0
108,702,glove.topn3.replace,harbor http www oklahomacitynationalmemorial org agricultural farmers,0.0
109,702,stem.trunc4,pear farm,0.0
110,702,word2vec.topn3.replace,necklace agriculture agricultural,0.0
111,702,wordnet.topn3.replace,off white bead agricultural agrarian,0.0
112,704,-1,Green party political views,1.0
113,704,bt_bing_arabic,Political views of the Green Party,1.0
114,704,bt_bing_chinese_simplified,The Greens political views,1.0
115,704,bt_bing_french,Green Party Political Views,1.0
116,704,bt_bing_german,Political views of the Greens,1.0
117,704,bt_bing_korean,Political views of the Green Party,1.0
118,704,bt_bing_malay,Green party political views,1.0
119,704,bt_bing_russian,Political views of the Green Party,1.0
120,704,bt_bing_swahili,Political views of the Green Party,1.0
121,704,bt_bing_tamil,Green Party political views,1.0
122,704,bt_nllb_arabic,The political views of the Green Party,1.0
123,704,bt_nllb_french,The political views of the Green Party,1.0
124,704,bt_nllb_german,Political views of the Greens,1.0
125,704,bt_nllb_korean,The political views of the Green Party,1.0
126,704,bt_nllb_malay,Green Party political views,1.0
127,704,bt_nllb_persian,The political views of the Green Party,1.0
128,704,bt_nllb_russian,Political views of the Green Party,1.0
129,704,bt_nllb_swahili,The political views of the Green Party,1.0
130,704,bt_nllb_tamil,Green Party political views,1.0
131,704,docluster.topn10.3.qld,green party political views parti,1.0
132,704,original,Green party political views,1.0
133,704,relevancefeedback.topn10.qld,green party political views parti,1.0
134,704,rm3.topn10.10.0.5.qld,green party political views parti,1.0
135,704,sensedisambiguation,Green party political views view,1.0
136,704,sensedisambiguation.replace,green party political view,1.0
137,704,stem.krovetz,green party politics view,1.0
138,704,stem.paicehusk,green party polit view,1.0
139,704,stem.porter,green parti polit view,1.0
140,704,stem.porter2,green parti polit view,1.0
141,704,stem.sstemmer,green party political view,1.0
142,704,stem.trunc5,green party polit views,1.0
143,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,1.0
144,704,thesaurus.topn3,green party political views,1.0
145,704,thesaurus.topn3.replace,green party political views,1.0
146,704,wiki.topn3,green party political views natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,1.0
147,704,conceptluster.topn5.3.qld,green party political views ideology politics political party green party united states,0.5
148,704,tagmee.topn3,green party political views Green Party of the United States Political party Politics Ideology,0.5
149,704,wiki.topn3.replace,natural law party united states green national committee maria elizabeth muñoz green party united states political parties portal politics dieter nohlen political party society politics political science politics schools thought social equality egalitarianism ideology,0.5
150,704,tagmee.topn3.replace,Green Party of the United States Political party Politics Ideology,0.3333
151,704,bt_bing_persian,The Green Party s Political Views,0.25
152,704,bt_nllb_chinese_yue,The Green Party s political views,0.25
153,704,word2vec.topn3,green party political views yellow blue red party economic social socio political viewpoints viewpoint,0.1667
154,704,anchor.topn3,green party political views green windi treekrem k cup,0.1429
155,704,stem.lovins,green part polit view,0.0909
156,704,glove.topn3,green party political views red purple democratic politicians opinions,0.0476
157,704,wordnet.topn3,green party political views immature super C honey oil political party company regard take in reckon,0.0476
158,704,anchor.topn3.replace,green windi treekrem k cup party political views,0.04
159,704,wordnet.topn3.replace,commons unripened viridity company political party political perspective sentiment panorama,0.0345
160,704,word2vec.topn3.replace,yellow blue red party economic social socio political viewpoints viewpoint,0.0217
161,704,rm3.topn10.10.0.5.bm25,green party political views indonesia parti polit,0.0156
162,704,bertqe.topn10.bm25,n warren lisa chac n,0.0
163,704,bertqe.topn10.qld,n warren lisa chac n,0.0
164,704,conceptnet.topn3,green party political views apple plant a color celebration gathering birthday,0.0
165,704,conceptnet.topn3.replace,apple plant a color celebration gathering birthday political views,0.0
166,704,glove.topn3.replace,red purple democratic politicians opinions,0.0
167,704,stem.trunc4,gree part poli view,0.0
168,705,-1,Iraq foreign debt reduction,1.0
169,705,bt_bing_arabic,Iraq s external debt reduction,1.0
170,705,bt_bing_chinese_simplified,Iraq s external debt relief,1.0
171,705,bt_bing_french,Reduction of Iraq s external debt,1.0
172,705,bt_bing_german,Reduction of Iraq s external debt,1.0
173,705,bt_bing_persian,Reducing Iraq s External Debt,1.0
174,705,bt_bing_russian,Reduction of Iraq s external debt,1.0
175,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,1.0
176,705,bt_nllb_chinese_yue,Iraq s foreign debt is falling,1.0
177,705,bt_nllb_french,Reduction of Iraq s external debt,1.0
178,705,bt_nllb_german,Reduction of foreign debt in Iraq,1.0
179,705,bt_nllb_malay,Reduction of external debt to Iraq,1.0
180,705,bt_nllb_russian,Reducing Iraq s external debt,1.0
181,705,docluster.topn10.3.qld,iraq foreign debt reduction,1.0
182,705,glove.topn3,iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing,1.0
183,705,original,Iraq foreign debt reduction,1.0
184,705,relevancefeedback.topn10.qld,iraq foreign debt reduction develop,1.0
185,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,1.0
186,705,rm3.topn10.10.0.5.qld,iraq foreign debt reduction develop,1.0
187,705,sensedisambiguation,Iraq foreign debt reduction,1.0
188,705,sensedisambiguation.replace,iraq foreign debt reduction,1.0
189,705,stem.krovetz,iraq foreign debt reduction,1.0
190,705,stem.porter,iraq foreign debt reduct,1.0
191,705,stem.porter2,iraq foreign debt reduct,1.0
192,705,stem.sstemmer,iraq foreign debt reduction,1.0
193,705,stem.trunc5,iraq forei debt reduc,1.0
194,705,tagmee.topn3,iraq foreign debt reduction Iraq External debt Debt,1.0
195,705,tagmee.topn3.replace,Iraq External debt Debt,1.0
196,705,termluster.topn5.3.qld,iraq foreign debt reduction debt depart state depart iraq state unit state servic,1.0
197,705,thesaurus.topn3,iraq foreign debt reduction,1.0
198,705,thesaurus.topn3.replace,iraq foreign debt reduction,1.0
199,705,word2vec.topn3,iraq foreign debt reduction iraq afghanistan iraqi domestic international indebtedness reducing,1.0
200,705,word2vec.topn3.replace,iraq afghanistan iraqi domestic international indebtedness reducing,1.0
201,705,stem.lovins,iraq foreign debt reduc,0.5
202,705,stem.paicehusk,iraq foreign debt reduc,0.5
203,705,bt_bing_korean,Reduction of Iraq s foreign debt,0.3333
204,705,bt_bing_malay,Reduction of Iraq s foreign debt,0.3333
205,705,bt_nllb_korean,Iraq s foreign debt reduction,0.3333
206,705,bt_nllb_tamil,Iraq s foreign debt reduction,0.3333
207,705,glove.topn3.replace,iraqi baghdad overseas ministry repay reducing,0.3333
208,705,bt_bing_swahili,Reducing Iraq s foreign debt,0.25
209,705,bt_nllb_persian,Reducing Iraq s foreign debt,0.25
210,705,bt_nllb_swahili,Reducing Iraq s foreign debt,0.25
211,705,conceptluster.topn5.3.qld,iraq foreign debt reduction debt external debt,0.25
212,705,wiki.topn3,iraq foreign debt reduction iraq mesopotamia syria iraq internal debt portfolio investment fixed investment external debt credit finance collateral finance interest debt,0.25
213,705,wordnet.topn3,iraq foreign debt reduction Irak Al Iraq extraneous alien simplification step down,0.0833
214,705,bt_nllb_arabic,Cut the foreign debt in Iraq,0.0769
