qid	order	query	bm25.map
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.491
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	0.4396
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.4075
100653	bt_nllb_persian	How do I get the mail from San Diego City that s been sent to me	0.4021
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	0.392
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	0.3914
100653	bt_nllb_german	How do I get copies of the San Diego letter of credit	0.3761
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.349
100653	bt_nllb_tamil	How can I get copies of congratulatory letters sent to me from San Diego	0.2976
1015624	-1	What's the Definition of a bloody mary?	0.7116
1015624	bt_nllb_german	What s the definition of a fucking Mary	0.0013
1015624	bt_nllb_french	What s the definition of a holy Mary	0.0011
1015624	bt_nllb_chinese_yue	What is the definition of a virgin	0.0
1017690	-1	what is the history of indian music?	0.5752
1035857	-1	Why are liberals so quick to defend Saddam?	0.3804
1035857	bt_nllb_french	Why are the Liberals defending Saddam so fast	0.3292
1035857	bt_nllb_chinese_yue	Why did liberals defend Saddam so quickly	0.2881
1035857	bt_nllb_russian	Why are the liberals protecting Saddam so quickly	0.1661
1035857	bt_nllb_persian	Why are the liberals defending my voice so quickly	0.0382
103830	-1	Why do man Arabs hate the west ?	0.496
103830	bt_nllb_chinese_yue	Why do Arabs hate the West	0.4904
103830	bt_nllb_french	Why do the Arabs hate the West	0.4904
103830	bt_nllb_german	Why do the Arabs hate the West	0.4904
103830	bt_nllb_korean	Why do Arabs hate the West	0.4904
103830	bt_nllb_malay	Why do Arabs hate the West	0.4904
103830	bt_nllb_persian	Why do Arabs hate the West	0.4904
103830	bt_nllb_russian	Why do the Arabs hate the West	0.4904
103830	bt_nllb_swahili	Why do the Arabs hate the West	0.4904
103830	bt_nllb_tamil	Why do the Arabs hate the West	0.4904
103830	bt_nllb_arabic	Why are Arabs turning to the West	0.2085
1063812	-1	How do I grow taller?	0.4152
1063812	bt_nllb_malay	How can I be taller	0.1616
1063812	bt_nllb_swahili	How can I be taller	0.1616
1063812	bt_nllb_persian	How can I get taller	0.1193
1063812	bt_nllb_arabic	How do I get to the height	0.0048
1063812	bt_nllb_french	How can I get bigger	0.0
1063812	bt_nllb_german	How do I get bigger	0.0
1063812	bt_nllb_russian	How can I grow up	0.0
1063812	bt_nllb_tamil	How can I get high	0.0
1077370	-1	Why do only Humans have Finger prints?	0.5316
1077370	bt_nllb_arabic	Why do only humans have fingerprints	0.1149
1077370	bt_nllb_tamil	Why do only humans have fingerprints	0.1149
1077370	bt_nllb_chinese_yue	Why are only humans fingerprinted	0.1038
1077370	bt_nllb_french	Why are only humans fingerprinted	0.1038
1077370	bt_nllb_malay	Why are only humans fingerprinted	0.1038
1077370	bt_nllb_swahili	Why are only humans fingerprinted	0.1038
1077370	bt_nllb_korean	Why is it that only humans have fingerprints	0.1025
1077370	bt_nllb_russian	Why are only people having fingerprints	0.0441
1077370	bt_nllb_german	Why are only people fingerprinted	0.0351
1077370	bt_nllb_persian	Why do only humans have fingers	0.0018
1082595	-1	what is meant by mobile technology?	0.4871
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.5912
1119420	bt_nllb_swahili	Well black light is UV light So if it s black how can it be light	0.5904
1119420	bt_nllb_german	The black light is UV light so if it s black how can it be light	0.5896
1119420	bt_nllb_persian	So black light is UV light so if it s black how can it be light	0.5498
1119420	bt_nllb_french	Black light is UV If it s black how can it be light	0.5354
1119420	bt_nllb_chinese_yue	Black light is ultraviolet light so if it s black why is it light	0.2914
1119420	bt_nllb_russian	Well black light is ultraviolet light so if it s black how can it be light	0.2549
1119420	bt_nllb_korean	So black light is ultraviolet so if it s black how can it be light	0.204
1119420	bt_nllb_malay	So if it s black how can it be light	0.0801
1119420	bt_nllb_tamil	So if it s black how can it be light	0.0801
1152934	-1	Why don't fat people have to pay more for air travel?	0.2979
1152934	bt_nllb_persian	Why don t fat people have to pay so much for air travel	0.2838
1152934	bt_nllb_korean	Why don t obese people pay more for airplanes	0.2532
1152934	bt_nllb_french	Why don t the big guys pay more for the thefts	0.2042
1152934	bt_nllb_chinese_yue	Why don t obese people spend more on planes	0.1977
1152934	bt_nllb_swahili	Why should older people not pay more for air travel	0.0657
1152934	bt_nllb_tamil	Why do fat people not have to pay more for air travel	0.0606
1152934	bt_nllb_arabic	Why shouldn t fat people be allowed to pay more to fly	0.0194
1167882	-1	What are the different types of sins and how are they caused?	0.1912
1167882	bt_nllb_arabic	What are the different types of sins and how do they cause them	0.0846
1167882	bt_nllb_german	What are the different kinds of sins and how are they caused	0.045
1167882	bt_nllb_korean	What kind of sin is it and how does it occur	0.034
1167882	bt_nllb_french	What are the different types of sins and how do they result	0.0178
1167882	bt_nllb_persian	What are the different types of sins and how do they result	0.0178
1167882	bt_nllb_chinese_yue	What kind of sin what causes it	0.0129
1167882	bt_nllb_tamil	What is sin and how does it occur	0.0042
1167882	bt_nllb_russian	What are the different sins and how do they occur	0.0026
1167882	bt_nllb_swahili	What are the kinds of sins and how do they result	0.0004
1199639	-1	How to "LOSE"all body fat ?	0.4968
1199639	bt_nllb_french	How do you lose all the body fat	0.4929
1199639	bt_nllb_russian	How do you lose all the body fat	0.4929
1199639	bt_nllb_persian	How do I lose all my body fat	0.4631
1199639	bt_nllb_chinese_yue	How do you lose body fat	0.4619
1199639	bt_nllb_korean	How do you lose all the fat in your body	0.4605
1199639	bt_nllb_german	How can you lose all the body fat	0.4291
1199639	bt_nllb_swahili	How can you lose all body fat	0.4291
1199639	bt_nllb_tamil	How can you lose body fat	0.3938
1199639	bt_nllb_arabic	How do you check all the fat in your body	0.1989
1199639	bt_nllb_malay	How do you MEDIATE all the body fat	0.1984
1254390	-1	how do i deap fry chicken?	0.2462
1254390	bt_nllb_french	How do you fry chicken	0.2303
1254390	bt_nllb_korean	How do you fry chicken	0.2303
1254390	bt_nllb_persian	How do I fry chicken	0.2102
1254390	bt_nllb_russian	How do I bake chicken	0.0136
1254390	bt_nllb_german	How do I make the chicken	0.0077
1254390	bt_nllb_chinese_yue	How do I eat chicken	0.0
1262692	-1	How can I get rid of pimples on my back?	0.2915
1262692	bt_nllb_arabic	How can I get rid of bugs on my back	0.0
1262692	bt_nllb_chinese_yue	How can I get rid of my back	0.0
1262692	bt_nllb_french	How do I get rid of buttons on my back	0.0
1262692	bt_nllb_korean	How do you get rid of this thing on your back	0.0
