qid	order	query	qld.ndcg
701	-1	U.S. oil industry history	0.0615
702	-1	Pearl farming	0.1479
704	-1	Green party political views	0.1567
705	-1	Iraq foreign debt reduction	0.2549
706	-1	Controlling type II diabetes	0.1284
707	-1	Aspirin cancer prevention	0.5656
708	-1	Decorative slate sources	0.3663
709	-1	Horse racing jockey weight	0.677
710	-1	Prostate cancer treatments	0.3479
711	-1	Train station security measures	0.2085
712	-1	Pyramid scheme	0.3531
713	-1	Chesapeake Bay Maryland clean	0.2295
714	-1	License restrictions older drivers	0.3261
715	-1	Schizophrenia drugs	0.2424
716	-1	Spammer arrest sue	0.2265
717	-1	Gifted talented student programs	0.21
718	-1	Controlling acid rain	0.197
719	-1	Cruise ship damage sea life	0.1314
720	-1	Federal welfare reform	0.1376
721	-1	Census data applications	0.0605
722	-1	Iran terrorism	0.513
723	-1	Executive privilege	0.27
724	-1	Iran Contra	0.4552
725	-1	Low white blood cell count	0.2408
726	-1	Hubble telescope repairs	0.3459
727	-1	Church arson	0.5945
728	-1	whales save endangered	0.2191
729	-1	Whistle blower department of defense	0.0289
730	-1	Gastric bypass complications	0.5788
731	-1	Kurds history	0.0953
732	-1	U.S. cheese production	0.0524
733	-1	Airline overbooking	0.5038
734	-1	Recycling successes	0.1898
735	-1	Afghan women condition	0.24
736	-1	location BSE infections	0.286
737	-1	Enron California energy crisis	0.4636
738	-1	Anthrax hoaxes	0.5177
739	-1	Habitat for Humanity	0.1258
740	-1	regulate assisted living Maryland	0.3945
741	-1	Artificial Intelligence	0.1405
742	-1	hedge funds fraud protection	0.4497
743	-1	Freighter ship registration	0.1065
744	-1	Counterfeit ID punishments	0.0
745	-1	Doomsday cults	0.7025
746	-1	Outsource job India	0.5215
747	-1	Library computer oversight	0.1652
748	-1	Nuclear reactor types	0.1649
749	-1	Puerto Rico state	0.3127
750	-1	John Edwards womens issues	0.1858
751	-1	Scrabble Players	0.4385
752	-1	Dam removal	0.3754
753	-1	bullying prevention programs	0.5286
754	-1	domestic adoption laws	0.0987
755	-1	Scottish Highland Games	0.7368
756	-1	Volcanic Activity	0.1704
757	-1	Murals	0.1331
758	-1	Embryonic stem cells	0.3776
759	-1	civil war battle reenactments	0.391
760	-1	american muslim mosques schools	0.3111
761	-1	Problems of Hmong Immigrants	0.3527
762	-1	History of Physicians in America	0.0801
763	-1	Hunting deaths	0.1789
764	-1	Increase mass transit use	0.1615
765	-1	ephedra ma huang deaths	0.4896
766	-1	diamond smuggling	0.4568
767	-1	Pharmacist License requirements	0.2332
768	-1	Women in state legislatures	0.2851
769	-1	Kroll Associates Employees	0.0566
770	-1	Kyrgyzstan-United States relations	0.2419
771	-1	deformed leopard frogs	0.4412
772	-1	flag display rules	0.4948
773	-1	Pennsylvania slot machine gambling	0.6115
774	-1	Causes of Homelessness	0.1873
775	-1	Commercial candy makers	0.144
776	-1	Magnet schools success	0.261
777	-1	hybrid alternative fuel cars	0.2391
778	-1	golden ratio	0.3346
779	-1	Javelinas range and description	0.4432
780	-1	Arable land	0.1301
781	-1	Squirrel control and protections	0.2328
782	-1	Orange varieties seasons	0.4516
783	-1	school mercury poisoning	0.3076
784	-1	mersenne primes	0.7294
785	-1	Ivory-billed woodpecker	0.347
786	-1	Yew trees	0.2559
787	-1	Sunflower Cultivation	0.3809
788	-1	Reverse mortgages	0.5377
789	-1	abandoned mine reclamation	0.1984
790	-1	women's rights in Saudi Arabia	0.6584
791	-1	Gullah geechee language culture	0.6118
792	-1	Social Security means test	0.1804
793	-1	Bagpipe Bands	0.2552
794	-1	pet therapy	0.1857
795	-1	notable cocker spaniels	0.1126
796	-1	Blue Grass Music Festival history	0.2037
797	-1	reintroduction of gray wolves	0.4819
798	-1	Massachusetts textile mills	0.3436
799	-1	Animals in Alzheimer's research	0.1601
800	-1	Ovarian Cancer Treatment	0.2261
801	-1	Kudzu Pueraria lobata	0.4372
802	-1	Volcano eruptions global temperature	0.3842
