qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
301	bt_bing_malay	International Organised Crime	0.0062
301	bt_nllb_german	International organised crime	0.0062
301	bt_nllb_malay	Integrated Crime	0.0058
301	bt_bing_swahili	International Crime	0.0052
301	bt_nllb_swahili	International Crime	0.0052
302	-1	Poliomyelitis and Post-Polio	0.5115
302	bt_bing_arabic	Polio and post polio	0.4514
302	bt_bing_persian	Polio and post polio	0.4514
302	bt_bing_tamil	Polio and post polio	0.4514
302	bt_nllb_arabic	Polio and polio	0.4514
302	bt_nllb_french	Polio and the Post Polio	0.4514
302	bt_nllb_german	Polio and postpolio	0.4514
302	bt_nllb_russian	Polio and postpolio	0.4514
302	bt_nllb_swahili	Polio and Afterpolio	0.4514
302	bt_bing_malay	Polyomyelitis and Post Polio	0.4418
302	bt_nllb_chinese_yue	After polio and polio	0.4356
302	bt_nllb_malay	Polio and after polio	0.4356
302	bt_nllb_tamil	After polio and polio	0.4356
302	bt_bing_korean	Polio and its sequelae	0.281
302	bt_nllb_persian	Polyamide and then polio	0.2752
302	bt_bing_french	Poliomyelitis and post poliomyelitis	0.1565
302	bt_bing_russian	Poliomyelitis and post poliomyelitis	0.1565
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.1915
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.1899
303	bt_nllb_tamil	Hubble s telescope achievements	0.1896
303	bt_bing_persian	Hubble Telescope	0.1824
303	bt_bing_swahili	Success of the Hubble Telescope	0.157
303	bt_nllb_korean	The Hubble Telescope was completed	0.1427
304	-1	Endangered Species (Mammals)	0.037
304	bt_nllb_tamil	The species in danger of extinction type	0.0161
304	bt_bing_french	Threatened species mammals	0.0126
304	bt_bing_persian	Mammals	0.0069
304	bt_nllb_russian	Threatened species self miners	0.0034
305	-1	Most Dangerous Vehicles	0.0044
305	bt_bing_tamil	Very Dangerous Vehicles	0.0029
305	bt_bing_swahili	The Most Dangerous Cars	0.0026
305	bt_nllb_arabic	The most dangerous cars	0.0026
