,qid,order,query,qld.recip_rank
0,701,-1,U.S. oil industry history,0.2
1,701,bt_bing_arabic,History of the American oil industry,1.0
2,701,bt_nllb_arabic,The history of the American oil industry,1.0
3,701,bt_nllb_french,The history of the American oil industry,1.0
4,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,1.0
5,701,docluster.topn10.3.qld,u s oil industry history industri counti,1.0
6,701,tagmee.topn3,u s oil industry history Petroleum,1.0
7,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,1.0
8,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.5
9,701,bt_nllb_german,The history of the US oil industry,0.3333
10,701,bertqe.topn10.bm25,f ossil nergi e nvir,0.25
11,701,bt_bing_chinese_simplified,History of the U S oil industry,0.2
12,701,bt_bing_french,History of the U S Oil Industry,0.2
13,701,bt_bing_german,History of the U S Oil Industry,0.2
14,701,bt_bing_korean,History of the U S Oil Industry,0.2
15,701,bt_bing_malay,History of the U S oil industry,0.2
16,701,bt_bing_persian,History of the U S Oil Industry,0.2
17,701,bt_bing_russian,History of the U S Oil Industry,0.2
18,701,bt_bing_swahili,History of the U S oil industry,0.2
19,701,bt_bing_tamil,History of the U S oil industry,0.2
20,701,bt_nllb_chinese_yue,The history of the U S oil industry,0.2
21,701,bt_nllb_korean,The history of the U S oil industry,0.2
22,701,bt_nllb_malay,History of the U S oil industry,0.2
23,701,bt_nllb_persian,The history of the U S oil industry,0.2
24,701,bt_nllb_russian,The history of the U S oil industry,0.2
25,701,bt_nllb_swahili,The history of the U S oil industry,0.2
26,701,bt_nllb_tamil,The history of the U S oil industry,0.2
27,701,original,U S oil industry history,0.2
28,701,rm3.topn10.10.0.5.qld,u s oil industry history fuel ga energi price,0.2
29,701,stem.krovetz,u s oil industry history,0.2
30,701,stem.porter,u s oil industri histori,0.2
31,701,stem.porter2,u s oil industri histori,0.2
32,701,stem.sstemmer,u s oil industry history,0.2
33,701,thesaurus.topn3,u s oil industry history,0.2
34,701,thesaurus.topn3.replace,u s oil industry history,0.2
35,702,-1,Pearl farming,1.0
36,702,bt_bing_arabic,Pearl cultivation,1.0
37,702,bt_bing_chinese_simplified,Pearl farming,1.0
38,702,bt_bing_french,Pearl farming,1.0
39,702,bt_bing_german,Pearl farming,1.0
40,702,bt_bing_korean,Pearl Farming,1.0
41,702,bt_bing_malay,Pearl farming,1.0
42,702,bt_bing_russian,Pearl farming,1.0
43,702,bt_bing_swahili,Pearl farming,1.0
44,702,bt_bing_tamil,Pearl culture,1.0
45,702,bt_nllb_chinese_yue,Pearl farming,1.0
46,702,bt_nllb_french,Cultivation of pearls,1.0
47,702,bt_nllb_german,Pearl farming,1.0
48,702,bt_nllb_korean,Pearl farming,1.0
49,702,bt_nllb_malay,Pearl farming,1.0
50,702,bt_nllb_russian,Pearl farming,1.0
51,702,bt_nllb_swahili,The pearl farm,1.0
52,702,bt_nllb_tamil,pearl farming,1.0
53,702,conceptluster.topn5.3.qld,pearl farming,1.0
54,702,original,Pearl farming,1.0
55,702,sensedisambiguation,Pearl farming,1.0
56,702,sensedisambiguation.replace,pearl farming,1.0
57,702,stem.krovetz,pearl farming,1.0
58,702,stem.lovins,pearl farm,1.0
59,702,stem.paicehusk,pearl farm,1.0
60,702,stem.porter,pearl farm,1.0
61,702,stem.porter2,pearl farm,1.0
62,702,stem.sstemmer,pearl farming,1.0
63,702,tagmee.topn3,pearl farming Pearl,1.0
64,702,tagmee.topn3.replace,Pearl,1.0
65,702,thesaurus.topn3,pearl farming,1.0
66,702,thesaurus.topn3.replace,pearl farming,1.0
67,702,word2vec.topn3,pearl farming necklace agriculture agricultural,1.0
68,702,wordnet.topn3,pearl farming drop ivory off white agricultural land raise,1.0
69,704,-1,Green party political views,0.5
70,704,anchor.topn3,green party political views green windi treekrem k cup,0.5
71,704,bt_bing_arabic,Political views of the Green Party,0.5
72,704,bt_bing_chinese_simplified,The Greens political views,0.5
73,704,bt_bing_french,Green Party Political Views,0.5
74,704,bt_bing_german,Political views of the Greens,0.5
75,704,bt_bing_korean,Political views of the Green Party,0.5
76,704,bt_bing_malay,Green party political views,0.5
77,704,bt_bing_persian,The Green Party s Political Views,0.5
78,704,bt_bing_russian,Political views of the Green Party,0.5
79,704,bt_bing_swahili,Political views of the Green Party,0.5
80,704,bt_bing_tamil,Green Party political views,0.5
81,704,bt_nllb_arabic,The political views of the Green Party,0.5
82,704,bt_nllb_chinese_yue,The Green Party s political views,0.5
83,704,bt_nllb_french,The political views of the Green Party,0.5
84,704,bt_nllb_german,Political views of the Greens,0.5
85,704,bt_nllb_korean,The political views of the Green Party,0.5
86,704,bt_nllb_malay,Green Party political views,0.5
87,704,bt_nllb_persian,The political views of the Green Party,0.5
88,704,bt_nllb_russian,Political views of the Green Party,0.5
89,704,bt_nllb_swahili,The political views of the Green Party,0.5
90,704,bt_nllb_tamil,Green Party political views,0.5
91,704,docluster.topn10.3.qld,green party political views parti,0.5
92,704,original,Green party political views,0.5
93,704,relevancefeedback.topn10.qld,green party political views parti,0.5
94,704,rm3.topn10.10.0.5.bm25,green party political views indonesia parti polit,0.5
95,704,rm3.topn10.10.0.5.qld,green party political views parti,0.5
96,704,sensedisambiguation.replace,green party political view,0.5
97,704,stem.krovetz,green party politics view,0.5
98,704,stem.paicehusk,green party polit view,0.5
99,704,stem.porter,green parti polit view,0.5
100,704,stem.porter2,green parti polit view,0.5
101,704,stem.sstemmer,green party political view,0.5
102,704,stem.trunc5,green party polit views,0.5
103,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.5
104,704,thesaurus.topn3,green party political views,0.5
105,704,thesaurus.topn3.replace,green party political views,0.5
106,705,-1,Iraq foreign debt reduction,1.0
107,705,bt_bing_arabic,Iraq s external debt reduction,1.0
108,705,bt_bing_chinese_simplified,Iraq s external debt relief,1.0
109,705,bt_bing_french,Reduction of Iraq s external debt,1.0
110,705,bt_bing_german,Reduction of Iraq s external debt,1.0
111,705,bt_bing_persian,Reducing Iraq s External Debt,1.0
112,705,bt_bing_russian,Reduction of Iraq s external debt,1.0
113,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,1.0
114,705,bt_nllb_french,Reduction of Iraq s external debt,1.0
115,705,bt_nllb_german,Reduction of foreign debt in Iraq,1.0
116,705,bt_nllb_malay,Reduction of external debt to Iraq,1.0
117,705,bt_nllb_russian,Reducing Iraq s external debt,1.0
118,705,docluster.topn10.3.qld,iraq foreign debt reduction,1.0
119,705,glove.topn3,iraq foreign debt reduction iraqi baghdad overseas ministry repay reducing,1.0
120,705,glove.topn3.replace,iraqi baghdad overseas ministry repay reducing,1.0
121,705,original,Iraq foreign debt reduction,1.0
122,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,1.0
123,705,sensedisambiguation,Iraq foreign debt reduction,1.0
124,705,sensedisambiguation.replace,iraq foreign debt reduction,1.0
125,705,stem.krovetz,iraq foreign debt reduction,1.0
126,705,stem.porter,iraq foreign debt reduct,1.0
127,705,stem.porter2,iraq foreign debt reduct,1.0
