qid	order	query	qld.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
100653	anchor.topn3	go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua	0.3913
100653	stem.trunc5	how do i go about getti copie of lette of comme prsen to me from city of san diego	0.3899
100653	termluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego	0.3676
100653	termluster.topn5.3.qld	go getting copies letters commendation prsented city san diego	0.3676
100653	thesaurus.topn3	go getting copies letters commendation prsented city san diego	0.3676
100653	thesaurus.topn3.replace	go getting copies letters commendation prsented city san diego	0.3676
100653	relevancefeedback.topn10.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court	0.3624
100653	tagmee.topn3	go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego	0.3575
100653	stem.paicehusk	how do i go about get cop of let of commend prsent to me from city of san diego	0.3519
100653	docluster.topn10.3.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.3464
100653	docluster.topn10.3.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.3464
100653	rm3.topn10.10.0.5.bm25	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
100653	rm3.topn10.10.0.5.qld	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
100653	stem.krovetz	how do i go about get copy of letters of commendation prsente to me from city of san diego	0.3464
100653	stem.porter2	how do i go about get copi of letter of commend prsent to me from citi of san diego	0.3464
100653	stem.sstemmer	how do i go about getting copy of letter of commendation prsented to me from city of san diego	0.3464
1015624	-1	What's the Definition of a bloody mary?	0.7924
1015624	bertqe.topn10.qld	she known bloodi mari drink	0.8246
1015624	rm3.topn10.10.0.5.bm25	Whats the Definition of a bloody mary?	0.7946
1015624	rm3.topn10.10.0.5.qld	Whats the Definition of a bloody mary?	0.7946
1015624	relevancefeedback.topn10.qld	what s the definition of a bloody mary mari bloodi england	0.7935
1015624	docluster.topn10.3.bm25	what s the definition of a bloody mary	0.7924
1015624	docluster.topn10.3.qld	what s the definition of a bloody mary	0.7924
1015624	sensedisambiguation	What s the Definition of a bloody mary	0.7924
1015624	sensedisambiguation.replace	What s the definition of a bloody mary	0.7924
1015624	stem.krovetz	what s the definition of a bloody mary	0.7924
1015624	stem.paicehusk	what s the definit of a bloody mary	0.7924
1015624	stem.porter	what s the definit of a bloodi mari	0.7924
1015624	stem.porter2	what s the definit of a bloodi mari	0.7924
1015624	stem.sstemmer	what s the definition of a bloody mary	0.7924
1015624	termluster.topn5.3.bm25	s definition bloody mary	0.7924
1015624	termluster.topn5.3.qld	s definition bloody mary	0.7924
1015624	thesaurus.topn3	s definition bloody mary	0.7924
1015624	thesaurus.topn3.replace	s definition bloody mary	0.7924
1017690	-1	what is the history of indian music?	0.5123
1017690	conceptluster.topn5.3.bm25	history indian music	0.5228
1017690	conceptluster.topn5.3.qld	history indian music	0.5228
1017690	tagmee.topn3	history indian music	0.5228
1017690	termluster.topn5.3.bm25	history indian music	0.5228
1017690	termluster.topn5.3.qld	history indian music	0.5228
1017690	thesaurus.topn3	history indian music	0.5228
1017690	thesaurus.topn3.replace	history indian music	0.5228
1017690	wiki.topn3	history indian music	0.5228
1017690	docluster.topn10.3.bm25	what is the history of indian music	0.5123
1017690	docluster.topn10.3.qld	what is the history of indian music	0.5123
1017690	rm3.topn10.10.0.5.bm25	what is the history of indian music?	0.5123
1017690	rm3.topn10.10.0.5.qld	what is the history of indian music?	0.5123
1017690	sensedisambiguation	what is the history of indian music	0.5123
1017690	sensedisambiguation.replace	what is the history of indian music	0.5123
1017690	stem.krovetz	what is the history of indian music	0.5123
1017690	stem.porter	what is the histori of indian music	0.5123
1017690	stem.porter2	what is the histori of indian music	0.5123
1017690	stem.sstemmer	what is the history of indian music	0.5123
1035857	-1	Why are liberals so quick to defend Saddam?	0.5941
1035857	termluster.topn5.3.bm25	liberals quick defend saddam	0.5974
