qid	order	query	qld.ndcg
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.2251
INEX_LD-2009022	wordnet.topn3.replace	Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art	0.4335
INEX_LD-2009022	wordnet.topn3	szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art	0.3808
INEX_LD-2009022	conceptluster.topn5.3.bm25	szechwan dish food cuisine food cuisine sichuan dish food	0.3567
INEX_LD-2009022	conceptluster.topn5.3.qld	szechwan dish food cuisine sichuan cuisine food dish food	0.3567
INEX_LD-2009022	tagmee.topn3	szechwan dish food cuisine Sichuan Dish food Food Cuisine	0.3567
INEX_LD-2009022	conceptnet.topn3	szechwan dish food cuisine Szechuan China plate cake rice rechauffe	0.3357
INEX_LD-2009022	tagmee.topn3.replace	Sichuan Dish food Food Cuisine	0.3353
INEX_LD-2009022	anchor.topn3	szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar	0.3332
INEX_LD-2009022	anchor.topn3.replace	setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine	0.3233
INEX_LD-2009022	conceptnet.topn3.replace	Szechuan China plate cake rice rechauffe	0.2946
INEX_LD-2009022	relevancefeedback.topn10.bm25	szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu	0.2906
INEX_LD-2009022	wiki.topn3	szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine	0.2591
INEX_LD-2009039	-1	roman architecture	0.3549
INEX_LD-2009039	conceptluster.topn5.3.bm25	roman architecture ancient roman architecture	0.4563
INEX_LD-2009039	conceptluster.topn5.3.qld	roman architecture ancient roman architecture	0.4563
INEX_LD-2009039	tagmee.topn3	roman architecture Ancient Roman architecture	0.4563
INEX_LD-2009039	tagmee.topn3.replace	Ancient Roman architecture	0.4094
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.5735
INEX_LD-2009053	stem.lovins	finland car industr manufacturer saab sisu	0.6303
INEX_LD-2009053	bt_nllb_chinese_yue	Finnish car manufacturer Saab sisu	0.5987
INEX_LD-2009053	bt_nllb_french	Finnish car manufacturer saab sisu	0.5987
