qid	order	query	bm25.recip_rank
INEX_LD-2009022	-1	Szechwan dish food cuisine	1.0
INEX_LD-2009039	-1	roman architecture	1.0
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.3333
INEX_LD-2009053	bt_nllb_arabic	Finnish car manufacturing plant Sap Sisu	1.0
INEX_LD-2009053	bt_nllb_russian	Finnish manufacturer of automotive industry Saab Suzi	1.0
INEX_LD-2009053	bt_nllb_tamil	Sappha Sysu Finnish automotive manufacturer	0.5
INEX_LD-2009061	-1	france second world war normandy	1.0
INEX_LD-2009062	-1	social network group selection	0.1
INEX_LD-2009063	-1	D-Day normandy invasion	1.0
INEX_LD-2009074	-1	web ranking scoring algorithm	0.2
INEX_LD-2009074	bt_nllb_chinese_yue	The ranking algorithm for websites	1.0
INEX_LD-2009074	bt_nllb_french	web ranking algorithm	1.0
INEX_LD-2009074	bt_nllb_korean	Web ranking algorithm	1.0
INEX_LD-2009074	bt_nllb_malay	algorithm for ranking the web	1.0
INEX_LD-2009074	bt_nllb_arabic	The algorithm for registering rankings on the Internet	0.5
INEX_LD-2009096	-1	Eiffel	1.0
INEX_LD-2009111	-1	europe solar power facility	0.5
INEX_LD-2009111	bt_nllb_malay	European solar power facilities	1.0
INEX_LD-2009115	-1	virtual museums	1.0
INEX_LD-2010004	-1	Indian food	0.3333
INEX_LD-2010014	-1	composer museum	0.5
INEX_LD-2010019	-1	gallo roman architecture in paris	0.0185
INEX_LD-2010019	bt_nllb_chinese_yue	Ancient Roman architecture in Paris	0.5
INEX_LD-2010020	-1	electricity source in France	0.0714
INEX_LD-2010020	bt_nllb_tamil	Electricity in France	1.0
INEX_LD-2010037	-1	social network API	1.0
INEX_LD-2010043	-1	List of films from the surrealist category	1.0
INEX_LD-2010057	-1	Einstein Relativity theory	1.0
INEX_LD-2010069	-1	summer flowers	1.0
INEX_LD-2010100	-1	house concrete wood	0.5
INEX_LD-2010106	-1	organic food advantages disadvantages	0.0
INEX_LD-2010106	bt_nllb_persian	The benefits of organic food	0.0172
INEX_LD-2010106	bt_nllb_swahili	benefits of organic food loss	0.0108
INEX_LD-20120111	-1	vietnam war movie	1.0
INEX_LD-20120112	-1	vietnam war facts	0.5
INEX_LD-20120121	-1	vietnam food recipes	0.25
INEX_LD-20120122	-1	vietnamese food blog	0.0588
INEX_LD-20120131	-1	vietnam travel national park	0.0145
INEX_LD-20120131	bt_nllb_chinese_yue	Vietnamese National Park for tourism	0.3333
INEX_LD-20120131	bt_nllb_arabic	Vietnamese national park	0.125
