qid	order	query	bm25.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
100653	docluster.topn10.3.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.6356
100653	docluster.topn10.3.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego	0.6356
100653	rm3.topn10.10.0.5.bm25	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
100653	rm3.topn10.10.0.5.qld	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
100653	stem.krovetz	how do i go about get copy of letters of commendation prsente to me from city of san diego	0.6356
100653	stem.porter2	how do i go about get copi of letter of commend prsent to me from citi of san diego	0.6356
100653	stem.sstemmer	how do i go about getting copy of letter of commendation prsented to me from city of san diego	0.6356
1015624	-1	What's the Definition of a bloody mary?	0.735
1015624	bertqe.topn10.qld	she known bloodi mari drink	0.8406
1015624	tagmee.topn3	s definition bloody mary Papal infallibility Mary I of England	0.7953
1015624	relevancefeedback.topn10.qld	what s the definition of a bloody mary mari bloodi england	0.7886
1015624	conceptluster.topn5.3.bm25	s definition bloody mary papal infallibility mary england	0.7613
1015624	conceptluster.topn5.3.qld	s definition bloody mary papal infallibility mary england	0.7613
1015624	termluster.topn5.3.bm25	s definition bloody mary	0.7497
1015624	termluster.topn5.3.qld	s definition bloody mary	0.7497
1015624	thesaurus.topn3	s definition bloody mary	0.7497
1015624	thesaurus.topn3.replace	s definition bloody mary	0.7497
1015624	bt_bing_arabic	What is the definition of Bloody Mary	0.7408
1015624	bt_bing_chinese_simplified	What is the definition of a Bloody Mary	0.7408
1015624	bt_bing_french	What is the definition of a bloody mary	0.7408
1015624	bt_bing_german	What is the definition of a Bloody Mary	0.7408
1015624	bt_bing_korean	What is the definition of a Bloody Mary	0.7408
1015624	bt_bing_malay	What is the definition of bloody mary	0.7408
1015624	bt_bing_persian	What is the definition of the Bloody Mary	0.7408
1015624	bt_bing_russian	What is the definition of a Bloody Mary	0.7408
1015624	bt_bing_tamil	What is the definition of Bloody Mary	0.7408
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	0.7408
1015624	bt_nllb_korean	What is the definition of a bloody Mary	0.7408
1015624	bt_nllb_persian	What is the definition of bloody Mary	0.7408
1015624	bt_nllb_swahili	What is the definition of bloody Mary	0.7408
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	0.7408
1015624	rm3.topn10.10.0.5.bm25	Whats the Definition of a bloody mary?	0.7408
1015624	rm3.topn10.10.0.5.qld	Whats the Definition of a bloody mary?	0.7408
1015624	bt_nllb_malay	What s the definition of bloody Mary	0.735
1015624	bt_nllb_russian	What s the definition of Bloody Mary	0.735
1015624	docluster.topn10.3.bm25	what s the definition of a bloody mary	0.735
1015624	docluster.topn10.3.qld	what s the definition of a bloody mary	0.735
1015624	sensedisambiguation	What s the Definition of a bloody mary	0.735
1015624	sensedisambiguation.replace	What s the definition of a bloody mary	0.735
1015624	stem.krovetz	what s the definition of a bloody mary	0.735
1015624	stem.paicehusk	what s the definit of a bloody mary	0.735
1015624	stem.porter	what s the definit of a bloodi mari	0.735
1015624	stem.porter2	what s the definit of a bloodi mari	0.735
