,qid,order,query,qld.map
0,301,-1,International Organized Crime,0.0104
1,301,glove.topn3,international organized crime global which organised criminal,0.0203
2,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.0194
3,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0156
4,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0135
5,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.0134
6,301,bt_bing_arabic,International organized crime,0.0104
7,301,bt_bing_chinese_simplified,International Organized Crime,0.0104
8,301,bt_bing_french,International Organized Crime,0.0104
9,301,bt_bing_german,International Organized Crime,0.0104
10,301,bt_bing_korean,International Organized Crime,0.0104
11,301,bt_bing_persian,International Organized Crime,0.0104
12,301,bt_bing_russian,International organized crime,0.0104
13,301,bt_bing_tamil,International organized crime,0.0104
14,301,bt_nllb_arabic,International organized crime,0.0104
15,301,bt_nllb_chinese_yue,International organized crime,0.0104
16,301,bt_nllb_french,International organized crime,0.0104
17,301,bt_nllb_korean,International organized crime,0.0104
18,301,bt_nllb_persian,International organized crime,0.0104
19,301,bt_nllb_russian,International organized crime,0.0104
20,301,bt_nllb_tamil,International organized crime,0.0104
21,301,docluster.topn10.3.bm25,international organized crime,0.0104
22,301,docluster.topn10.3.qld,international organized crime,0.0104
23,301,original,International Organized Crime,0.0104
24,301,rm3.topn10.10.0.5.bm25,International Organized Crime,0.0104
25,301,rm3.topn10.10.0.5.qld,International Organized Crime,0.0104
26,301,stem.krovetz,international organized crime,0.0104
27,301,stem.porter2,intern organ crime,0.0104
28,301,stem.sstemmer,international organized crime,0.0104
29,301,termluster.topn5.3.bm25,international organized crime,0.0104
30,301,termluster.topn5.3.qld,international organized crime,0.0104
31,301,thesaurus.topn3,international organized crime,0.0104
32,301,thesaurus.topn3.replace,international organized crime,0.0104
33,302,-1,Poliomyelitis and Post-Polio,0.5115
34,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.5762
35,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.5478
36,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.5277
37,302,tagmee.topn3,poliomyelitis post polio Poliomyelitis Post polio syndrome,0.518
38,302,anchor.topn3,poliomyelitis post polio kentuckyon rwjbarnaba lcmc,0.5115
39,302,bt_bing_chinese_simplified,Poliomyelitis and post polio,0.5115
40,302,bt_bing_german,Poliomyelitis and post polio,0.5115
41,302,bt_bing_swahili,Poliomyelitis and post polio,0.5115
42,302,conceptnet.topn3,poliomyelitis post polio,0.5115
43,302,conceptnet.topn3.replace,poliomyelitis post polio,0.5115
44,302,docluster.topn10.3.bm25,poliomyelitis and post polio,0.5115
45,302,docluster.topn10.3.qld,poliomyelitis and post polio,0.5115
46,302,original,Poliomyelitis and Post Polio,0.5115
47,302,rm3.topn10.10.0.5.bm25,Poliomyelitis and Post-Polio,0.5115
48,302,rm3.topn10.10.0.5.qld,Poliomyelitis and Post-Polio,0.5115
49,302,sensedisambiguation,Poliomyelitis and Post Polio,0.5115
50,302,sensedisambiguation.replace,poliomyelitis and Post Polio,0.5115
51,302,stem.krovetz,poliomyeliti and post polio,0.5115
52,302,stem.porter,poliomyel and post polio,0.5115
53,302,stem.porter2,poliomyel and post polio,0.5115
54,302,stem.sstemmer,poliomyeliti and post polio,0.5115
55,302,termluster.topn5.3.bm25,poliomyelitis post polio,0.5115
56,302,termluster.topn5.3.qld,poliomyelitis post polio,0.5115
57,302,thesaurus.topn3,poliomyelitis post polio,0.5115
58,302,thesaurus.topn3.replace,poliomyelitis post polio,0.5115
59,303,-1,Hubble Telescope Achievements,0.1915
60,303,wiki.topn3,hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope,0.2933
61,303,wiki.topn3.replace,great observatories program hubble space telescope standard candles hubble space telescope,0.2863
62,303,bt_nllb_swahili,The results of the Hubble Telescope,0.2495
63,303,wordnet.topn3,hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment,0.1966
64,303,anchor.topn3,hubble telescope achievements,0.1915
65,303,anchor.topn3.replace,hubble telescope achievements,0.1915
66,303,bt_bing_arabic,Achievements of the Hubble Telescope,0.1915
67,303,bt_bing_chinese_simplified,Hubble Telescope Achievement,0.1915
68,303,bt_bing_french,Achievements of the Hubble Telescope,0.1915
69,303,bt_bing_german,Achievements of the Hubble Telescope,0.1915
70,303,bt_bing_korean,Hubble Telescope Achievements,0.1915
71,303,bt_bing_malay,Hubble Telescope Achievements,0.1915
72,303,bt_bing_russian,Achievements of the Hubble Telescope,0.1915
73,303,bt_bing_tamil,Achievements of the Hubble telescope,0.1915
74,303,bt_nllb_arabic,The achievements of the Hubble Telescope,0.1915
75,303,bt_nllb_french,The achievements of the Hubble Telescope,0.1915
76,303,bt_nllb_german,Achievements of the Hubble Telescope,0.1915
77,303,bt_nllb_malay,The achievements of the Hubble Telescope,0.1915
78,303,bt_nllb_persian,The achievements of the Hubble Telescope,0.1915
79,303,bt_nllb_russian,The achievements of the Hubble Telescope,0.1915
80,303,docluster.topn10.3.bm25,hubble telescope achievements,0.1915
81,303,docluster.topn10.3.qld,hubble telescope achievements,0.1915
82,303,original,Hubble Telescope Achievements,0.1915
83,303,rm3.topn10.10.0.5.bm25,Hubble Telescope Achievements,0.1915
84,303,rm3.topn10.10.0.5.qld,Hubble Telescope Achievements,0.1915
85,303,stem.krovetz,hubble telescope achievement,0.1915
86,303,stem.lovins,hubbl telescop achievement,0.1915
87,303,stem.paicehusk,hubbl telescop achiev,0.1915
88,303,stem.porter,hubbl telescop achiev,0.1915
89,303,stem.porter2,hubbl telescop achiev,0.1915
90,303,stem.sstemmer,hubble telescope achievement,0.1915
91,303,termluster.topn5.3.bm25,hubble telescope achievements,0.1915
92,303,termluster.topn5.3.qld,hubble telescope achievements,0.1915
93,303,thesaurus.topn3,hubble telescope achievements,0.1915
94,303,thesaurus.topn3.replace,hubble telescope achievements,0.1915
95,304,-1,Endangered Species (Mammals),0.037
96,304,bt_nllb_swahili,Endangered Species Animals,0.0606
97,304,bt_nllb_chinese_yue,They are endangered,0.0513
