,qid,order,query,qld.ndcg
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.3464
1,100653,bt_bing_korean,How do I get a copy of a letter of commendation from the City of San Diego to me,0.3427
2,100653,stem.porter,how do i go about gett copi of letter of commend prsent to me from citi of san diego,0.3382
3,100653,bt_bing_persian,How about getting copies of letters of praise prsented to me from San Diego County,0.3379
4,100653,bt_nllb_chinese_yue,How do I get letters from San Diego,0.3366
5,100653,tagmee.topn3.replace,Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.3366
6,100653,bt_nllb_malay,How do I get a copy of the letter of credit sent from the city of San Diego,0.3349
7,100653,bt_nllb_german,How do I get copies of the San Diego letter of credit,0.3297
8,100653,bt_nllb_arabic,How do I get copies of the letters of encouragement I sent her from the city of San Diego,0.3295
9,100653,wiki.topn3,go getting copies letters commendation prsented city san diego thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.3294
10,100653,bt_nllb_swahili,How can I get copies of congratulatory letters from San Diego,0.3281
11,100653,wiki.topn3.replace,thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.3239
12,100653,conceptluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting,0.3231
13,100653,conceptluster.topn5.3.qld,go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch,0.3231
14,100653,bt_bing_chinese_simplified,How do I get a copy of the letter of commendation that the City of San Diego sent me,0.3149
15,100653,bt_bing_arabic,How can I get copies of letters of praise sent to me from the City of San Diego,0.3098
16,100653,relevancefeedback.topn10.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold,0.3091
17,100653,bt_nllb_tamil,How can I get copies of congratulatory letters sent to me from San Diego,0.308
18,100653,bt_nllb_russian,How can I get copies of the complimentary letters sent to me from the city of San Diego,0.302
19,100653,sensedisambiguation.replace,how do I travel about experience transcript of letter of citation prsented to me from city of san diego,0.3012
20,100653,glove.topn3,go getting copies letters commendation prsented city san diego come got sold correspondence meritorious town francisco diego san francisco,0.3
21,100653,word2vec.topn3,go getting copies letters commendation prsented city san diego come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.2973
22,100653,sensedisambiguation,how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego,0.274
23,100653,wordnet.topn3.replace,hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval prsented metropolis urban center san diego,0.2469
