qid	order	query	bm25.recip_rank
301	-1	International Organized Crime	0.5
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	1.0
301	anchor.topn3.replace	confédérat föderat kanusport organized anti corruption anti econom drug	1.0
301	conceptluster.topn5.3.bm25	international organized crime international law organized crime	1.0
301	conceptluster.topn5.3.qld	international organized crime international law organized crime	1.0
301	glove.topn3	international organized crime global which organised criminal	1.0
301	glove.topn3.replace	global which organised criminal	1.0
301	stem.trunc5	inter organ crime	1.0
301	tagmee.topn3	international organized crime International law Organized crime	1.0
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	word2vec.topn3	international organized crime national global domestic organised criminality	1.0
302	-1	Poliomyelitis and Post-Polio	1.0
303	-1	Hubble Telescope Achievements	0.5
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	word2vec.topn3	hubble telescope achievements kepler milkyway moon observatory accomplishments successes	1.0
304	-1	Endangered Species (Mammals)	1.0
305	-1	Most Dangerous Vehicles	0.0154
305	tagmee.topn3.replace	Risk Vehicle	0.25
305	glove.topn3	dangerous vehicles potentially difficult cars	0.1667
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.1429
305	glove.topn3.replace	potentially difficult cars	0.125
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.1111
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0909
305	termluster.topn5.3.bm25	dangerous vehicles	0.0526
305	termluster.topn5.3.qld	dangerous vehicles	0.0526
305	thesaurus.topn3	dangerous vehicles	0.0526
305	thesaurus.topn3.replace	dangerous vehicles	0.0526
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0455
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.037
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.037
305	conceptnet.topn3.replace	Explosives driving Some people vehicles	0.0323
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0303
305	anchor.topn3	dangerous vehicles idhún deadston aud	0.0286
305	wordnet.topn3.replace	life threatening unsafe fomite	0.0278
305	anchor.topn3.replace	idhún deadston aud vehicles	0.0213
305	conceptnet.topn3	dangerous vehicles Explosives driving Some people	0.0189
306	-1	African Civilian Deaths	1.0
307	-1	New Hydroelectric Projects	1.0
308	-1	Implant Dentistry	1.0
309	-1	Rap and Crime	0.0
309	conceptnet.topn3	rap crime music hip hop	0.0149
309	word2vec.topn3	rap crime hip hop hiphop criminality	0.0135
309	wiki.topn3.replace	reggaeton underground hip hop gangsta rap rapping	0.0128
310	-1	Radio Waves and Brain Cancer	1.0
311	-1	Industrial Espionage	1.0
312	-1	Hydroponics	1.0
313	-1	Magnetic Levitation-Maglev	1.0
314	-1	Marine Vegetation	0.0312
314	tagmee.topn3	marine vegetation Ocean Vegetation	1.0
314	tagmee.topn3.replace	Ocean Vegetation	1.0
314	wiki.topn3	marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.5
314	conceptluster.topn5.3.bm25	marine vegetation ocean	0.2
314	conceptluster.topn5.3.qld	marine vegetation ocean	0.2
314	wiki.topn3.replace	ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	0.0625
315	-1	Unexplained Highway Accidents	0.1429
316	-1	Polygamy Polyandry Polygyny	1.0
317	-1	Unsolicited Faxes	1.0
318	-1	Best Retirement Country	0.1111
318	glove.topn3	best retirement country well better nation already	0.5
319	-1	New Fuel Sources	1.0
320	-1	Undersea Fiber Optic Cable	0.0312
320	anchor.topn3.replace	uuv samayamaayi adventure queu fibr cable nowiki disappearing fila itmo spbsu cable	0.5
320	anchor.topn3	undersea fiber optic cable uuv samayamaayi adventure queu fibr cable nowiki disappearing fila itmo spbsu	0.3333
320	word2vec.topn3	undersea fiber optic cable deep sea underwater fibre cable TV	0.0909
320	relevancefeedback.topn10.qld	undersea fiber optic cable system cabl sprint data stc	0.0833
320	sensedisambiguation	Undersea submarine Fiber roughage Optic eye Cable cable television	0.0588
320	sensedisambiguation.replace	submarine roughage eye cable television	0.0556
320	wordnet.topn3	undersea fiber optic cable submarine fibre vulcanized fiber ocular eye overseas telegram telegraph cable length	0.0526
320	wordnet.topn3.replace	submarine fibre vulcanized fiber ocular eye overseas telegram telegraph cable length	0.0455
320	word2vec.topn3.replace	deep sea underwater fibre optic cable TV	0.0385
320	stem.lovins	underse fiber opt cabl	0.0323
321	-1	Women in Parliaments	1.0
322	-1	International Art Crime	0.0132
322	word2vec.topn3.replace	national global domestic artwork artworks criminality	0.3333
322	word2vec.topn3	international art crime national global domestic artwork artworks criminality	0.2
322	wordnet.topn3	international art crime external artwork artistry artistic creation criminal offense criminal offence law breaking	0.2
322	wordnet.topn3.replace	external artwork artistry artistic creation criminal offense criminal offence law breaking	0.0833
322	sensedisambiguation	International Art artwork Crime	0.0455
322	conceptnet.topn3	international art crime painting paint paintings	0.0303
322	sensedisambiguation.replace	international artwork crime	0.0303
323	-1	Literary/Journalistic Plagiarism	1.0
324	-1	Argentine/British Relations	1.0
325	-1	Cult Lifestyles	0.2
325	glove.topn3	cult lifestyles followers sect sedentary	0.5
325	wiki.topn3	cult lifestyles cults anti cult terms concepts occult cult lifestyle lifestylmagazine travel lifestyle sociology	0.3333
325	anchor.topn3	cult lifestyles genestealer reproduct cult tsumbubura	0.25
325	wiki.topn3.replace	cults anti cult terms concepts occult cult lifestyle lifestylmagazine travel lifestyle sociology	0.25
326	-1	Ferry Sinkings	1.0
327	-1	Modern Slavery	0.1667
327	anchor.topn3.replace	burdah jardot originalité slavery	1.0
327	tagmee.topn3.replace	Slavery Slavery in the United States	1.0
327	wordnet.topn3	modern slavery Bodoni modernistic bondage slaveholding	1.0
327	conceptluster.topn5.3.bm25	modern slavery slavery united states	0.5
327	conceptluster.topn5.3.qld	modern slavery slavery united states	0.5
327	tagmee.topn3	modern slavery Slavery Slavery in the United States	0.5
327	word2vec.topn3	modern slavery contemporary modern day ancient slaves enslavement	0.5
327	wordnet.topn3.replace	Bodoni modernistic bondage slaveholding	0.5
327	relevancefeedback.topn10.bm25	modern slavery murder india iv econom slaveri our westwood r rep d	0.3333
327	word2vec.topn3.replace	contemporary modern day ancient slaves enslavement	0.3333
327	wiki.topn3	modern slavery slave trade slavery civil war slavery emancipation proclamation frederick douglass jefferson davis slavery united states	0.2
328	-1	Pope Beatifications	1.0
329	-1	Mexican Air Pollution	1.0
330	-1	Iran-Iraq Cooperation	0.2
330	relevancefeedback.topn10.qld	iran iraq cooperation turkei islam iran we countri contain iraq iraqi	1.0
330	stem.trunc4	iran iraq coop	0.3333
330	stem.trunc5	iran iraq coope	0.3333
330	anchor.topn3	iran iraq cooperation iran iraq iran iraq eritrean ethiopian	0.25
331	-1	World Bank Criticism	1.0
332	-1	Income Tax Evasion	0.5
332	bertqe.topn10.bm25	tax evas connect j david	1.0
332	glove.topn3	income tax evasion taxes income embezzlement laundering	1.0
332	relevancefeedback.topn10.bm25	income tax evasion both yuan incom rmb hunter sturman	1.0
332	wiki.topn3	income tax evasion bank fraud arrest warrant plea bargain tax evasion bank fraud arrest warrant plea bargain tax evasion	1.0
332	wiki.topn3.replace	bank fraud arrest warrant plea bargain tax evasion bank fraud arrest warrant plea bargain tax evasion	1.0
333	-1	Antibiotics Bacteria Disease	1.0
334	-1	Export Controls Cryptography	1.0
335	-1	Adoptive Biological Parents	1.0
336	-1	Black Bear Attacks	0.3333
